,연도,월,물가지수,사용량,기간
68,2015,9,94.966,2335534,2015-09-01
69,2015,10,94.966,2203005,2015-10-01
70,2015,11,94.786,2286089,2015-11-01
71,2015,12,95.07,2457388,2015-12-01
72,2016,1,95.232,2625318,2016-01-01
73,2016,2,95.64,2562954,2016-02-01
74,2016,3,95.393,2485010,2016-03-01
75,2016,4,95.573,2360203,2016-04-01
76,2016,5,95.63,2249152,2016-05-01
77,2016,6,95.611,2333418,2016-06-01
78,2016,7,95.431,2387664,2016-07-01
79,2016,8,95.677,2612461,2016-08-01
80,2016,9,96.247,2423759,2016-09-01
81,2016,10,96.379,2267598,2016-10-01
82,2016,11,96.237,2368027,2016-11-01
83,2016,12,96.342,2560809,2016-12-01
84,2017,1,97.366,2658644,2017-01-01
85,2017,2,97.632,2613082,2017-02-01
86,2017,3,97.565,2503443,2017-03-01
87,2017,4,97.442,2400650,2017-04-01
88,2017,5,97.546,2279052,2017-05-01
89,2017,6,97.338,2333686,2017-06-01
90,2017,7,97.499,2541676,2017-07-01
91,2017,8,98.058,2667866,2017-08-01
92,2017,9,98.172,2490357,2017-09-01
93,2017,10,98.077,2256987,2017-10-01
94,2017,11,97.347,2429005,2017-11-01
95,2017,12,97.698,2692972,2017-12-01
96,2018,1,98.106,2844805,2018-01-01
97,2018,2,98.855,2749987,2018-02-01
98,2018,3,98.751,2525663,2018-03-01
99,2018,4,98.931,2472500,2018-04-01
100,2018,5,98.979,2384145,2018-05-01
101,2018,6,98.779,2414449,2018-06-01
102,2018,7,98.59,2589997,2018-07-01
103,2018,8,99.462,2913652,2018-08-01
104,2018,9,100.221,2572296,2018-09-01
105,2018,10,100.041,2351616,2018-10-01
106,2018,11,99.33,2465007,2018-11-01
107,2018,12,98.988,2665726,2018-12-01
108,2019,1,98.884,2861434,2019-01-01
109,2019,2,99.311,2609034,2019-02-01
110,2019,3,99.121,2534627,2019-03-01
111,2019,4,99.481,2496506,2019-04-01
112,2019,5,99.652,2394588,2019-05-01
113,2019,6,99.491,2389400,2019-06-01
114,2019,7,99.187,2527422,2019-07-01
115,2019,8,99.425,2797554,2019-08-01
116,2019,9,99.794,2567605,2019-09-01
117,2019,10,100.041,2389577,2019-10-01
118,2019,11,99.481,2418327,2019-11-01
119,2019,12,99.719,2631270,2019-12-01
120,2020,1,100.09,2725112,2020-01-01
121,2020,2,100.16,2617550,2020-02-01
122,2020,3,99.94,2521799,2020-03-01
123,2020,4,99.5,2380893,2020-04-01
124,2020,5,99.44,2254565,2020-05-01
125,2020,6,99.71,2338405,2020-06-01
126,2020,7,99.63,2474574,2020-07-01
127,2020,8,100.19,2623483,2020-08-01
128,2020,9,100.74,2653576,2020-09-01
129,2020,10,100.18,2297959,2020-10-01
130,2020,11,100.09,2420360,2020-11-01
131,2020,12,100.33,2648651,2020-12-01
132,2021,1,101.04,2867974,2021-01-01
133,2021,2,101.58,2658115,2021-02-01
134,2021,3,101.84,2533786,2021-03-01
135,2021,4,101.98,2464686,2021-04-01
136,2021,5,102.05,2402486,2021-05-01
137,2021,6,102.05,2472463,2021-06-01
138,2021,7,102.26,2704223,2021-07-01
139,2021,8,102.75,2878232,2021-08-01
140,2021,9,103.17,2636404,2021-09-01
141,2021,10,103.35,2461071,2021-10-01
142,2021,11,103.87,2519389,2021-11-01
143,2021,12,104.04,2779448,2021-12-01
