,연도,월,시도,주택가격변동률,사용량,위도,경도
76,2016,5,서울특별시,0.15,3340823,37.551638,126.993243
77,2016,6,서울특별시,0.22,3715673,37.551638,126.993243
78,2016,7,서울특별시,0.23,4101888,37.551638,126.993243
79,2016,8,서울특별시,0.26,4852558,37.551638,126.993243
80,2016,9,서울특별시,0.26,4206131,37.551638,126.993243
81,2016,10,서울특별시,0.43,3436055,37.551638,126.993243
82,2016,11,서울특별시,0.35,3479675,37.551638,126.993243
83,2016,12,서울특별시,0.09,3845908,37.551638,126.993243
84,2017,1,서울특별시,0.03,4139967,37.551638,126.993243
85,2017,2,서울특별시,0.05,4166700,37.551638,126.993243
86,2017,3,서울특별시,0.13,3649111,37.551638,126.993243
87,2017,4,서울특별시,0.23,3470755,37.551638,126.993243
88,2017,5,서울특별시,0.35,3290791,37.551638,126.993243
89,2017,6,서울특별시,0.66,3621612,37.551638,126.993243
90,2017,7,서울특별시,0.41,4273771,37.551638,126.993243
91,2017,8,서울특별시,0.45,4733095,37.551638,126.993243
92,2017,9,서울특별시,0.07,3998064,37.551638,126.993243
93,2017,10,서울특별시,0.23,3329882,37.551638,126.993243
94,2017,11,서울특별시,0.36,3488082,37.551638,126.993243
95,2017,12,서울특별시,0.59,4136329,37.551638,126.993243
96,2018,1,서울특별시,0.86,4477102,37.551638,126.993243
97,2018,2,서울특별시,0.94,4469940,37.551638,126.993243
98,2018,3,서울특별시,0.55,3657824,37.551638,126.993243
99,2018,4,서울특별시,0.31,3503967,37.551638,126.993243
100,2018,5,서울특별시,0.21,3366946,37.551638,126.993243
101,2018,6,서울특별시,0.23,3686242,37.551638,126.993243
102,2018,7,서울특별시,0.32,4260544,37.551638,126.993243
103,2018,8,서울특별시,0.63,5394746,37.551638,126.993243
104,2018,9,서울특별시,1.25,4262672,37.551638,126.993243
105,2018,10,서울특별시,0.51,3320082,37.551638,126.993243
106,2018,11,서울특별시,0.2,3460909,37.551638,126.993243
107,2018,12,서울특별시,0.04,3949238,37.551638,126.993243
108,2019,1,서울특별시,-0.2,4416889,37.551638,126.993243
109,2019,2,서울특별시,-0.19,4127699,37.551638,126.993243
110,2019,3,서울특별시,-0.22,3582654,37.551638,126.993243
111,2019,4,서울특별시,-0.18,3591552,37.551638,126.993243
112,2019,5,서울특별시,-0.11,3419987,37.551638,126.993243
113,2019,6,서울특별시,-0.04,3676047,37.551638,126.993243
114,2019,7,서울특별시,0.07,4146986,37.551638,126.993243
115,2019,8,서울특별시,0.14,4897882,37.551638,126.993243
116,2019,9,서울특별시,0.17,4305561,37.551638,126.993243
117,2019,10,서울특별시,0.44,3568257,37.551638,126.993243
118,2019,11,서울특별시,0.5,3481097,37.551638,126.993243
119,2019,12,서울특별시,0.86,3952596,37.551638,126.993243
120,2020,1,서울특별시,0.34,4197026,37.551638,126.993243
121,2020,2,서울특별시,0.15,4037392,37.551638,126.993243
122,2020,3,서울특별시,0.13,3657444,37.551638,126.993243
123,2020,4,서울특별시,-0.02,3410967,37.551638,126.993243
124,2020,5,서울특별시,-0.09,3295839,37.551638,126.993243
125,2020,6,서울특별시,0.13,3730294,37.551638,126.993243
126,2020,7,서울특별시,0.71,4074026,37.551638,126.993243
127,2020,8,서울특별시,0.42,4438534,37.551638,126.993243
128,2020,9,서울특별시,0.27,4284346,37.551638,126.993243
129,2020,10,서울특별시,0.16,3313412,37.551638,126.993243
130,2020,11,서울특별시,0.17,3450679,37.551638,126.993243
131,2020,12,서울특별시,0.26,3897966,37.551638,126.993243
132,2021,1,서울특별시,0.4,4400410,37.551638,126.993243
133,2021,2,서울특별시,0.51,4134045,37.551638,126.993243
134,2021,3,서울특별시,0.38,3550751,37.551638,126.993243
135,2021,4,서울특별시,0.35,3449257,37.551638,126.993243
136,2021,5,서울특별시,0.4,3324763,37.551638,126.993243
137,2021,6,서울특별시,0.72,3701621,37.551638,126.993243
138,2021,7,서울특별시,0.6,4406553,37.551638,126.993243
139,2021,8,서울특별시,0.68,5103868,37.551638,126.993243
140,2021,9,서울특별시,0.72,4145083,37.551638,126.993243
141,2021,10,서울특별시,0.71,3578614,37.551638,126.993243
142,2021,11,서울특별시,0.55,3537141,37.551638,126.993243
143,2021,12,서울특별시,0.26,3963700,37.551638,126.993243
144,2010,1,부산광역시,0.36,1848492,35.209853,129.069121
145,2010,2,부산광역시,0.76,1731722,35.209853,129.069121
146,2010,3,부산광역시,0.95,1635276,35.209853,129.069121
147,2010,4,부산광역시,1.13,1682021,35.209853,129.069121
148,2010,5,부산광역시,0.91,1571566,35.209853,129.069121
149,2010,6,부산광역시,0.72,1560178,35.209853,129.069121
150,2010,7,부산광역시,0.53,1675050,35.209853,129.069121
151,2010,8,부산광역시,0.49,1797007,35.209853,129.069121
152,2010,9,부산광역시,0.7,1806226,35.209853,129.069121
153,2010,10,부산광역시,1.07,1571374,35.209853,129.069121
154,2010,11,부산광역시,1.33,1616403,35.209853,129.069121
155,2010,12,부산광역시,1.18,1768368,35.209853,129.069121
156,2011,1,부산광역시,1.17,1976059,35.209853,129.069121
157,2011,2,부산광역시,1.63,1837733,35.209853,129.069121
158,2011,3,부산광역시,1.96,1704632,35.209853,129.069121
159,2011,4,부산광역시,3.5,1709300,35.209853,129.069121
160,2011,5,부산광역시,0.5,1560035,35.209853,129.069121
161,2011,6,부산광역시,1.13,1613264,35.209853,129.069121
162,2011,7,부산광역시,1.02,1695590,35.209853,129.069121
163,2011,8,부산광역시,0.92,1793742,35.209853,129.069121
164,2011,9,부산광역시,0.95,1698380,35.209853,129.069121
165,2011,10,부산광역시,0.85,1596236,35.209853,129.069121
166,2011,11,부산광역시,0.96,1625214,35.209853,129.069121
167,2011,12,부산광역시,0.32,1751788,35.209853,129.069121
168,2012,1,부산광역시,0.0,1880756,35.209853,129.069121
169,2012,2,부산광역시,-0.19,1890655,35.209853,129.069121
170,2012,3,부산광역시,-0.13,1794675,35.209853,129.069121
171,2012,4,부산광역시,-0.21,1710623,35.209853,129.069121
172,2012,5,부산광역시,-0.24,1588494,35.209853,129.069121
173,2012,6,부산광역시,-0.4,1559207,35.209853,129.069121
174,2012,7,부산광역시,-0.33,1671135,35.209853,129.069121
175,2012,8,부산광역시,-0.38,1869241,35.209853,129.069121
176,2012,9,부산광역시,-0.17,1731297,35.209853,129.069121
177,2012,10,부산광역시,-0.08,1531025,35.209853,129.069121
178,2012,11,부산광역시,-0.08,1647057,35.209853,129.069121
179,2012,12,부산광역시,-0.17,1790679,35.209853,129.069121
180,2013,1,부산광역시,-0.19,1919106,35.209853,129.069121
181,2013,2,부산광역시,-0.14,1793538,35.209853,129.069121
182,2013,3,부산광역시,-0.09,1660595,35.209853,129.069121
183,2013,4,부산광역시,0.06,1666780,35.209853,129.069121
184,2013,5,부산광역시,0.07,1569179,35.209853,129.069121
185,2013,6,부산광역시,-0.03,1580862,35.209853,129.069121
186,2013,7,부산광역시,-0.1,1703106,35.209853,129.069121
187,2013,8,부산광역시,-0.1,1861438,35.209853,129.069121
188,2013,9,부산광역시,-0.04,1720611,35.209853,129.069121
189,2013,10,부산광역시,0.16,1565677,35.209853,129.069121
190,2013,11,부산광역시,0.08,1596068,35.209853,129.069121
191,2013,12,부산광역시,0.08,1727741,35.209853,129.069121
192,2014,1,부산광역시,0.02,1817342,35.209853,129.069121
193,2014,2,부산광역시,0.08,1741473,35.209853,129.069121
194,2014,3,부산광역시,0.08,1675854,35.209853,129.069121
195,2014,4,부산광역시,0.05,1665838,35.209853,129.069121
196,2014,5,부산광역시,0.05,1552138,35.209853,129.069121
197,2014,6,부산광역시,0.04,1572826,35.209853,129.069121
198,2014,7,부산광역시,0.09,1671763,35.209853,129.069121
199,2014,8,부산광역시,0.09,1739645,35.209853,129.069121
200,2014,9,부산광역시,0.13,1644324,35.209853,129.069121
201,2014,10,부산광역시,0.2,1576153,35.209853,129.069121
202,2014,11,부산광역시,0.15,1593205,35.209853,129.069121
203,2014,12,부산광역시,0.15,1730338,35.209853,129.069121
204,2015,1,부산광역시,0.09,1862691,35.209853,129.069121
205,2015,2,부산광역시,0.19,1736816,35.209853,129.069121
206,2015,3,부산광역시,0.28,1655945,35.209853,129.069121
207,2015,4,부산광역시,0.38,1671290,35.209853,129.069121
208,2015,5,부산광역시,0.28,1554462,35.209853,129.069121
209,2015,6,부산광역시,0.39,1579057,35.209853,129.069121
210,2015,7,부산광역시,0.26,1639718,35.209853,129.069121
211,2015,8,부산광역시,0.18,1802549,35.209853,129.069121
212,2015,9,부산광역시,0.29,1688758,35.209853,129.069121
213,2015,10,부산광역시,0.39,1548416,35.209853,129.069121
214,2015,11,부산광역시,0.47,1584107,35.209853,129.069121
215,2015,12,부산광역시,0.17,1678497,35.209853,129.069121
216,2016,1,부산광역시,0.05,1810693,35.209853,129.069121
217,2016,2,부산광역시,0.07,1802496,35.209853,129.069121
218,2016,3,부산광역시,0.08,1717796,35.209853,129.069121
219,2016,4,부산광역시,0.14,1647106,35.209853,129.069121
220,2016,5,부산광역시,0.13,1558585,35.209853,129.069121
221,2016,6,부산광역시,0.18,1604274,35.209853,129.069121
222,2016,7,부산광역시,0.21,1717654,35.209853,129.069121
223,2016,8,부산광역시,0.35,1901685,35.209853,129.069121
224,2016,9,부산광역시,0.35,1741483,35.209853,129.069121
225,2016,10,부산광역시,0.59,1607309,35.209853,129.069121
226,2016,11,부산광역시,0.59,1626102,35.209853,129.069121
227,2016,12,부산광역시,0.41,1731912,35.209853,129.069121
228,2017,1,부산광역시,0.23,1823489,35.209853,129.069121
229,2017,2,부산광역시,0.18,1824630,35.209853,129.069121
230,2017,3,부산광역시,0.17,1693920,35.209853,129.069121
231,2017,4,부산광역시,0.28,1696125,35.209853,129.069121
232,2017,5,부산광역시,0.39,1584172,35.209853,129.069121
233,2017,6,부산광역시,0.38,1646150,35.209853,129.069121
234,2017,7,부산광역시,0.29,1815923,35.209853,129.069121
235,2017,8,부산광역시,0.23,1979171,35.209853,129.069121
236,2017,9,부산광역시,0.1,1848565,35.209853,129.069121
237,2017,10,부산광역시,0.05,1569820,35.209853,129.069121
238,2017,11,부산광역시,0.03,1675282,35.209853,129.069121
239,2017,12,부산광역시,0.0,1850113,35.209853,129.069121
240,2018,1,부산광역시,-0.07,1966689,35.209853,129.069121
241,2018,2,부산광역시,-0.08,1898871,35.209853,129.069121
242,2018,3,부산광역시,-0.08,1714122,35.209853,129.069121
243,2018,4,부산광역시,-0.12,1675122,35.209853,129.069121
244,2018,5,부산광역시,-0.12,1594722,35.209853,129.069121
245,2018,6,부산광역시,-0.13,1647154,35.209853,129.069121
246,2018,7,부산광역시,-0.14,1813944,35.209853,129.069121
247,2018,8,부산광역시,-0.23,2095583,35.209853,129.069121
248,2018,9,부산광역시,-0.13,1841933,35.209853,129.069121
249,2018,10,부산광역시,-0.09,1605288,35.209853,129.069121
250,2018,11,부산광역시,-0.13,1639619,35.209853,129.069121
251,2018,12,부산광역시,-0.18,1723557,35.209853,129.069121
252,2019,1,부산광역시,-0.19,1906812,35.209853,129.069121
253,2019,2,부산광역시,-0.13,1753708,35.209853,129.069121
254,2019,3,부산광역시,-0.17,1652037,35.209853,129.069121
255,2019,4,부산광역시,-0.22,1669235,35.209853,129.069121
256,2019,5,부산광역시,-0.22,1596068,35.209853,129.069121
257,2019,6,부산광역시,-0.22,1633070,35.209853,129.069121
258,2019,7,부산광역시,-0.21,1724989,35.209853,129.069121
259,2019,8,부산광역시,-0.16,1966047,35.209853,129.069121
260,2019,9,부산광역시,-0.17,1847006,35.209853,129.069121
261,2019,10,부산광역시,-0.12,1676463,35.209853,129.069121
262,2019,11,부산광역시,0.05,1633512,35.209853,129.069121
263,2019,12,부산광역시,0.45,1743462,35.209853,129.069121
264,2020,1,부산광역시,0.18,1832430,35.209853,129.069121
265,2020,2,부산광역시,0.1,1782217,35.209853,129.069121
266,2020,3,부산광역시,0.03,1670111,35.209853,129.069121
267,2020,4,부산광역시,-0.05,1607069,35.209853,129.069121
268,2020,5,부산광역시,-0.01,1510099,35.209853,129.069121
269,2020,6,부산광역시,0.06,1615016,35.209853,129.069121
270,2020,7,부산광역시,0.57,1701538,35.209853,129.069121
271,2020,8,부산광역시,0.46,1883786,35.209853,129.069121
272,2020,9,부산광역시,0.55,1944267,35.209853,129.069121
273,2020,10,부산광역시,0.49,1555323,35.209853,129.069121
274,2020,11,부산광역시,1.28,1623880,35.209853,129.069121
275,2020,12,부산광역시,2.12,1778233,35.209853,129.069121
276,2021,1,부산광역시,1.34,1862280,35.209853,129.069121
277,2021,2,부산광역시,0.99,1762335,35.209853,129.069121
278,2021,3,부산광역시,0.66,1656492,35.209853,129.069121
279,2021,4,부산광역시,0.57,1654340,35.209853,129.069121
280,2021,5,부산광역시,0.8,1572221,35.209853,129.069121
281,2021,6,부산광역시,1.47,1676954,35.209853,129.069121
282,2021,7,부산광역시,0.85,1861381,35.209853,129.069121
283,2021,8,부산광역시,0.99,2037219,35.209853,129.069121
284,2021,9,부산광역시,0.87,1842289,35.209853,129.069121
285,2021,10,부산광역시,0.9,1680885,35.209853,129.069121
286,2021,11,부산광역시,0.65,1674216,35.209853,129.069121
287,2021,12,부산광역시,0.25,1787220,35.209853,129.069121
288,2010,1,대구광역시,0.09,1331473,35.825757,128.576897
289,2010,2,대구광역시,0.11,1269135,35.825757,128.576897
290,2010,3,대구광역시,0.03,1172936,35.825757,128.576897
291,2010,4,대구광역시,0.2,1199557,35.825757,128.576897
292,2010,5,대구광역시,0.09,1100160,35.825757,128.576897
293,2010,6,대구광역시,-0.02,1119186,35.825757,128.576897
294,2010,7,대구광역시,-0.02,1202680,35.825757,128.576897
295,2010,8,대구광역시,0.07,1284747,35.825757,128.576897
296,2010,9,대구광역시,0.13,1267503,35.825757,128.576897
297,2010,10,대구광역시,0.24,1080432,35.825757,128.576897
298,2010,11,대구광역시,0.35,1164842,35.825757,128.576897
299,2010,12,대구광역시,0.26,1287342,35.825757,128.576897
300,2011,1,대구광역시,0.32,1418812,35.825757,128.576897
301,2011,2,대구광역시,0.8,1336667,35.825757,128.576897
302,2011,3,대구광역시,0.93,1234507,35.825757,128.576897
303,2011,4,대구광역시,1.1,1216588,35.825757,128.576897
304,2011,5,대구광역시,0.19,1126409,35.825757,128.576897
305,2011,6,대구광역시,0.77,1163368,35.825757,128.576897
306,2011,7,대구광역시,0.62,1243303,35.825757,128.576897
307,2011,8,대구광역시,0.76,1286641,35.825757,128.576897
308,2011,9,대구광역시,0.94,1211616,35.825757,128.576897
309,2011,10,대구광역시,0.68,1125749,35.825757,128.576897
310,2011,11,대구광역시,1.05,1176821,35.825757,128.576897
311,2011,12,대구광역시,0.49,1281465,35.825757,128.576897
312,2012,1,대구광역시,1.56,1386340,35.825757,128.576897
313,2012,2,대구광역시,0.38,1375774,35.825757,128.576897
314,2012,3,대구광역시,0.48,1281521,35.825757,128.576897
315,2012,4,대구광역시,0.42,1229268,35.825757,128.576897
316,2012,5,대구광역시,0.23,1135952,35.825757,128.576897
317,2012,6,대구광역시,0.08,1160770,35.825757,128.576897
318,2012,7,대구광역시,0.11,1214720,35.825757,128.576897
319,2012,8,대구광역시,0.29,1345137,35.825757,128.576897
320,2012,9,대구광역시,0.16,1227950,35.825757,128.576897
321,2012,10,대구광역시,0.2,1084282,35.825757,128.576897
322,2012,11,대구광역시,0.26,1190760,35.825757,128.576897
323,2012,12,대구광역시,0.66,1322485,35.825757,128.576897
324,2013,1,대구광역시,0.56,1437877,35.825757,128.576897
325,2013,2,대구광역시,0.21,1336301,35.825757,128.576897
326,2013,3,대구광역시,0.25,1214829,35.825757,128.576897
327,2013,4,대구광역시,0.87,1220101,35.825757,128.576897
328,2013,5,대구광역시,0.75,1166224,35.825757,128.576897
329,2013,6,대구광역시,0.87,1175504,35.825757,128.576897
330,2013,7,대구광역시,1.16,1272957,35.825757,128.576897
331,2013,8,대구광역시,0.63,1381189,35.825757,128.576897
332,2013,9,대구광역시,0.49,1255073,35.825757,128.576897
333,2013,10,대구광역시,0.73,1126448,35.825757,128.576897
334,2013,11,대구광역시,0.85,1189890,35.825757,128.576897
335,2013,12,대구광역시,1.15,1303660,35.825757,128.576897
336,2014,1,대구광역시,1.2,1377672,35.825757,128.576897
337,2014,2,대구광역시,0.67,1314569,35.825757,128.576897
338,2014,3,대구광역시,0.54,1246283,35.825757,128.576897
339,2014,4,대구광역시,0.51,1222595,35.825757,128.576897
340,2014,5,대구광역시,0.38,1143206,35.825757,128.576897
341,2014,6,대구광역시,0.19,1182480,35.825757,128.576897
342,2014,7,대구광역시,0.2,1255757,35.825757,128.576897
343,2014,8,대구광역시,0.29,1273769,35.825757,128.576897
344,2014,9,대구광역시,0.44,1182542,35.825757,128.576897
345,2014,10,대구광역시,0.43,1147482,35.825757,128.576897
346,2014,11,대구광역시,0.6,1190355,35.825757,128.576897
347,2014,12,대구광역시,0.64,1322076,35.825757,128.576897
348,2015,1,대구광역시,0.46,1417385,35.825757,128.576897
349,2015,2,대구광역시,0.45,1344788,35.825757,128.576897
350,2015,3,대구광역시,0.5,1233059,35.825757,128.576897
351,2015,4,대구광역시,0.87,1244033,35.825757,128.576897
352,2015,5,대구광역시,0.79,1149079,35.825757,128.576897
353,2015,6,대구광역시,0.91,1203042,35.825757,128.576897
354,2015,7,대구광역시,0.78,1224159,35.825757,128.576897
355,2015,8,대구광역시,0.8,1334385,35.825757,128.576897
356,2015,9,대구광역시,0.98,1226328,35.825757,128.576897
357,2015,10,대구광역시,0.7,1119902,35.825757,128.576897
358,2015,11,대구광역시,0.45,1179855,35.825757,128.576897
359,2015,12,대구광역시,0.0,1271693,35.825757,128.576897
360,2016,1,대구광역시,-0.14,1371791,35.825757,128.576897
361,2016,2,대구광역시,-0.2,1364933,35.825757,128.576897
362,2016,3,대구광역시,-0.23,1281266,35.825757,128.576897
363,2016,4,대구광역시,-0.23,1216827,35.825757,128.576897
364,2016,5,대구광역시,-0.12,1143952,35.825757,128.576897
365,2016,6,대구광역시,-0.27,1210881,35.825757,128.576897
366,2016,7,대구광역시,-0.15,1282697,35.825757,128.576897
367,2016,8,대구광역시,-0.21,1423080,35.825757,128.576897
368,2016,9,대구광역시,-0.12,1271426,35.825757,128.576897
369,2016,10,대구광역시,-0.07,1155560,35.825757,128.576897
370,2016,11,대구광역시,-0.05,1224999,35.825757,128.576897
371,2016,12,대구광역시,-0.06,1320700,35.825757,128.576897
372,2017,1,대구광역시,-0.07,1391376,35.825757,128.576897
373,2017,2,대구광역시,-0.08,1375375,35.825757,128.576897
374,2017,3,대구광역시,-0.05,1263786,35.825757,128.576897
375,2017,4,대구광역시,-0.04,1234859,35.825757,128.576897
376,2017,5,대구광역시,-0.09,1147637,35.825757,128.576897
377,2017,6,대구광역시,0.0,1218416,35.825757,128.576897
378,2017,7,대구광역시,0.08,1349359,35.825757,128.576897
379,2017,8,대구광역시,0.46,1413997,35.825757,128.576897
380,2017,9,대구광역시,0.32,1306140,35.825757,128.576897
381,2017,10,대구광역시,0.29,1107848,35.825757,128.576897
382,2017,11,대구광역시,0.26,1220287,35.825757,128.576897
383,2017,12,대구광역시,0.21,1357294,35.825757,128.576897
384,2018,1,대구광역시,0.25,1465797,35.825757,128.576897
385,2018,2,대구광역시,0.16,1433194,35.825757,128.576897
386,2018,3,대구광역시,0.2,1253100,35.825757,128.576897
387,2018,4,대구광역시,0.33,1230455,35.825757,128.576897
388,2018,5,대구광역시,0.26,1176277,35.825757,128.576897
389,2018,6,대구광역시,0.16,1232515,35.825757,128.576897
390,2018,7,대구광역시,0.14,1342336,35.825757,128.576897
391,2018,8,대구광역시,0.19,1565102,35.825757,128.576897
392,2018,9,대구광역시,0.36,1309344,35.825757,128.576897
393,2018,10,대구광역시,0.56,1136572,35.825757,128.576897
394,2018,11,대구광역시,0.53,1210936,35.825757,128.576897
395,2018,12,대구광역시,0.44,1320121,35.825757,128.576897
396,2019,1,대구광역시,0.15,1437112,35.825757,128.576897
397,2019,2,대구광역시,0.08,1327236,35.825757,128.576897
398,2019,3,대구광역시,0.05,1213326,35.825757,128.576897
399,2019,4,대구광역시,0.02,1228571,35.825757,128.576897
400,2019,5,대구광역시,0.06,1170519,35.825757,128.576897
401,2019,6,대구광역시,0.03,1204862,35.825757,128.576897
402,2019,7,대구광역시,0.01,1273370,35.825757,128.576897
403,2019,8,대구광역시,0.03,1433600,35.825757,128.576897
404,2019,9,대구광역시,0.08,1314078,35.825757,128.576897
405,2019,10,대구광역시,0.19,1189613,35.825757,128.576897
406,2019,11,대구광역시,0.22,1181452,35.825757,128.576897
407,2019,12,대구광역시,0.29,1291844,35.825757,128.576897
408,2020,1,대구광역시,0.41,1361827,35.825757,128.576897
409,2020,2,대구광역시,0.29,1314568,35.825757,128.576897
410,2020,3,대구광역시,0.06,1200565,35.825757,128.576897
411,2020,4,대구광역시,-0.12,1137812,35.825757,128.576897
412,2020,5,대구광역시,0.0,1044272,35.825757,128.576897
413,2020,6,대구광역시,0.22,1149699,35.825757,128.576897
414,2020,7,대구광역시,0.26,1221759,35.825757,128.576897
415,2020,8,대구광역시,0.48,1318926,35.825757,128.576897
416,2020,9,대구광역시,0.72,1398370,35.825757,128.576897
417,2020,10,대구광역시,0.75,1102514,35.825757,128.576897
418,2020,11,대구광역시,1.06,1190723,35.825757,128.576897
419,2020,12,대구광역시,1.59,1317533,35.825757,128.576897
420,2021,1,대구광역시,1.15,1443838,35.825757,128.576897
421,2021,2,대구광역시,1.3,1342988,35.825757,128.576897
422,2021,3,대구광역시,1.11,1222748,35.825757,128.576897
423,2021,4,대구광역시,0.82,1210022,35.825757,128.576897
424,2021,5,대구광역시,0.79,1153415,35.825757,128.576897
425,2021,6,대구광역시,0.84,1232554,35.825757,128.576897
426,2021,7,대구광역시,0.34,1344663,35.825757,128.576897
427,2021,8,대구광역시,0.27,1461379,35.825757,128.576897
428,2021,9,대구광역시,0.15,1301387,35.825757,128.576897
429,2021,10,대구광역시,0.09,1175079,35.825757,128.576897
430,2021,11,대구광역시,0.0,1221063,35.825757,128.576897
431,2021,12,대구광역시,-0.1,1334812,35.825757,128.576897
432,2010,1,인천광역시,0.05,2016429,37.455307,126.70392
433,2010,2,인천광역시,0.02,1841774,37.455307,126.70392
434,2010,3,인천광역시,0.03,1797828,37.455307,126.70392
435,2010,4,인천광역시,-0.16,1825715,37.455307,126.70392
436,2010,5,인천광역시,-0.24,1707125,37.455307,126.70392
437,2010,6,인천광역시,-0.21,1728906,37.455307,126.70392
438,2010,7,인천광역시,-0.42,1766598,37.455307,126.70392
439,2010,8,인천광역시,-0.28,1861369,37.455307,126.70392
440,2010,9,인천광역시,-0.3,1807585,37.455307,126.70392
441,2010,10,인천광역시,-0.1,1690609,37.455307,126.70392
442,2010,11,인천광역시,-0.12,1802665,37.455307,126.70392
443,2010,12,인천광역시,-0.05,1980971,37.455307,126.70392
444,2011,1,인천광역시,-0.03,2160417,37.455307,126.70392
445,2011,2,인천광역시,0.13,1883873,37.455307,126.70392
