,시도,인구수,연도,월,사용량,위도,경도
90,서울특별시,9806538.0,2018,7,4260544.0,37.551638,126.993243
91,서울특별시,9799075.0,2018,8,5394746.0,37.551638,126.993243
92,서울특별시,9793003.0,2018,9,4262672.0,37.551638,126.993243
93,서울특별시,9784112.0,2018,10,3320082.0,37.551638,126.993243
94,서울특별시,9774088.0,2018,11,3460909.0,37.551638,126.993243
95,서울특별시,9765623.0,2018,12,3949238.0,37.551638,126.993243
96,서울특별시,9766288.0,2019,1,4416889.0,37.551638,126.993243
97,서울특별시,9770638.0,2019,2,4127699.0,37.551638,126.993243
98,서울특별시,9770216.0,2019,3,3582654.0,37.551638,126.993243
99,서울특별시,9766886.0,2019,4,3591552.0,37.551638,126.993243
100,서울특별시,9762062.0,2019,5,3419987.0,37.551638,126.993243
101,서울특별시,9757144.0,2019,6,3676047.0,37.551638,126.993243
102,서울특별시,9751415.0,2019,7,4146986.0,37.551638,126.993243
103,서울특별시,9744888.0,2019,8,4897882.0,37.551638,126.993243
104,서울특별시,9740398.0,2019,9,4305561.0,37.551638,126.993243
105,서울특별시,9736289.0,2019,10,3568257.0,37.551638,126.993243
106,서울특별시,9732577.0,2019,11,3481097.0,37.551638,126.993243
107,서울특별시,9729107.0,2019,12,3952596.0,37.551638,126.993243
108,서울특별시,9733509.0,2020,1,4197026.0,37.551638,126.993243
109,서울특별시,9736962.0,2020,2,4037392.0,37.551638,126.993243
110,서울특별시,9733655.0,2020,3,3657444.0,37.551638,126.993243
111,서울특별시,9726787.0,2020,4,3410967.0,37.551638,126.993243
112,서울특별시,9724496.0,2020,5,3295839.0,37.551638,126.993243
113,서울특별시,9720846.0,2020,6,3730294.0,37.551638,126.993243
114,서울특별시,9715429.0,2020,7,4074026.0,37.551638,126.993243
115,서울특별시,9708247.0,2020,8,4438534.0,37.551638,126.993243
116,서울특별시,9699232.0,2020,9,4284346.0,37.551638,126.993243
117,서울특별시,9689159.0,2020,10,3313412.0,37.551638,126.993243
118,서울특별시,9679771.0,2020,11,3450679.0,37.551638,126.993243
119,서울특별시,9668465.0,2020,12,3897966.0,37.551638,126.993243
120,서울특별시,9657969.0,2021,1,4400410.0,37.551638,126.993243
121,서울특별시,9648606.0,2021,2,4134045.0,37.551638,126.993243
122,서울특별시,9598484.0,2021,3,3550751.0,37.551638,126.993243
123,서울특별시,9588711.0,2021,4,3449257.0,37.551638,126.993243
124,서울특별시,9575355.0,2021,5,3324763.0,37.551638,126.993243
125,서울특별시,9565990.0,2021,6,3701621.0,37.551638,126.993243
126,서울특별시,9558153.0,2021,7,4406553.0,37.551638,126.993243
127,서울특별시,9550227.0,2021,8,5103868.0,37.551638,126.993243
128,서울특별시,9542256.0,2021,9,4145083.0,37.551638,126.993243
129,서울특별시,9532428.0,2021,10,3578614.0,37.551638,126.993243
130,서울특별시,9520880.0,2021,11,3537141.0,37.551638,126.993243
131,서울특별시,9509458.0,2021,12,3963700.0,37.551638,126.993243
132,서울특별시,9505926.0,2022,1,,,
133,서울특별시,9508451.0,2022,2,,,
134,서울특별시,9506778.0,2022,3,,,
135,서울특별시,9500480.0,2022,4,,,
136,서울특별시,9496887.0,2022,5,,,
137,서울특별시,9494807.0,2022,6,,,
138,서울특별시,9493211.0,2022,7,,,
139,서울특별시,9488454.0,2022,8,,,
140,서울특별시,9450768.0,2022,9,,,
141,서울특별시,9443722.0,2022,10,,,
142,서울특별시,9436836.0,2022,11,,,
143,서울특별시,9428372.0,2022,12,,,
144,부산광역시,3566560.0,2011,1,1976059.0,35.209853,129.069121
145,부산광역시,3566480.0,2011,2,1837733.0,35.209853,129.069121
146,부산광역시,3564873.0,2011,3,1704632.0,35.209853,129.069121
147,부산광역시,3563042.0,2011,4,1709300.0,35.209853,129.069121
148,부산광역시,3562985.0,2011,5,1560035.0,35.209853,129.069121
149,부산광역시,3563295.0,2011,6,1613264.0,35.209853,129.069121
150,부산광역시,3560813.0,2011,7,1695590.0,35.209853,129.069121
151,부산광역시,3558372.0,2011,8,1793742.0,35.209853,129.069121
152,부산광역시,3556565.0,2011,9,1698380.0,35.209853,129.069121
153,부산광역시,3554635.0,2011,10,1596236.0,35.209853,129.069121
154,부산광역시,3553997.0,2011,11,1625214.0,35.209853,129.069121
155,부산광역시,3550963.0,2011,12,1751788.0,35.209853,129.069121
156,부산광역시,3549501.0,2012,1,1880756.0,35.209853,129.069121
157,부산광역시,3548640.0,2012,2,1890655.0,35.209853,129.069121
158,부산광역시,3547141.0,2012,3,1794675.0,35.209853,129.069121
159,부산광역시,3545806.0,2012,4,1710623.0,35.209853,129.069121
160,부산광역시,3543688.0,2012,5,1588494.0,35.209853,129.069121
161,부산광역시,3542239.0,2012,6,1559207.0,35.209853,129.069121
162,부산광역시,3542218.0,2012,7,1671135.0,35.209853,129.069121
163,부산광역시,3541431.0,2012,8,1869241.0,35.209853,129.069121
164,부산광역시,3540802.0,2012,9,1731297.0,35.209853,129.069121
165,부산광역시,3540098.0,2012,10,1531025.0,35.209853,129.069121
166,부산광역시,3539273.0,2012,11,1647057.0,35.209853,129.069121
167,부산광역시,3538484.0,2012,12,1790679.0,35.209853,129.069121
168,부산광역시,3538191.0,2013,1,1919106.0,35.209853,129.069121
169,부산광역시,3539455.0,2013,2,1793538.0,35.209853,129.069121
170,부산광역시,3538285.0,2013,3,1660595.0,35.209853,129.069121
171,부산광역시,3537758.0,2013,4,1666780.0,35.209853,129.069121
172,부산광역시,3536426.0,2013,5,1569179.0,35.209853,129.069121
173,부산광역시,3534500.0,2013,6,1580862.0,35.209853,129.069121
174,부산광역시,3532994.0,2013,7,1703106.0,35.209853,129.069121
175,부산광역시,3531796.0,2013,8,1861438.0,35.209853,129.069121
176,부산광역시,3531643.0,2013,9,1720611.0,35.209853,129.069121
177,부산광역시,3530579.0,2013,10,1565677.0,35.209853,129.069121
178,부산광역시,3529884.0,2013,11,1596068.0,35.209853,129.069121
179,부산광역시,3527635.0,2013,12,1727741.0,35.209853,129.069121
180,부산광역시,3526648.0,2014,1,1817342.0,35.209853,129.069121
181,부산광역시,3527439.0,2014,2,1741473.0,35.209853,129.069121
182,부산광역시,3525512.0,2014,3,1675854.0,35.209853,129.069121
183,부산광역시,3523386.0,2014,4,1665838.0,35.209853,129.069121
184,부산광역시,3521473.0,2014,5,1552138.0,35.209853,129.069121
185,부산광역시,3521210.0,2014,6,1572826.0,35.209853,129.069121
186,부산광역시,3520288.0,2014,7,1671763.0,35.209853,129.069121
187,부산광역시,3520287.0,2014,8,1739645.0,35.209853,129.069121
188,부산광역시,3520732.0,2014,9,1644324.0,35.209853,129.069121
189,부산광역시,3525913.0,2014,10,1576153.0,35.209853,129.069121
190,부산광역시,3522643.0,2014,11,1593205.0,35.209853,129.069121
191,부산광역시,3519401.0,2014,12,1730338.0,35.209853,129.069121
192,부산광역시,3517898.0,2015,1,1862691.0,35.209853,129.069121
193,부산광역시,3517939.0,2015,2,1736816.0,35.209853,129.069121
194,부산광역시,3515839.0,2015,3,1655945.0,35.209853,129.069121
195,부산광역시,3515439.0,2015,4,1671290.0,35.209853,129.069121
196,부산광역시,3515806.0,2015,5,1554462.0,35.209853,129.069121
197,부산광역시,3517491.0,2015,6,1579057.0,35.209853,129.069121
198,부산광역시,3518955.0,2015,7,1639718.0,35.209853,129.069121
199,부산광역시,3517907.0,2015,8,1802549.0,35.209853,129.069121
200,부산광역시,3516704.0,2015,9,1688758.0,35.209853,129.069121
201,부산광역시,3515689.0,2015,10,1548416.0,35.209853,129.069121
202,부산광역시,3514842.0,2015,11,1584107.0,35.209853,129.069121
203,부산광역시,3513777.0,2015,12,1678497.0,35.209853,129.069121
204,부산광역시,3513361.0,2016,1,1810693.0,35.209853,129.069121
205,부산광역시,3513192.0,2016,2,1802496.0,35.209853,129.069121
206,부산광역시,3512444.0,2016,3,1717796.0,35.209853,129.069121
207,부산광역시,3511974.0,2016,4,1647106.0,35.209853,129.069121
208,부산광역시,3510833.0,2016,5,1558585.0,35.209853,129.069121
209,부산광역시,3509462.0,2016,6,1604274.0,35.209853,129.069121
210,부산광역시,3508095.0,2016,7,1717654.0,35.209853,129.069121
211,부산광역시,3507205.0,2016,8,1901685.0,35.209853,129.069121
212,부산광역시,3505821.0,2016,9,1741483.0,35.209853,129.069121
213,부산광역시,3503789.0,2016,10,1607309.0,35.209853,129.069121
214,부산광역시,3501671.0,2016,11,1626102.0,35.209853,129.069121
215,부산광역시,3498529.0,2016,12,1731912.0,35.209853,129.069121
216,부산광역시,3496779.0,2017,1,1823489.0,35.209853,129.069121
217,부산광역시,3495478.0,2017,2,1824630.0,35.209853,129.069121
218,부산광역시,3493041.0,2017,3,1693920.0,35.209853,129.069121
219,부산광역시,3491282.0,2017,4,1696125.0,35.209853,129.069121
220,부산광역시,3489212.0,2017,5,1584172.0,35.209853,129.069121
221,부산광역시,3486570.0,2017,6,1646150.0,35.209853,129.069121
222,부산광역시,3484836.0,2017,7,1815923.0,35.209853,129.069121
