,년월,연도,월,시도,사용량,주택가격변동률
124,2017_1,2017,1,대구광역시,1391376,0.07
125,2017_1,2017,1,대전광역시,848529,0.47
126,2017_1,2017,1,부산광역시,1823489,0.49
127,2017_1,2017,1,서울특별시,4139967,-0.38
128,2017_1,2017,1,세종특별자치시,256178,0
129,2017_1,2017,1,울산광역시,2693958,0.03
130,2017_1,2017,1,인천광역시,2171785,-0.28
131,2017_1,2017,1,전라남도,2966421,0.09
132,2017_1,2017,1,전라북도,2038012,0.38
133,2017_1,2017,1,제주특별자치도,442925,0.09
134,2017_1,2017,1,충청남도,4362665,-0.1
135,2017_1,2017,1,충청북도,2209997,0.27
136,2018_1,2018,1,강원도,1668339,-0.04
137,2018_1,2018,1,경기도,11415963,-0.17
138,2018_1,2018,1,경상남도,3393372,0.71
139,2018_1,2018,1,경상북도,4179139,-0.01
140,2018_1,2018,1,광주광역시,807536,0.13
141,2018_1,2018,1,대구광역시,1465797,0.13
142,2018_1,2018,1,대전광역시,905302,0.44
143,2018_1,2018,1,부산광역시,1966689,0.7
144,2018_1,2018,1,서울특별시,4477102,-0.19
145,2018_1,2018,1,세종특별자치시,281364,0
146,2018_1,2018,1,울산광역시,2798813,0.19
147,2018_1,2018,1,인천광역시,2348574,-0.3
148,2018_1,2018,1,전라남도,3016089,0.22
149,2018_1,2018,1,전라북도,2152748,0.59
150,2018_1,2018,1,제주특별자치도,490242,0.04
151,2018_1,2018,1,충청남도,4628992,0.08
152,2018_1,2018,1,충청북도,2365631,0.48
153,2019_1,2019,1,강원도,1660463,0.06
154,2019_1,2019,1,경기도,11610400,-0.13
155,2019_1,2019,1,경상남도,3364894,0.89
156,2019_1,2019,1,경상북도,4165072,0.1
157,2019_1,2019,1,광주광역시,801473,0.3
158,2019_1,2019,1,대구광역시,1437112,0.24
159,2019_1,2019,1,대전광역시,884590,0.74
160,2019_1,2019,1,부산광역시,1906812,1.07
161,2019_1,2019,1,서울특별시,4416889,-0.12
162,2019_1,2019,1,세종특별자치시,292025,0
163,2019_1,2019,1,울산광역시,3013786,0.16
164,2019_1,2019,1,인천광역시,2309124,-0.1
165,2019_1,2019,1,전라남도,2960741,0.22
166,2019_1,2019,1,전라북도,2059375,0.39
167,2019_1,2019,1,제주특별자치도,504995,0.44
168,2019_1,2019,1,충청남도,4792097,0.02
169,2019_1,2019,1,충청북도,2464536,0.47
170,2020_1,2020,1,강원도,1547410,0.14
171,2020_1,2020,1,경기도,11278340,-0.03
172,2020_1,2020,1,경상남도,3168932,1.78
173,2020_1,2020,1,경상북도,3760339,0.38
174,2020_1,2020,1,광주광역시,756532,0.38
175,2020_1,2020,1,대구광역시,1361827,0.35
176,2020_1,2020,1,대전광역시,853129,0.85
177,2020_1,2020,1,부산광역시,1832430,1.33
178,2020_1,2020,1,서울특별시,4197026,-0.06
179,2020_1,2020,1,세종특별자치시,288845,0
180,2020_1,2020,1,울산광역시,2913837,0.46
181,2020_1,2020,1,인천광역시,2108033,-0.12
182,2020_1,2020,1,전라남도,2773472,0.56
183,2020_1,2020,1,전라북도,2022692,0.51
184,2020_1,2020,1,제주특별자치도,491120,0.26
185,2020_1,2020,1,충청남도,4571805,0.18
186,2020_1,2020,1,충청북도,2401135,0.66
187,2021_1,2021,1,강원도,1629812,0.19
188,2021_1,2021,1,경기도,12319589,0.05
189,2021_1,2021,1,경상남도,3449241,1.54
190,2021_1,2021,1,경상북도,3998481,0.19
191,2021_1,2021,1,광주광역시,811864,0.63
192,2021_1,2021,1,대구광역시,1443838,0.26
193,2021_1,2021,1,대전광역시,912804,1.1
194,2021_1,2021,1,부산광역시,1862280,1.18
195,2021_1,2021,1,서울특별시,4400410,0.03
196,2021_1,2021,1,세종특별자치시,334176,0
197,2021_1,2021,1,울산광역시,2943785,0.18
198,2021_1,2021,1,인천광역시,2258624,-0.05
199,2021_1,2021,1,전라남도,2844658,0.24
200,2021_1,2021,1,전라북도,1997136,0.59
201,2021_1,2021,1,제주특별자치도,518258,0.53
202,2021_1,2021,1,충청남도,4434196,0.11
203,2021_1,2021,1,충청북도,2596409,0.59
204,2010_2,2010,2,강원도,1382020,0.28
205,2010_2,2010,2,경기도,8341902,0.14
206,2010_2,2010,2,경상남도,2719682,1.45
