"구분별(1)",구분별(2),2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"구분별(1)",구분별(2),인원 (명),지급건수 (건),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),지급건수 (건),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),지급건수 (건),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원),인원 (명),연간지급금액 (백만원),소득세(원천징수분) (백만원)
"주소지별",경북,106454,154705,983914,31283,109745,161075,1054707,33152,106347,197523,1217969,37965,108391,1319249,40879,116066,1394634,42900,126671,1410406,43217,137157,1523466,46383,160549,1691525,51439,179905,1911314,57926,191455,2157179,65179,207126,2312856,69715,218928,2521251,76453,228028,2555076,77100,254863,2863280,86071
"주소지별",부산,215053,337274,2916001,90599,217956,345644,2997605,92543,219809,480755,3417763,104866,226078,3787502,115534,235699,4011680,121914,242694,4053326,122770,245749,4150721,125388,282912,4685554,141239,305619,5165172,155538,318600,5696070,171322,336321,6049464,181798,361243,6658534,200038,376335,6813005,204081,414148,7553135,225952
"주소지별",울산,61277,94154,679412,21777,64147,100111,715654,22638,64128,127125,806760,25313,69510,903561,28108,74655,963414,29746,78114,986398,30295,84426,1036029,31495,96372,1200743,36452,107602,1375761,41597,111620,1446874,43662,115595,1410300,42477,122358,1515394,46094,125066,1522061,46359,134793,1684065,51025
"주소지별",경남,141989,205937,1648575,51392,144753,210079,1714290,53037,143795,276424,1950602,59994,150645,2100233,64270,162118,2230988,67932,175337,2279796,69105,216151,2607864,78734,251867,2902618,87488,277275,3203469,96409,293259,3546204,106617,308824,3808688,114366,333269,4374741,131240,346832,4460646,135016,378210,4877070,146464
"주소지별",제주,31174,53186,314044,9815,31239,55126,329477,10218,32585,66540,378460,11690,36144,413863,12673,36280,450460,13699,37672,476095,14450,41198,531594,16035,48322,599261,18085,54455,731876,22037,59429,768820,23150,65448,853367,25665,72191,950216,29008,73530,963004,28985,85021,1097475,32936
"주소지별",기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25008,95671,2885,27993,102639,3093,34454,114414,3428,20912,74854,2417,19904,87469,2603
"징수의무자 유형별",소계,2994467,4755953,38011067,1181759,3127208,4935321,39660961,1225361,3362031,6603376,45336675,1395772,3487583,49710224,1523032,3732415,53461534,1630390,3933397,55307135,1681827,4311840,59810747,1810348,5012774,67517538,2041941,5649237,76699515,2313560,6222252,85782863,2583764,6835894,94123854,2830874,7540745,105026436,3163143,7989323,108701787,3265123,9036351,123383638,3695569
"징수의무자 유형별",개인사업자,596600,833826,6234207,227339,675552,911674,6568856,232632,759516,1009873,7222972,252582,777466,7841854,267212,815290,8081081,269897,883011,8725735,284941,982329,9795720,312597,1177121,11878454,373673,1443169,14602480,453268,1771118,17842300,548775,2024004,20195971,617714,2342158,22779353,693310,2542294,23821868,718986,2978378,27172591,816225
"징수의무자 유형별",법인사업자,2397867,3922127,31776860,954420,2451656,4023647,33092106,992729,2602515,5593503,38113703,1143191,2710117,41868370,1255820,2917125,45380453,1360493,3050386,46581400,1396886,3329511,50015027,1497751,3835653,55639085,1668267,4206068,62097035,1860292,4433705,67740751,2029180,4791406,73698637,2206469,5173571,81972166,2461715,5419233,84580433,2537179,6027330,95883486,2869628
"징수의무자 유형별",비사업자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17429,199182,5808,20484,229245,6691,25016,274917,8118,27796,299486,8958,30643,327561,9716
"지급총액 규모별",소계,2851151,4755953,38011067,1181759,2965680,4935321,39660961,1225361,3085626,6603376,45336675,1395772,3277898,49710224,1523032,3491817,53461534,1630390,3667149,55307135,1681827,4005925,59871030,1812145,4635776,67628850,2045273,5185759,76848797,2317982,5631758,85782863,2583764,6131867,94123854,2830874,6688444,105026436,3163143,7043969,108701787,3265123,7878928,123383638,3695569
"지급총액 규모별",1천만 이하,2168345,2871897,3642745,114378,2254357,3039314,3863071,120776,2304900,3237450,4167149,129391,2430482,4491064,138606,2586538,4726758,145097,2725158,4995131,152279,2990863,5467102,165643,3470090,6243475,188217,3830109,7122262,214027,4076655,8096577,242663,4423849,9066307,271058,4812010,10085697,300039,5114822,10648850,315522,5682686,11725715,345622
"지급총액 규모별",2천만 이하,285421,610751,4150262,133961,301095,643016,4385961,140631,321021,735516,4677028,148884,341912,4970149,156484,363132,5289951,165180,377237,5490311,170334,404868,5889321,181128,460763,6706398,204948,533896,7786916,236824,617151,9001601,272775,684390,9977144,301628,752260,10947160,329509,763378,11098617,332076,856330,12453338,370070
"지급총액 규모별",4천만 이하,230786,543575,6427996,210950,240128,570757,6641940,214770,262636,723181,7273921,232890,285826,7942104,250545,304569,8462603,264215,315287,8775345,271817,338970,9463012,290895,393076,10999833,336360,463656,12982757,395029,542425,15217856,461449,602126,16878619,510548,666746,18684198,563348,679801,19084846,571998,774329,21817186,650570
"지급총액 규모별",6천만 이하,65494,195429,3167430,101750,66178,191631,3203348,101611,75363,337067,3655660,115361,84102,4085124,127581,90077,4377659,135519,96397,4691503,144236,105693,5140342,156979,124809,6068852,184560,146373,7115849,215591,170104,8258583,249838,184752,8960147,270550,203102,9838858,296575,212935,10323903,310077,255419,12399971,371110
"지급총액 규모별",8천만 이하,28498,96361,1967888,60898,29523,95665,2038358,62925,34728,235530,2401147,74434,39092,2699148,83347,43335,2990595,91787,46815,3231668,98977,50628,3497631,106467,57598,3980107,120975,68394,4719892,142973,75651,5215162,157486,79079,5444125,164351,84167,5796078,174798,92349,6367289,191130,112088,7726477,231559
"지급총액 규모별",1억 이하,17487,61852,1562423,47441,17784,60271,1588858,48093,21027,176276,1878431,57097,22848,2041930,62218,25135,2243525,68004,26615,2376870,71922,28403,2535859,76826,32204,2879917,87232,35543,3174380,95879,37403,3338125,100881,38398,3426820,103457,40723,3630917,109686,44977,4011976,120435,52941,4712976,141273
"지급총액 규모별",2억 이하,32827,130770,4518700,135433,33621,129358,4623250,138299,38736,445720,5320495,159524,43811,6028458,181273,47619,6529183,196028,48573,6662148,200016,52733,7234548,216972,60416,8297466,249126,66984,9194914,276096,68639,9428672,282922,71155,9802099,294102,75281,10396324,312795,81637,11250010,337917,86245,11822524,355065
"지급총액 규모별",3억 이하,10037,52097,2433005,72815,10305,47665,2503208,74828,12015,184642,2916725,87287,13235,3214428,96265,13837,3360533,100634,13729,3334581,99805,15171,3684809,110159,16897,4098531,122713,18711,4535249,135794,19571,4743745,142088,21201,5149216,154085,23090,5618750,169220,23745,5755132,173089,24467,5944579,178877
"지급총액 규모별",5억 이하,6402,54585,2413758,72304,6662,46444,2511257,75017,8077,164706,3047218,91219,8934,3369866,100905,9529,3600393,107797,9186,3473590,103959,10033,3783233,113165,10858,4086109,122314,12068,4544400,136037,13058,4932586,147658,14391,5435833,162604,16386,6213662,187973,15764,5976189,180451,17248,6557182,198535
