,연도,시도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
57,2013,대전광역시,889173,824259,752100,744219,706844,726457,781617,848615,757394,686707,715260,792494
58,2013,부산광역시,1919106,1793538,1660595,1666780,1569179,1580862,1703106,1861438,1720611,1565677,1596068,1727741
59,2013,서울특별시,4486310,4189413,3652776,3638393,3439856,3706936,4099931,4534870,4064276,3388520,3462656,3891170
60,2013,세종특별자치시,215974,198312,193991,193422,182642,184294,189805,201942,187499,185655,197762,214230
61,2013,울산광역시,2600360,2307962,2359822,2389607,2470095,2489278,2582997,2533220,2594620,2547128,2497831,2620047
62,2013,인천광역시,2193461,1981709,1914157,1858262,1767068,1784636,1875985,1930205,1816536,1733855,1827736,1989830
63,2013,전라남도,2616869,2462649,2561902,2526041,2563413,2481465,2410269,2455720,2641451,2500516,2549661,2532116
64,2013,전라북도,1955358,1840946,1884301,1859911,1773454,1719435,1730583,1712559,1702646,1712623,1837859,1978985
65,2013,제주특별자치도,373763,370123,331589,342968,315090,305151,332906,393840,351450,307499,319307,351214
66,2013,충청남도,4111575,3622246,3808302,3708208,3659904,3581215,3708962,3766974,3671812,3776212,3940691,4110710
67,2013,충청북도,2030193,1878491,1831061,1848760,1689801,1688244,1770742,1809584,1702850,1778198,1680157,1956964
68,2014,강원도,1559679,1447941,1394556,1313298,1222477,1164699,1187271,1214877,1179709,1226324,1355140,1512174
69,2014,경기도,9668916,9131444,8604750,8295696,7798652,7996787,8529871,8604680,8075793,7860233,8280549,9333336
70,2014,경상남도,3176345,3029916,2944134,2820219,2590845,2590503,2739786,2644061,2569954,2580948,2694710,3053737
71,2014,경상북도,4164536,3841506,4015412,3880598,3727121,3731382,3831939,3686008,3647642,3733519,3774305,3982394
72,2014,광주광역시,753936,723756,683278,671402,623437,651234,692995,717104,668280,629549,655913,726392
73,2014,대구광역시,1377672,1314569,1246283,1222595,1143206,1182480,1255757,1273769,1182542,1147482,1190355,1322076
74,2014,대전광역시,841296,806306,757265,732896,690037,725186,782699,798517,734372,699688,724232,810030
75,2014,부산광역시,1817342,1741473,1675854,1665838,1552138,1572826,1671763,1739645,1644324,1576153,1593205,1730338
76,2014,서울특별시,4155574,3974971,3547923,3466188,3305028,3649218,4072242,4260833,3844677,3396751,3403955,3941504
77,2014,세종특별자치시,219354,201659,208030,200310,189968,191639,203945,196299,190143,197354,210215,228116
78,2014,울산광역시,2585455,2369736,2565806,2493939,2487662,2446502,2590569,2553748,2453371,2519310,2434592,2614433
79,2014,인천광역시,2073838,1927635,1876836,1815977,1733900,1804931,1933604,1911112,1812648,1823647,1822629,2041291
80,2014,전라남도,2668850,2541771,2804619,2709942,2614251,2471884,2573919,2592766,2614315,2774211,2587553,2768862
81,2014,전라북도,2059548,1936290,1930533,1871011,1794560,1783912,1830154,1767724,1736555,1751897,1836120,1999109
82,2014,제주특별자치도,395005,392464,359620,362046,332179,324320,329068,364066,341393,318161,334243,367525
83,2014,충청남도,4240903,3924659,4085945,3889221,3820255,3809582,3920746,3891818,3745396,3818065,3982861,4165510
84,2014,충청북도,2000165,1900973,1921157,1842677,1751911,1745149,1848656,1815753,1720379,1762169,1848269,2022002
85,2015,강원도,1617029,1498837,1438930,1376925,1265816,1219754,1209553,1286166,1245384,1243791,1315133,1489302
86,2015,경기도,10014789,9380604,8783408,8597671,7993045,8187214,8494129,9262319,8605837,7991732,8471689,9265565
87,2015,경상남도,3299663,3071402,2964230,2888704,2632161,2629378,2709947,2763484,2652444,2584405,2710128,2970379
88,2015,경상북도,4222897,3806760,3833618,3821201,3668209,3678558,3607031,3680745,3614368,3622497,3603675,3797276
89,2015,광주광역시,776667,741223,686980,682684,628402,645195,714512,754560,696736,637335,660658,708920
90,2015,대구광역시,1417385,1344788,1233059,1244033,1149079,1203042,1224159,1334385,1226328,1119902,1179855,1271693
91,2015,대전광역시,875517,815725,761115,746537,698243,735488,760448,851386,769249,691185,704168,773675
92,2015,부산광역시,1862691,1736816,1655945,1671290,1554462,1579057,1639718,1802549,1688758,1548416,1584107,1678497
93,2015,서울특별시,4281117,4023566,3592926,3512071,3324249,3637371,3982172,4471860,4006650,3375006,3395776,3778722
94,2015,세종특별자치시,238758,222786,222292,222824,201272,209733,217496,218478,216121,210028,223583,237770
95,2015,울산광역시,2625576,2374187,2464928,2510891,2523196,2490860,2611907,2609390,2531954,2468033,2441240,2633978
96,2015,인천광역시,2170984,1944363,1959769,1913281,1796751,1856934,1903269,2060394,1882874,1819691,1879980,2023477
97,2015,전라남도,3036414,2613495,2949659,2789053,2777120,2546452,2453984,2747295,2762333,2490118,2668793,2803112
98,2015,전라북도,2120976,1932315,1943996,1902282,1794605,1739397,1666071,1805578,1804126,1736826,1811060,1829627
99,2015,제주특별자치도,418867,421680,378029,381372,344375,333424,340764,398539,360964,329414,345844,376279
100,2015,충청남도,4327257,3927672,4025780,3879019,3725601,3813925,3956742,3976573,3805968,3779524,3964026,4103973
101,2015,충청북도,2116715,1952327,1965128,1924405,1799404,1824828,1886596,1905285,1833996,1803187,1903811,2033351
102,2016,강원도,1571855,1550976,1467505,1451457,1263447,1213047,1239943,1331494,1270819,1236128,1377388,1524710
103,2016,경기도,9959962,9892365,9305513,8712878,8135623,8507386,8997317,9808502,9050972,8323349,8926704,9783329
104,2016,경상남도,3246347,3162965,3061924,2864110,2638097,2657835,2799026,2912513,2745413,2593761,2767897,3047586
105,2016,경상북도,3973144,3756360,3898041,3683982,3605061,4161055,3056868,3810108,3575381,3478600,3685279,3963623
106,2016,광주광역시,753434,756943,714023,675078,630983,675463,731855,813713,742389,650524,679694,734270
107,2016,대구광역시,1371791,1364933,1281266,1216827,1143952,1210881,1282697,1423080,1271426,1155560,1224999,1320700
108,2016,대전광역시,846242,844537,790757,738081,705223,751192,801595,907682,792137,696965,717172,788049
109,2016,부산광역시,1810693,1802496,1717796,1647106,1558585,1604274,1717654,1901685,1741483,1607309,1626102,1731912
110,2016,서울특별시,4151770,4174917,3729909,3457927,3340823,3715673,4101888,4852558,4206131,3436055,3479675,3845908
111,2016,세종특별자치시,248816,239143,241009,225166,211516,225970,233674,243882,227429,216962,232698,255603
112,2016,울산광역시,2710223,2579198,2760005,2652322,2653567,2659735,2767201,2746691,2720426,2677199,2491851,2676799
113,2016,인천광역시,2160095,2022911,2033501,1903770,1844211,1901027,2018624,2159497,1946465,1820561,1962339,2102857
114,2016,전라남도,2895725,2775291,2766219,2666903,2681434,2605076,2631165,2856132,2805440,2782724,2734027,2896766
115,2016,전라북도,2097896,1993238,2003641,1862918,1777979,1732744,1832647,1951491,1848355,1753092,1873392,2006101
116,2016,제주특별자치도,428947,447375,404279,393203,355822,354638,385185,454259,405821,350595,361557,396520
117,2016,충청남도,4278712,4101465,4090460,3938652,3822073,3789423,4019425,4182948,3924897,3903213,4107340,4295324
118,2016,충청북도,2124764,2105112,1979334,2033076,1867194,1902687,1973528,2055605,1928928,1866583,2008353,2163701
119,2017,강원도,1579863,1570620,1460105,1390748,1260135,1228374,1266281,1309951,1242820,1228640,1413444,1601791
120,2017,경기도,10297551,10228593,9551033,9094729,8531719,8873250,9771137,10298534,9494123,8547612,9438810,10720768
121,2017,경상남도,3192935,3216892,2992019,2879081,2587207,2683615,2873069,2960983,2879660,2456870,2786077,3139455
122,2017,경상북도,4016218,3858427,3827880,3668403,3553235,3592872,3811468,3872112,3757191,3581571,3862255,4053979
123,2017,광주광역시,765086,773394,717911,698719,634699,677388,761988,833272,758365,631753,680055,751019
124,2017,대구광역시,1391376,1375375,1263786,1234859,1147637,1218416,1349359,1413997,1306140,1107848,1220287,1357294
125,2017,대전광역시,848529,848651,779387,748954,700348,741221,826381,895488,787503,680663,730894,835787
126,2017,부산광역시,1823489,1824630,1693920,1696125,1584172,1646150,1815923,1979171,1848565,1569820,1675282,1850113
127,2017,서울특별시,4139967,4166700,3649111,3470755,3290791,3621612,4273771,4733095,3998064,3329882,3488082,4136329
128,2017,세종특별자치시,256178,254773,247248,234700,221324,232819,247499,255802,245761,215765,242114,264776
129,2017,울산광역시,2693958,2492173,2659206,2559430,2593991,2520793,2774160,2782576,2706478,2617830,2511997,2697258
