,연도,월,시도,고용률,사용량,위도,경도
102,2018,7,서울특별시,59.9,4260544,37.551638,126.993243
103,2018,8,서울특별시,59.5,5394746,37.551638,126.993243
104,2018,9,서울특별시,59.3,4262672,37.551638,126.993243
105,2018,10,서울특별시,59.4,3320082,37.551638,126.993243
106,2018,11,서울특별시,59.9,3460909,37.551638,126.993243
107,2018,12,서울특별시,59.3,3949238,37.551638,126.993243
108,2019,1,서울특별시,58.7,4416889,37.551638,126.993243
109,2019,2,서울특별시,58.4,4127699,37.551638,126.993243
110,2019,3,서울특별시,58.7,3582654,37.551638,126.993243
111,2019,4,서울특별시,59.6,3591552,37.551638,126.993243
112,2019,5,서울특별시,60.3,3419987,37.551638,126.993243
113,2019,6,서울특별시,60.6,3676047,37.551638,126.993243
114,2019,7,서울특별시,60.8,4146986,37.551638,126.993243
115,2019,8,서울특별시,60.6,4897882,37.551638,126.993243
116,2019,9,서울특별시,60.8,4305561,37.551638,126.993243
117,2019,10,서울특별시,60.7,3568257,37.551638,126.993243
118,2019,11,서울특별시,60.5,3481097,37.551638,126.993243
119,2019,12,서울특별시,60.4,3952596,37.551638,126.993243
120,2020,1,서울특별시,60.0,4197026,37.551638,126.993243
121,2020,2,서울특별시,60.1,4037392,37.551638,126.993243
122,2020,3,서울특별시,59.0,3657444,37.551638,126.993243
123,2020,4,서울특별시,58.6,3410967,37.551638,126.993243
124,2020,5,서울특별시,59.1,3295839,37.551638,126.993243
125,2020,6,서울특별시,59.2,3730294,37.551638,126.993243
126,2020,7,서울특별시,59.5,4074026,37.551638,126.993243
127,2020,8,서울특별시,59.6,4438534,37.551638,126.993243
128,2020,9,서울특별시,58.9,4284346,37.551638,126.993243
129,2020,10,서울특별시,59.2,3313412,37.551638,126.993243
130,2020,11,서울특별시,59.8,3450679,37.551638,126.993243
131,2020,12,서울특별시,58.8,3897966,37.551638,126.993243
132,2021,1,서울특별시,57.3,4400410,37.551638,126.993243
133,2021,2,서울특별시,57.9,4134045,37.551638,126.993243
134,2021,3,서울특별시,59.1,3550751,37.551638,126.993243
135,2021,4,서울특별시,59.2,3449257,37.551638,126.993243
136,2021,5,서울특별시,59.6,3324763,37.551638,126.993243
137,2021,6,서울특별시,59.7,3701621,37.551638,126.993243
138,2021,7,서울특별시,59.6,4406553,37.551638,126.993243
139,2021,8,서울특별시,59.2,5103868,37.551638,126.993243
140,2021,9,서울특별시,59.7,4145083,37.551638,126.993243
141,2021,10,서울특별시,59.5,3578614,37.551638,126.993243
142,2021,11,서울특별시,59.9,3537141,37.551638,126.993243
143,2021,12,서울특별시,60.2,3963700,37.551638,126.993243
144,2010,1,부산광역시,54.1,1848492,35.209853,129.069121
145,2010,2,부산광역시,53.9,1731722,35.209853,129.069121
146,2010,3,부산광역시,54.3,1635276,35.209853,129.069121
147,2010,4,부산광역시,54.5,1682021,35.209853,129.069121
148,2010,5,부산광역시,55.5,1571566,35.209853,129.069121
149,2010,6,부산광역시,55.0,1560178,35.209853,129.069121
150,2010,7,부산광역시,55.0,1675050,35.209853,129.069121
151,2010,8,부산광역시,54.1,1797007,35.209853,129.069121
152,2010,9,부산광역시,53.7,1806226,35.209853,129.069121
153,2010,10,부산광역시,53.8,1571374,35.209853,129.069121
154,2010,11,부산광역시,54.0,1616403,35.209853,129.069121
155,2010,12,부산광역시,53.8,1768368,35.209853,129.069121
156,2011,1,부산광역시,52.9,1976059,35.209853,129.069121
157,2011,2,부산광역시,52.9,1837733,35.209853,129.069121
158,2011,3,부산광역시,53.5,1704632,35.209853,129.069121
159,2011,4,부산광역시,53.8,1709300,35.209853,129.069121
160,2011,5,부산광역시,54.4,1560035,35.209853,129.069121
161,2011,6,부산광역시,55.0,1613264,35.209853,129.069121
162,2011,7,부산광역시,55.5,1695590,35.209853,129.069121
163,2011,8,부산광역시,55.1,1793742,35.209853,129.069121
164,2011,9,부산광역시,54.1,1698380,35.209853,129.069121
165,2011,10,부산광역시,55.7,1596236,35.209853,129.069121
166,2011,11,부산광역시,55.7,1625214,35.209853,129.069121
167,2011,12,부산광역시,55.4,1751788,35.209853,129.069121
168,2012,1,부산광역시,55.2,1880756,35.209853,129.069121
169,2012,2,부산광역시,55.0,1890655,35.209853,129.069121
170,2012,3,부산광역시,55.7,1794675,35.209853,129.069121
171,2012,4,부산광역시,55.7,1710623,35.209853,129.069121
172,2012,5,부산광역시,56.3,1588494,35.209853,129.069121
173,2012,6,부산광역시,56.7,1559207,35.209853,129.069121
174,2012,7,부산광역시,56.6,1671135,35.209853,129.069121
175,2012,8,부산광역시,55.9,1869241,35.209853,129.069121
176,2012,9,부산광역시,56.0,1731297,35.209853,129.069121
177,2012,10,부산광역시,55.7,1531025,35.209853,129.069121
178,2012,11,부산광역시,55.8,1647057,35.209853,129.069121
179,2012,12,부산광역시,56.0,1790679,35.209853,129.069121
180,2013,1,부산광역시,56.1,1919106,35.209853,129.069121
181,2013,2,부산광역시,55.3,1793538,35.209853,129.069121
182,2013,3,부산광역시,55.7,1660595,35.209853,129.069121
183,2013,4,부산광역시,56.6,1666780,35.209853,129.069121
184,2013,5,부산광역시,56.8,1569179,35.209853,129.069121
185,2013,6,부산광역시,56.8,1580862,35.209853,129.069121
186,2013,7,부산광역시,56.5,1703106,35.209853,129.069121
187,2013,8,부산광역시,55.9,1861438,35.209853,129.069121
188,2013,9,부산광역시,56.1,1720611,35.209853,129.069121
189,2013,10,부산광역시,55.9,1565677,35.209853,129.069121
190,2013,11,부산광역시,56.4,1596068,35.209853,129.069121
191,2013,12,부산광역시,55.6,1727741,35.209853,129.069121
192,2014,1,부산광역시,55.4,1817342,35.209853,129.069121
193,2014,2,부산광역시,55.1,1741473,35.209853,129.069121
194,2014,3,부산광역시,55.3,1675854,35.209853,129.069121
195,2014,4,부산광역시,56.5,1665838,35.209853,129.069121
196,2014,5,부산광역시,57.2,1552138,35.209853,129.069121
197,2014,6,부산광역시,57.4,1572826,35.209853,129.069121
198,2014,7,부산광역시,58.0,1671763,35.209853,129.069121
199,2014,8,부산광역시,57.9,1739645,35.209853,129.069121
200,2014,9,부산광역시,57.3,1644324,35.209853,129.069121
201,2014,10,부산광역시,57.2,1576153,35.209853,129.069121
202,2014,11,부산광역시,57.1,1593205,35.209853,129.069121
203,2014,12,부산광역시,56.5,1730338,35.209853,129.069121
204,2015,1,부산광역시,55.9,1862691,35.209853,129.069121
205,2015,2,부산광역시,56.1,1736816,35.209853,129.069121
206,2015,3,부산광역시,55.9,1655945,35.209853,129.069121
207,2015,4,부산광역시,56.3,1671290,35.209853,129.069121
208,2015,5,부산광역시,56.4,1554462,35.209853,129.069121
209,2015,6,부산광역시,56.4,1579057,35.209853,129.069121
210,2015,7,부산광역시,56.6,1639718,35.209853,129.069121
211,2015,8,부산광역시,55.9,1802549,35.209853,129.069121
212,2015,9,부산광역시,56.4,1688758,35.209853,129.069121
213,2015,10,부산광역시,56.6,1548416,35.209853,129.069121
214,2015,11,부산광역시,56.7,1584107,35.209853,129.069121
215,2015,12,부산광역시,56.2,1678497,35.209853,129.069121
216,2016,1,부산광역시,55.8,1810693,35.209853,129.069121
217,2016,2,부산광역시,56.0,1802496,35.209853,129.069121
218,2016,3,부산광역시,55.9,1717796,35.209853,129.069121
219,2016,4,부산광역시,56.5,1647106,35.209853,129.069121
220,2016,5,부산광역시,56.2,1558585,35.209853,129.069121
221,2016,6,부산광역시,56.3,1604274,35.209853,129.069121
222,2016,7,부산광역시,56.4,1717654,35.209853,129.069121
223,2016,8,부산광역시,56.2,1901685,35.209853,129.069121
224,2016,9,부산광역시,56.0,1741483,35.209853,129.069121
225,2016,10,부산광역시,56.1,1607309,35.209853,129.069121
226,2016,11,부산광역시,56.6,1626102,35.209853,129.069121
227,2016,12,부산광역시,56.1,1731912,35.209853,129.069121
228,2017,1,부산광역시,55.5,1823489,35.209853,129.069121
229,2017,2,부산광역시,55.9,1824630,35.209853,129.069121
230,2017,3,부산광역시,56.2,1693920,35.209853,129.069121
231,2017,4,부산광역시,56.4,1696125,35.209853,129.069121
232,2017,5,부산광역시,57.0,1584172,35.209853,129.069121
233,2017,6,부산광역시,57.0,1646150,35.209853,129.069121
234,2017,7,부산광역시,56.7,1815923,35.209853,129.069121
235,2017,8,부산광역시,56.4,1979171,35.209853,129.069121
236,2017,9,부산광역시,56.2,1848565,35.209853,129.069121
237,2017,10,부산광역시,56.3,1569820,35.209853,129.069121
238,2017,11,부산광역시,56.1,1675282,35.209853,129.069121
239,2017,12,부산광역시,56.1,1850113,35.209853,129.069121
240,2018,1,부산광역시,55.3,1966689,35.209853,129.069121
241,2018,2,부산광역시,54.9,1898871,35.209853,129.069121
242,2018,3,부산광역시,55.6,1714122,35.209853,129.069121
243,2018,4,부산광역시,55.5,1675122,35.209853,129.069121
244,2018,5,부산광역시,55.7,1594722,35.209853,129.069121
245,2018,6,부산광역시,56.3,1647154,35.209853,129.069121
246,2018,7,부산광역시,55.6,1813944,35.209853,129.069121
247,2018,8,부산광역시,55.1,2095583,35.209853,129.069121
248,2018,9,부산광역시,55.4,1841933,35.209853,129.069121
249,2018,10,부산광역시,56.5,1605288,35.209853,129.069121
250,2018,11,부산광역시,56.7,1639619,35.209853,129.069121
251,2018,12,부산광역시,55.8,1723557,35.209853,129.069121
252,2019,1,부산광역시,54.9,1906812,35.209853,129.069121
253,2019,2,부산광역시,55.3,1753708,35.209853,129.069121
254,2019,3,부산광역시,56.0,1652037,35.209853,129.069121
255,2019,4,부산광역시,56.1,1669235,35.209853,129.069121
256,2019,5,부산광역시,56.6,1596068,35.209853,129.069121
257,2019,6,부산광역시,56.7,1633070,35.209853,129.069121
258,2019,7,부산광역시,57.3,1724989,35.209853,129.069121
259,2019,8,부산광역시,57.0,1966047,35.209853,129.069121
260,2019,9,부산광역시,57.2,1847006,35.209853,129.069121
261,2019,10,부산광역시,57.6,1676463,35.209853,129.069121
262,2019,11,부산광역시,57.5,1633512,35.209853,129.069121
263,2019,12,부산광역시,57.0,1743462,35.209853,129.069121
264,2020,1,부산광역시,56.2,1832430,35.209853,129.069121
265,2020,2,부산광역시,55.9,1782217,35.209853,129.069121
266,2020,3,부산광역시,55.7,1670111,35.209853,129.069121
267,2020,4,부산광역시,54.3,1607069,35.209853,129.069121
268,2020,5,부산광역시,54.6,1510099,35.209853,129.069121
269,2020,6,부산광역시,55.4,1615016,35.209853,129.069121
270,2020,7,부산광역시,55.6,1701538,35.209853,129.069121
271,2020,8,부산광역시,55.8,1883786,35.209853,129.069121
272,2020,9,부산광역시,55.8,1944267,35.209853,129.069121
273,2020,10,부산광역시,56.1,1555323,35.209853,129.069121
274,2020,11,부산광역시,56.4,1623880,35.209853,129.069121
275,2020,12,부산광역시,55.5,1778233,35.209853,129.069121
276,2021,1,부산광역시,54.1,1862280,35.209853,129.069121
277,2021,2,부산광역시,54.8,1762335,35.209853,129.069121
278,2021,3,부산광역시,55.7,1656492,35.209853,129.069121
279,2021,4,부산광역시,56.2,1654340,35.209853,129.069121
280,2021,5,부산광역시,56.7,1572221,35.209853,129.069121
281,2021,6,부산광역시,56.9,1676954,35.209853,129.069121
282,2021,7,부산광역시,57.1,1861381,35.209853,129.069121
283,2021,8,부산광역시,57.3,2037219,35.209853,129.069121
284,2021,9,부산광역시,56.6,1842289,35.209853,129.069121
285,2021,10,부산광역시,56.5,1680885,35.209853,129.069121
286,2021,11,부산광역시,56.6,1674216,35.209853,129.069121
287,2021,12,부산광역시,55.8,1787220,35.209853,129.069121
288,2010,1,대구광역시,55.6,1331473,35.825757,128.576897
289,2010,2,대구광역시,55.5,1269135,35.825757,128.576897
290,2010,3,대구광역시,56.9,1172936,35.825757,128.576897
291,2010,4,대구광역시,57.6,1199557,35.825757,128.576897
292,2010,5,대구광역시,57.9,1100160,35.825757,128.576897
293,2010,6,대구광역시,58.1,1119186,35.825757,128.576897
