,연도,시도,월,사용량
194,2021,부산광역시,1,1862280
195,2021,서울특별시,1,4400410
196,2021,세종특별자치시,1,334176
197,2021,울산광역시,1,2943785
198,2021,인천광역시,1,2258624
199,2021,전라남도,1,2844658
200,2021,전라북도,1,1997136
201,2021,제주특별자치도,1,518258
202,2021,충청남도,1,4434196
203,2021,충청북도,1,2596409
204,2010,강원도,2,1382020
205,2010,경기도,2,8341902
206,2010,경상남도,2,2719682
207,2010,경상북도,2,3471888
208,2010,광주광역시,2,682498
209,2010,대구광역시,2,1269135
210,2010,대전광역시,2,778458
211,2010,부산광역시,2,1731722
212,2010,서울특별시,2,4168168
213,2010,세종특별자치시,2,0
214,2010,울산광역시,2,2042581
215,2010,인천광역시,2,1841774
216,2010,전라남도,2,2005193
217,2010,전라북도,2,1592103
218,2010,제주특별자치도,2,317412
219,2010,충청남도,2,3188393
220,2010,충청북도,2,1675101
221,2011,강원도,2,1520498
222,2011,경기도,2,8918913
223,2011,경상남도,2,2931864
224,2011,경상북도,2,3684612
225,2011,광주광역시,2,717292
226,2011,대구광역시,2,1336667
227,2011,대전광역시,2,825822
228,2011,부산광역시,2,1837733
229,2011,서울특별시,2,4264449
230,2011,세종특별자치시,2,0
231,2011,울산광역시,2,2121380
232,2011,인천광역시,2,1883873
233,2011,전라남도,2,2252039
234,2011,전라북도,2,1841244
235,2011,제주특별자치도,2,341807
236,2011,충청남도,2,3586953
237,2011,충청북도,2,1767686
238,2012,강원도,2,1546100
239,2012,경기도,2,9311873
240,2012,경상남도,2,3129982
241,2012,경상북도,2,3832480
242,2012,광주광역시,2,737378
243,2012,대구광역시,2,1375774
244,2012,대전광역시,2,846326
245,2012,부산광역시,2,1890655
246,2012,서울특별시,2,4298788
247,2012,세종특별자치시,2,0
248,2012,울산광역시,2,2398278
249,2012,인천광역시,2,2070475
250,2012,전라남도,2,2382964
251,2012,전라북도,2,1959294
252,2012,제주특별자치도,2,358007
253,2012,충청남도,2,3877003
254,2012,충청북도,2,1900372
255,2013,강원도,2,1494196
256,2013,경기도,2,9265981
257,2013,경상남도,2,3003028
258,2013,경상북도,2,3717744
259,2013,광주광역시,2,709493
260,2013,대구광역시,2,1336301
261,2013,대전광역시,2,824259
262,2013,부산광역시,2,1793538
263,2013,서울특별시,2,4189413
264,2013,세종특별자치시,2,198312
265,2013,울산광역시,2,2307962
266,2013,인천광역시,2,1981709
267,2013,전라남도,2,2462649
268,2013,전라북도,2,1840946
269,2013,제주특별자치도,2,370123
270,2013,충청남도,2,3622246
271,2013,충청북도,2,1878491
272,2014,강원도,2,1447941
273,2014,경기도,2,9131444
274,2014,경상남도,2,3029916
275,2014,경상북도,2,3841506
276,2014,광주광역시,2,723756
277,2014,대구광역시,2,1314569
278,2014,대전광역시,2,806306
279,2014,부산광역시,2,1741473
280,2014,서울특별시,2,3974971
281,2014,세종특별자치시,2,201659
282,2014,울산광역시,2,2369736
283,2014,인천광역시,2,1927635
284,2014,전라남도,2,2541771
285,2014,전라북도,2,1936290
286,2014,제주특별자치도,2,392464
287,2014,충청남도,2,3924659
288,2014,충청북도,2,1900973
289,2015,강원도,2,1498837
290,2015,경기도,2,9380604
291,2015,경상남도,2,3071402
292,2015,경상북도,2,3806760
293,2015,광주광역시,2,741223
294,2015,대구광역시,2,1344788
295,2015,대전광역시,2,815725
296,2015,부산광역시,2,1736816
297,2015,서울특별시,2,4023566
298,2015,세종특별자치시,2,222786
299,2015,울산광역시,2,2374187
300,2015,인천광역시,2,1944363
301,2015,전라남도,2,2613495
302,2015,전라북도,2,1932315
303,2015,제주특별자치도,2,421680
304,2015,충청남도,2,3927672
305,2015,충청북도,2,1952327
306,2016,강원도,2,1550976
307,2016,경기도,2,9892365
308,2016,경상남도,2,3162965
309,2016,경상북도,2,3756360
310,2016,광주광역시,2,756943
311,2016,대구광역시,2,1364933
312,2016,대전광역시,2,844537
313,2016,부산광역시,2,1802496
314,2016,서울특별시,2,4174917
315,2016,세종특별자치시,2,239143
316,2016,울산광역시,2,2579198
317,2016,인천광역시,2,2022911
318,2016,전라남도,2,2775291
319,2016,전라북도,2,1993238
320,2016,제주특별자치도,2,447375
321,2016,충청남도,2,4101465
322,2016,충청북도,2,2105112
323,2017,강원도,2,1570620
324,2017,경기도,2,10228593
