,연도,시도,시군구,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
209,2010년,경상북도,포항시,1115493,999309,1033268,1010116,989595,989471,933840,930321,954481,1055426,1031942,1109655
210,2010년,경상남도,거제시,177110,165756,166328,160477,147628,150420,164877,174693,167664,145755,155197,176114
211,2010년,경상남도,거창군,37333,36647,31910,32565,28251,26809,27049,29010,29078,26863,31122,35280
212,2010년,경상남도,고성군,49469,46390,42964,42286,36454,33397,35091,38647,39287,38544,41220,49001
213,2010년,경상남도,김해시,429318,416461,383652,400921,362617,365043,376211,386603,402353,353478,401445,439230
214,2010년,경상남도,남해군,24126,23247,20077,20577,17479,17052,17303,20269,19831,16954,20301,21501
215,2010년,경상남도,밀양시,92622,90709,79479,76927,64527,58173,58879,62630,61775,55927,63852,81534
216,2010년,경상남도,사천시,103106,98229,92965,94187,86994,86760,92066,97173,93963,89387,94670,102823
217,2010년,경상남도,산청군,25445,24619,20169,19798,17120,15570,15474,17282,17702,15210,19470,21984
218,2010년,경상남도,양산시,279099,255883,255926,260533,242248,249248,259682,250580,268084,248888,260690,279950
219,2010년,경상남도,의령군,31582,30555,28817,27866,25949,25118,26662,28437,27765,26935,29664,32949
220,2010년,경상남도,진주시,227762,215264,199301,200060,177907,171166,177428,189369,185116,168222,187459,217920
221,2010년,경상남도,창녕군,53609,52189,46699,46709,40254,37208,41229,44796,43070,38821,45234,54528
222,2010년,경상남도,창원시,1011096,910181,919834,921058,873353,877740,928631,935180,898440,870191,915565,1000423
223,2010년,경상남도,통영시,114215,105436,103083,97522,90420,89257,97549,105955,100738,92691,95411,109826
224,2010년,경상남도,하동군,29787,29381,25848,24612,23592,19818,19378,20488,20641,18308,23940,26120
225,2010년,경상남도,함안군,180392,164315,183673,188459,175218,166144,170818,155471,172802,180542,187195,207086
226,2010년,경상남도,함양군,23863,23407,20661,23437,20293,19021,19695,20775,22252,20105,25008,27885
227,2010년,경상남도,합천군,32841,31013,26940,27259,23264,21415,22127,23028,23521,21277,25874,30068
228,2010년,제주특별자치도,서귀포시,115741,115388,102954,111347,103231,100893,103640,116133,111766,99550,104144,109968
229,2011년,서울특별시,강남구,473539,430375,384033,369684,346834,386328,431699,472839,430718,348362,352039,398057
230,2011년,서울특별시,강동구,151602,144411,123220,122540,113570,120733,131598,145286,136480,113883,116588,128311
231,2011년,서울특별시,강북구,94936,92801,76893,77317,70137,72830,77862,86327,83461,70215,72927,79638
232,2011년,서울특별시,강서구,192124,183634,158431,158761,146841,153495,165918,183016,173896,149463,153336,170538
233,2011년,서울특별시,관악구,168050,163292,137210,138748,125963,131898,142974,160489,153214,126691,130538,141647
234,2011년,서울특별시,광진구,166217,156512,133464,135556,127380,139446,150425,167559,157312,127374,129330,140561
235,2011년,서울특별시,구로구,211708,190208,170592,164279,154226,162448,177055,189555,174327,154569,159773,177129
236,2011년,서울특별시,금천구,156753,138013,126539,119319,111982,120847,134407,143758,132705,113490,117663,135621
237,2011년,서울특별시,노원구,153780,149287,122963,126565,116326,122757,131687,144403,138846,118324,120316,130798
238,2011년,서울특별시,도봉구,105774,102154,86434,88340,81169,85066,90499,99244,95362,81599,85114,90710
