,연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
0,2010,서울특별시,강남구,총계,457927,424894,373656,376910,349786,393627,457405,496809,450576,350481,363305,413633
1,2010,서울특별시,강동구,총계,144932,138528,118182,122005,111808,120631,135088,149326,138737,112613,119957,132367
2,2010,서울특별시,강북구,총계,90056,87984,72971,76623,69216,71907,79741,91081,86153,70080,73777,81674
3,2010,서울특별시,강서구,총계,186338,178368,153856,159663,147469,155677,172732,194199,182702,147682,153640,168821
4,2010,서울특별시,관악구,총계,159420,154923,130358,138016,124745,132059,148250,166418,159093,126106,131912,145001
5,2010,서울특별시,광진구,총계,169381,159875,137112,140857,131957,146262,167290,181960,168817,130794,134733,146821
6,2010,서울특별시,구로구,총계,200941,187235,164798,165210,151854,164471,180847,196056,180308,151642,162206,183594
7,2010,서울특별시,금천구,총계,139636,129079,116256,115631,106566,119253,136191,159193,133479,98512,129752,137366
8,2010,서울특별시,노원구,총계,149837,144882,123571,129009,117587,126179,140076,155618,143193,115248,123443,135799
9,2010,서울특별시,도봉구,총계,104040,100710,84676,89472,81730,85938,93856,106953,98593,79392,80200,99246
10,2010,서울특별시,동대문구,총계,142045,136579,115573,120246,107235,114401,130903,150203,139390,110521,116068,129437
11,2010,서울특별시,동작구,총계,115339,109799,96082,99875,92558,101026,112353,124732,116926,94196,98493,107967
12,2010,서울특별시,마포구,총계,170327,160230,142029,144382,133450,145469,165474,180464,167344,136692,142614,158855
13,2010,서울특별시,서대문구,총계,117926,108280,99658,99976,91587,100361,112893,122722,113322,92495,96284,107739
14,2010,서울특별시,서초구,총계,325544,305731,265098,272041,249861,273283,315523,344559,319577,252001,260733,288996
15,2010,서울특별시,성동구,총계,171192,164237,145650,151181,139313,146854,161907,174794,168065,138543,145542,159107
16,2010,서울특별시,성북구,총계,143196,138865,118325,122838,110494,118023,129368,142044,136711,111392,118846,131533
17,2010,서울특별시,송파구,총계,244766,231405,200081,208435,195391,205301,229976,253764,237524,197633,198516,219814
18,2010,서울특별시,양천구,총계,141449,140848,120405,126443,116265,121202,136864,153792,148658,120786,119685,135956
19,2010,서울특별시,영등포구,총계,246560,230056,208160,208499,197859,221317,253405,274475,245322,199508,202149,228625
20,2010,서울특별시,용산구,총계,134014,128222,109758,112617,102910,114718,131926,144692,134749,105270,109260,122372
21,2010,서울특별시,은평구,총계,122738,119446,100810,105544,95771,99997,110222,123270,118969,97806,101567,109833
22,2010,서울특별시,종로구,총계,170620,159586,136796,138662,125257,140564,162051,175493,159891,124662,133308,152982
23,2010,서울특별시,중구,총계,243134,224321,203796,203907,194695,225207,260561,277076,246116,195756,200905,229897
24,2010,서울특별시,중랑구,총계,106825,104085,86529,91040,81587,85303,94688,106419,101885,81738,86328,95490
25,2010,부산광역시,강서구,총계,236246,216103,239897,239927,235165,231735,236687,249591,243047,237452,245008,261405
26,2010,부산광역시,금정구,총계,99448,95697,84753,87826,78228,78279,83423,95489,95682,77647,85852,97117
27,2010,부산광역시,기장군,총계,103014,97732,78751,79554,76684,88860,99920,78304,80850,87299,85991,94959
28,2010,부산광역시,남구,총계,130590,122573,117927,119945,113742,111579,117282,129500,125482,113524,110405,115978
29,2010,부산광역시,동구,총계,52373,50576,45138,46234,40977,41041,44216,51236,50733,40611,41827,47062
30,2010,부산광역시,동래구,총계,92407,88840,78641,78708,71808,71733,76998,90141,89567,70141,73484,82198
31,2010,부산광역시,부산진구,총계,164899,157966,141404,144579,131966,133514,145403,166628,162904,132147,133902,147918
32,2010,부산광역시,북구,총계,84195,81419,71086,73542,66747,67702,72627,83601,81544,66397,69586,76477
33,2010,부산광역시,사상구,총계,183095,175752,163674,171459,153608,156760,162879,169580,171561,148560,165145,180081
34,2010,부산광역시,사하구,총계,272930,236532,245085,264085,254912,225581,247358,232314,257410,233624,244346,262733
35,2010,부산광역시,서구,총계,53650,49780,45345,46026,41803,42613,45946,53192,53399,48241,45960,50675
36,2010,부산광역시,수영구,총계,55411,53428,46597,47941,43210,42914,46103,55540,55129,44116,43492,49385
