"행정구역(시군구)별",2011.01,2011.01,2011.01,2011.02,2011.02,2011.02,2011.03,2011.03,2011.03,2011.04,2011.04,2011.04,2011.05,2011.05,2011.05,2011.06,2011.06,2011.06,2011.07,2011.07,2011.07,2011.08,2011.08,2011.08,2011.09,2011.09,2011.09,2011.10,2011.10,2011.10,2011.11,2011.11,2011.11,2011.12,2011.12,2011.12,2012.01,2012.01,2012.01,2012.02,2012.02,2012.02,2012.03,2012.03,2012.03,2012.04,2012.04,2012.04,2012.05,2012.05,2012.05,2012.06,2012.06,2012.06,2012.07,2012.07,2012.07,2012.08,2012.08,2012.08,2012.09,2012.09,2012.09,2012.10,2012.10,2012.10,2012.11,2012.11,2012.11,2012.12,2012.12,2012.12,2013.01,2013.01,2013.01,2013.02,2013.02,2013.02,2013.03,2013.03,2013.03,2013.04,2013.04,2013.04,2013.05,2013.05,2013.05,2013.06,2013.06,2013.06,2013.07,2013.07,2013.07,2013.08,2013.08,2013.08,2013.09,2013.09,2013.09,2013.10,2013.10,2013.10,2013.11,2013.11,2013.11,2013.12,2013.12,2013.12
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103127,52624,50503,106625,54338,52287,108027,55022,53005,109823,55913,53910,111191,56596,54595,113117,57633,55484,113911,58074,55837,115269,58788,56481,115955,59136,56819,116345,59322,57023,116842,59592,57250,117012,59661,57351,117369,59837,57532,117939,60134,57805,118273,60315,57958,118745,60573,58172,119309,60841,58468,122153,62205,59948
"경기도",11801232,5949477,5851755,11815120,5956364,5858756,11829316,5963948,5865368,11841400,5969703,5871697,11854092,5976420,5877672,11862889,5980594,5882295,11874213,5986390,5887823,11887932,5993230,5894702,11898590,5998445,5900145,11908014,6002872,5905142,11920340,6007716,5912624,11937415,6015357,5922058,11948596,6020446,5928150,11961481,6026826,5934655,11972408,6032275,5940133,11984985,6038558,5946427,11998173,6045184,5952989,12009150,6050717,5958433,12021422,6057142,5964280,12035714,6064456,5971258,12047601,6070096,5977505,12060335,6076566,5983769,12071878,6080869,5991009,12093299,6091035,6002264,12107216,6097807,6009409,12123024,6105695,6017329,12133590,6111112,6022478,12144383,6116350,6028033,12156714,6122656,6034058,12167575,6127936,6039639,12181553,6134709,6046844,12193532,6140842,6052690,12203080,6145500,6057580,12211807,6149461,6062346,12219786,6152044,6067742,12234630,6159193,6075437
"강원도",1528790,769339,759451,1527843,768790,759053,1529915,769993,759922,1531721,770824,760897,1531996,770803,761193,1532178,770755,761423,1532825,770978,761847,1533172,771292,761880,1533638,771586,762052,1534555,772081,762474,1535771,772888,762883,1536448,773278,763170,1535335,772718,762617,1534310,772155,762155,1536525,773580,762945,1537096,773835,763261,1537673,774212,763461,1537750,774162,763588,1538198,774287,763911,1538136,774161,763975,1538934,774550,764384,1538869,774412,764457,1539116,774578,764538,1538630,774273,764357,1537704,773698,764006,1536718,773279,763439,1538219,774195,764024,1539169,774656,764513,1539403,774728,764675,1539767,774977,764790,1540014,775045,764969,1540264,775162,765102,1540796,775541,765255,1541457,775932,765525,1542069,776443,765626,1542263,776498,765765
"충청북도",1550474,781774,768700,1551621,782255,769366,1552707,782832,769875,1554195,783592,770603,1555169,784080,771089,1555952,784476,771476,1556984,785015,771969,1558289,785630,772659,1559572,786171,773401,1560895,786962,773933,1562374,787715,774659,1562903,787981,774922,1563023,788127,774896,1563091,788129,774962,1564283,788684,775599,1565389,789237,776152,1566183,789629,776554,1566992,790061,776931,1561493,787157,774336,1562289,787550,774739,1563323,788058,775265,1564665,788785,775880,1565188,789028,776160,1565628,789286,776342,1565670,789329,776341,1565697,789423,776274,1565972,789515,776457,1566920,790054,776866,1567548,790381,777167,1568860,790998,777862,1569348,791357,777991,1569731,791502,778229,1570486,791745,778741,1571704,792304,779400,1572158,792480,779678,1572732,792862,779870
"충청남도",2076239,1049848,1026391,2077703,1050677,1027026,2081390,1052537,1028853,2083893,1054033,1029860,2086490,1055458,1031032,2088281,1056342,1031939,2090270,1057362,1032908,2092262,1058431,1033831,2094358,1059573,1034785,2096445,1060628,1035817,2098469,1061693,1036776,2101284,1063012,1038272,2103129,1064012,1039117,2106223,1065693,1040530,2108537,1066888,1041649,2110896,1068221,1042675,2112849,1069277,1043572,2114599,1070155,1044444,2021776,1022956,998820,2022434,1023386,999048,2023534,1024045,999489,2025274,1024888,1000386,2026849,1025776,1001073,2028777,1026812,1001965,2029769,1027427,1002342,2031839,1028533,1003306,2033019,1029334,1003685,2034946,1030529,1004417,2036661,1031473,1005188,2038322,1032365,1005957,2039668,1032957,1006711,2041263,1033946,1007317,2043056,1034918,1008138,2045203,1036052,1009151,2046550,1036832,1009718,2047631,1037421,1010210
"전라북도",1868745,931489,937256,1868363,931323,937040,1868476,931437,937039,1868846,931576,937270,1869418,931872,937546,1870863,932582,938281,1871388,932792,938596,1872346,933147,939199,1873956,933946,940010,1874058,934102,939956,1874181,934135,940046,1874031,934002,940029,1873491,933775,939716,1872933,933597,939336,1873678,933948,939730,1873333,933695,939638,1873141,933565,939576,1873093,933572,939521,1872830,933365,939465,1872957,933352,939605,1873134,933400,939734,1873353,933374,939979,1873561,933418,940143,1873341,933386,939955,1872500,932953,939547,1872311,932775,939536,1871818,932551,939267,1871979,932581,939398,1871592,932389,939203,1871545,932383,939162,1871570,932396,939174,1871498,932366,939132,1871726,932457,939269,1871776,932338,939438,1872370,932629,939741,1872965,932894,940071
"전라남도",1916912,957989,958923,1914191,956670,957521,1914176,956526,957650,1913918,956437,957481,1913641,956187,957454,1914142,956254,957888,1913185,955836,957349,1911983,955254,956729,1912151,955371,956780,1912509,955527,956982,1913002,955921,957081,1914339,956747,957592,1912725,956024,956701,1910664,954855,955809,1910746,955003,955743,1910533,954881,955652,1910689,954893,955796,1910707,954909,955798,1910298,954667,955631,1909493,954234,955259,1909212,954104,955108,1908998,954015,954983,1908834,953969,954865,1909618,954354,955264,1907945,953646,954299,1907027,953187,953840,1906887,953029,953858,1906477,952701,953776,1906335,952587,953748,1906575,952627,953948,1906028,952185,953843,1905442,951751,953691,1905374,951699,953675,1905627,951800,953827,1906495,952316,954179,1907172,952597,954575
"경상북도",2688586,1350687,1337899,2687178,1349953,1337225,2687521,1350106,1337415,2688469,1350516,1337953,2689130,1350786,1338344,2689904,1351242,1338662,2691181,1352038,1339143,2692036,1352432,1339604,2693707,1353220,1340487,2695145,1353957,1341188,2696596,1354595,1342001,2699195,1355727,1343468,2697104,1354649,1342455,2694794,1353574,1341220,2694822,1353601,1341221,2694944,1353626,1341318,2694930,1353648,1341282,2695113,1353724,1341389,2695263,1353639,1341624,2695008,1353243,1341765,2695316,1353486,1341830,2696180,1354012,1342168,2697569,1354791,1342778,2698353,1355294,1343059,2698263,1355427,1342836,2696802,1354904,1341898,2696554,1354666,1341888,2696341,1354501,1341840,2696447,1354424,1342023,2696833,1354594,1342239,2696446,1354496,1341950,2696492,1354361,1342131,2696705,1354402,1342303,2697450,1354764,1342686,2698619,1355462,1343157,2699440,1355951,1343489
"경상남도",3291435,1656488,1634947,3291281,1656537,1634744,3293002,1657395,1635607,3295686,1658558,1637128,3296893,1659023,1637870,3297769,1659375,1638394,3298607,1659799,1638808,3300895,1660780,1640115,3303549,1661962,1641587,3305621,1663115,1642506,3307201,1663978,1643223,3308765,1664755,1644010,3309559,1665308,1644251,3307822,1664550,1643272,3308081,1664719,1643362,3309325,1665176,1644149,3311574,1666383,1645191,3313207,1667237,1645970,3313689,1667629,1646060,3314183,1667738,1646445,3315343,1668268,1647075,3317523,1669395,1648128,3318202,1669863,1648339,3319314,1670545,1648769,3318979,1670527,1648452,3318548,1670391,1648157,3318175,1670416,1647759,3318877,1670878,1647999,3320074,1671631,1648443,3322702,1672886,1649816,3324324,1673629,1650695,3325351,1674101,1651250,3326527,1674641,1651886,3328969,1675958,1653011,3330810,1677018,1653792,3333820,1678592,1655228
"제주특별자치도",571468,285659,285809,571913,285883,286030,572447,286152,286295,572918,286424,286494,573459,286668,286791,573757,286824,286933,574175,287003,287172,574724,287284,287440,575129,287549,287580,575562,287817,287745,575951,287998,287953,576156,288152,288004,576507,288378,288129,577094,288701,288393,577812,289106,288706,578437,289409,289028,579260,289833,289427,579859,290194,289665,580794,290710,290084,581340,290971,290369,582022,291287,290735,582693,291659,291034,583293,291973,291320,583713,292213,291500,584045,292406,291639,585231,293063,292168,586149,293568,292581,587153,294123,293030,588001,294503,293498,588618,294753,293865,589622,295300,294322,590450,295728,294722,591341,296180,295161,592199,296622,295577,593004,297098,295906,593806,297504,296302
