,연월,연도,월,시도,고용률
631,2010_08,2010,8,광주광역시,56.7
632,2010_09,2010,9,광주광역시,57.1
633,2010_10,2010,10,광주광역시,56.4
634,2010_11,2010,11,광주광역시,56.1
635,2010_12,2010,12,광주광역시,56.2
636,2011_01,2011,1,광주광역시,55.0
637,2011_02,2011,2,광주광역시,54.3
638,2011_03,2011,3,광주광역시,55.1
639,2011_04,2011,4,광주광역시,56.3
640,2011_05,2011,5,광주광역시,57.4
641,2011_06,2011,6,광주광역시,58.1
642,2011_07,2011,7,광주광역시,57.3
643,2011_08,2011,8,광주광역시,57.1
644,2011_09,2011,9,광주광역시,57.6
645,2011_10,2011,10,광주광역시,57.5
646,2011_11,2011,11,광주광역시,57.2
647,2011_12,2011,12,광주광역시,56.5
648,2012_01,2012,1,광주광역시,55.5
649,2012_02,2012,2,광주광역시,55.8
650,2012_03,2012,3,광주광역시,55.7
651,2012_04,2012,4,광주광역시,56.7
652,2012_05,2012,5,광주광역시,56.8
653,2012_06,2012,6,광주광역시,56.6
654,2012_07,2012,7,광주광역시,56.6
655,2012_08,2012,8,광주광역시,56.5
656,2012_09,2012,9,광주광역시,56.8
657,2012_10,2012,10,광주광역시,56.6
658,2012_11,2012,11,광주광역시,56.6
659,2012_12,2012,12,광주광역시,56.4
660,2013_01,2013,1,광주광역시,56.5
661,2013_02,2013,2,광주광역시,55.6
662,2013_03,2013,3,광주광역시,55.6
663,2013_04,2013,4,광주광역시,57.0
664,2013_05,2013,5,광주광역시,57.5
665,2013_06,2013,6,광주광역시,57.2
666,2013_07,2013,7,광주광역시,57.5
667,2013_08,2013,8,광주광역시,57.1
668,2013_09,2013,9,광주광역시,57.5
669,2013_10,2013,10,광주광역시,58.0
670,2013_11,2013,11,광주광역시,58.3
671,2013_12,2013,12,광주광역시,58.4
672,2014_01,2014,1,광주광역시,58.0
673,2014_02,2014,2,광주광역시,57.6
674,2014_03,2014,3,광주광역시,58.3
675,2014_04,2014,4,광주광역시,59.2
676,2014_05,2014,5,광주광역시,59.9
677,2014_06,2014,6,광주광역시,59.6
678,2014_07,2014,7,광주광역시,59.7
679,2014_08,2014,8,광주광역시,59.6
680,2014_09,2014,9,광주광역시,59.1
681,2014_10,2014,10,광주광역시,58.6
682,2014_11,2014,11,광주광역시,58.5
683,2014_12,2014,12,광주광역시,57.8
684,2015_01,2015,1,광주광역시,57.6
685,2015_02,2015,2,광주광역시,57.5
686,2015_03,2015,3,광주광역시,57.8
687,2015_04,2015,4,광주광역시,57.9
688,2015_05,2015,5,광주광역시,58.5
689,2015_06,2015,6,광주광역시,58.7
690,2015_07,2015,7,광주광역시,59.4
691,2015_08,2015,8,광주광역시,59.4
692,2015_09,2015,9,광주광역시,59.4
693,2015_10,2015,10,광주광역시,58.6
694,2015_11,2015,11,광주광역시,58.5
695,2015_12,2015,12,광주광역시,58.7
696,2016_01,2016,1,광주광역시,57.5
697,2016_02,2016,2,광주광역시,57.5
698,2016_03,2016,3,광주광역시,57.2
699,2016_04,2016,4,광주광역시,57.8
700,2016_05,2016,5,광주광역시,58.7
701,2016_06,2016,6,광주광역시,58.8
702,2016_07,2016,7,광주광역시,58.7
703,2016_08,2016,8,광주광역시,58.3
704,2016_09,2016,9,광주광역시,57.9
705,2016_10,2016,10,광주광역시,58.2
706,2016_11,2016,11,광주광역시,57.9
707,2016_12,2016,12,광주광역시,58.1
708,2017_01,2017,1,광주광역시,58.2
709,2017_02,2017,2,광주광역시,58.0
710,2017_03,2017,3,광주광역시,58.6
711,2017_04,2017,4,광주광역시,58.8
712,2017_05,2017,5,광주광역시,59.2
713,2017_06,2017,6,광주광역시,59.7
714,2017_07,2017,7,광주광역시,59.8
715,2017_08,2017,8,광주광역시,59.4
716,2017_09,2017,9,광주광역시,58.7
717,2017_10,2017,10,광주광역시,59.3
718,2017_11,2017,11,광주광역시,59.2
719,2017_12,2017,12,광주광역시,59.6
720,2018_01,2018,1,광주광역시,58.5
721,2018_02,2018,2,광주광역시,58.9
722,2018_03,2018,3,광주광역시,59.2
723,2018_04,2018,4,광주광역시,59.9
724,2018_05,2018,5,광주광역시,59.7
725,2018_06,2018,6,광주광역시,59.2
726,2018_07,2018,7,광주광역시,59.3
727,2018_08,2018,8,광주광역시,59.3
728,2018_09,2018,9,광주광역시,60.0
729,2018_10,2018,10,광주광역시,59.7
730,2018_11,2018,11,광주광역시,59.9
731,2018_12,2018,12,광주광역시,59.2
732,2019_01,2019,1,광주광역시,58.1
733,2019_02,2019,2,광주광역시,58.2
734,2019_03,2019,3,광주광역시,59.2
735,2019_04,2019,4,광주광역시,58.9
736,2019_05,2019,5,광주광역시,59.2
737,2019_06,2019,6,광주광역시,59.6
738,2019_07,2019,7,광주광역시,59.1
739,2019_08,2019,8,광주광역시,59.5
740,2019_09,2019,9,광주광역시,59.5
741,2019_10,2019,10,광주광역시,60.2
742,2019_11,2019,11,광주광역시,60.2
743,2019_12,2019,12,광주광역시,59.5
744,2020_01,2020,1,광주광역시,59.1
745,2020_02,2020,2,광주광역시,59.1
746,2020_03,2020,3,광주광역시,58.2
747,2020_04,2020,4,광주광역시,57.9
748,2020_05,2020,5,광주광역시,58.7
749,2020_06,2020,6,광주광역시,59.2
750,2020_07,2020,7,광주광역시,58.7
751,2020_08,2020,8,광주광역시,58.6
752,2020_09,2020,9,광주광역시,58.8
753,2020_10,2020,10,광주광역시,58.7
754,2020_11,2020,11,광주광역시,58.2
755,2020_12,2020,12,광주광역시,58.8
756,2021_01,2021,1,광주광역시,56.6
757,2021_02,2021,2,광주광역시,57.7
758,2021_03,2021,3,광주광역시,58.1
759,2021_04,2021,4,광주광역시,58.6
760,2021_05,2021,5,광주광역시,58.9
761,2021_06,2021,6,광주광역시,58.6
762,2021_07,2021,7,광주광역시,58.9
763,2021_08,2021,8,광주광역시,58.7
764,2021_09,2021,9,광주광역시,58.5
765,2021_10,2021,10,광주광역시,58.6
766,2021_11,2021,11,광주광역시,58.0
767,2021_12,2021,12,광주광역시,56.9
768,2022_01,2022,1,광주광역시,57.0
769,2022_02,2022,2,광주광역시,57.8
770,2022_03,2022,3,광주광역시,58.6
771,2022_04,2022,4,광주광역시,58.2
772,2022_05,2022,5,광주광역시,58.8
773,2022_06,2022,6,광주광역시,58.7
774,2022_07,2022,7,광주광역시,59.0
775,2022_08,2022,8,광주광역시,59.0
776,2022_09,2022,9,광주광역시,59.0
777,2022_10,2022,10,광주광역시,59.6
778,2022_11,2022,11,광주광역시,59.7
779,2022_12,2022,12,광주광역시,58.2
780,2010_01,2010,1,대전광역시,55.1
781,2010_02,2010,2,대전광역시,54.8
782,2010_03,2010,3,대전광역시,55.4
783,2010_04,2010,4,대전광역시,56.2
784,2010_05,2010,5,대전광역시,57.2
785,2010_06,2010,6,대전광역시,57.0
786,2010_07,2010,7,대전광역시,57.2
787,2010_08,2010,8,대전광역시,57.0
788,2010_09,2010,9,대전광역시,56.7
789,2010_10,2010,10,대전광역시,57.2
790,2010_11,2010,11,대전광역시,57.3
791,2010_12,2010,12,대전광역시,56.2
792,2011_01,2011,1,대전광역시,55.4
793,2011_02,2011,2,대전광역시,55.1
794,2011_03,2011,3,대전광역시,56.7
795,2011_04,2011,4,대전광역시,57.2
796,2011_05,2011,5,대전광역시,58.4
797,2011_06,2011,6,대전광역시,58.2
798,2011_07,2011,7,대전광역시,58.2
799,2011_08,2011,8,대전광역시,57.1
800,2011_09,2011,9,대전광역시,56.7
801,2011_10,2011,10,대전광역시,57.0
802,2011_11,2011,11,대전광역시,56.4
803,2011_12,2011,12,대전광역시,55.9
804,2012_01,2012,1,대전광역시,55.8
805,2012_02,2012,2,대전광역시,55.8
806,2012_03,2012,3,대전광역시,56.6
807,2012_04,2012,4,대전광역시,56.7
808,2012_05,2012,5,대전광역시,57.7
809,2012_06,2012,6,대전광역시,58.0
810,2012_07,2012,7,대전광역시,58.0
811,2012_08,2012,8,대전광역시,57.5
812,2012_09,2012,9,대전광역시,57.9
813,2012_10,2012,10,대전광역시,58.3
814,2012_11,2012,11,대전광역시,57.7
815,2012_12,2012,12,대전광역시,57.1
816,2013_01,2013,1,대전광역시,56.1
817,2013_02,2013,2,대전광역시,55.4
818,2013_03,2013,3,대전광역시,56.6
819,2013_04,2013,4,대전광역시,57.3
820,2013_05,2013,5,대전광역시,58.5
821,2013_06,2013,6,대전광역시,57.9
822,2013_07,2013,7,대전광역시,57.7
823,2013_08,2013,8,대전광역시,57.5
824,2013_09,2013,9,대전광역시,57.9
825,2013_10,2013,10,대전광역시,58.4
826,2013_11,2013,11,대전광역시,58.6
827,2013_12,2013,12,대전광역시,57.9
828,2014_01,2014,1,대전광역시,57.3
829,2014_02,2014,2,대전광역시,57.0
830,2014_03,2014,3,대전광역시,58.0
831,2014_04,2014,4,대전광역시,58.7
832,2014_05,2014,5,대전광역시,59.0
833,2014_06,2014,6,대전광역시,59.6
834,2014_07,2014,7,대전광역시,60.2
835,2014_08,2014,8,대전광역시,59.8
836,2014_09,2014,9,대전광역시,60.1
837,2014_10,2014,10,대전광역시,60.4
838,2014_11,2014,11,대전광역시,60.1
839,2014_12,2014,12,대전광역시,59.4
840,2015_01,2015,1,대전광역시,58.7
841,2015_02,2015,2,대전광역시,59.1
842,2015_03,2015,3,대전광역시,59.0
843,2015_04,2015,4,대전광역시,59.4
844,2015_05,2015,5,대전광역시,60.1
845,2015_06,2015,6,대전광역시,59.8
846,2015_07,2015,7,대전광역시,60.1
847,2015_08,2015,8,대전광역시,59.3
848,2015_09,2015,9,대전광역시,60.2
849,2015_10,2015,10,대전광역시,60.3
850,2015_11,2015,11,대전광역시,60.1
851,2015_12,2015,12,대전광역시,59.5
852,2016_01,2016,1,대전광역시,58.6
853,2016_02,2016,2,대전광역시,59.2
854,2016_03,2016,3,대전광역시,59.3
855,2016_04,2016,4,대전광역시,59.8
856,2016_05,2016,5,대전광역시,60.0
857,2016_06,2016,6,대전광역시,60.1
858,2016_07,2016,7,대전광역시,60.3
859,2016_08,2016,8,대전광역시,59.7
860,2016_09,2016,9,대전광역시,59.6
861,2016_10,2016,10,대전광역시,60.1
862,2016_11,2016,11,대전광역시,60.4
863,2016_12,2016,12,대전광역시,59.6
864,2017_01,2017,1,대전광역시,58.3
865,2017_02,2017,2,대전광역시,58.3
866,2017_03,2017,3,대전광역시,59.3
867,2017_04,2017,4,대전광역시,59.1
868,2017_05,2017,5,대전광역시,59.3
869,2017_06,2017,6,대전광역시,58.9
870,2017_07,2017,7,대전광역시,59.2
871,2017_08,2017,8,대전광역시,58.5
872,2017_09,2017,9,대전광역시,58.7
873,2017_10,2017,10,대전광역시,58.9
874,2017_11,2017,11,대전광역시,59.5
875,2017_12,2017,12,대전광역시,59.0
876,2018_01,2018,1,대전광역시,58.1
877,2018_02,2018,2,대전광역시,58.6
878,2018_03,2018,3,대전광역시,59.3
879,2018_04,2018,4,대전광역시,58.8
880,2018_05,2018,5,대전광역시,59.0
881,2018_06,2018,6,대전광역시,58.5
882,2018_07,2018,7,대전광역시,58.8
883,2018_08,2018,8,대전광역시,58.0
884,2018_09,2018,9,대전광역시,59.0
885,2018_10,2018,10,대전광역시,59.0
886,2018_11,2018,11,대전광역시,58.9
887,2018_12,2018,12,대전광역시,58.3
888,2019_01,2019,1,대전광역시,57.8
889,2019_02,2019,2,대전광역시,58.6
890,2019_03,2019,3,대전광역시,58.8
891,2019_04,2019,4,대전광역시,58.4
892,2019_05,2019,5,대전광역시,59.3
893,2019_06,2019,6,대전광역시,59.7
894,2019_07,2019,7,대전광역시,60.5
895,2019_08,2019,8,대전광역시,61.0
896,2019_09,2019,9,대전광역시,61.0
897,2019_10,2019,10,대전광역시,61.0
898,2019_11,2019,11,대전광역시,61.2
899,2019_12,2019,12,대전광역시,60.2
900,2020_01,2020,1,대전광역시,60.2
901,2020_02,2020,2,대전광역시,60.8
902,2020_03,2020,3,대전광역시,59.5
903,2020_04,2020,4,대전광역시,59.7
904,2020_05,2020,5,대전광역시,60.1
905,2020_06,2020,6,대전광역시,60.5
906,2020_07,2020,7,대전광역시,60.6
907,2020_08,2020,8,대전광역시,61.2
908,2020_09,2020,9,대전광역시,61.1
909,2020_10,2020,10,대전광역시,61.5
910,2020_11,2020,11,대전광역시,62.0
911,2020_12,2020,12,대전광역시,60.6
912,2021_01,2021,1,대전광역시,58.5
913,2021_02,2021,2,대전광역시,58.9
914,2021_03,2021,3,대전광역시,59.4
915,2021_04,2021,4,대전광역시,60.2
916,2021_05,2021,5,대전광역시,61.1
917,2021_06,2021,6,대전광역시,62.0
918,2021_07,2021,7,대전광역시,61.6
919,2021_08,2021,8,대전광역시,62.1
920,2021_09,2021,9,대전광역시,61.8
921,2021_10,2021,10,대전광역시,61.7
922,2021_11,2021,11,대전광역시,62.3
923,2021_12,2021,12,대전광역시,61.2
924,2022_01,2022,1,대전광역시,60.5
925,2022_02,2022,2,대전광역시,61.0
926,2022_03,2022,3,대전광역시,60.9
927,2022_04,2022,4,대전광역시,61.1
928,2022_05,2022,5,대전광역시,61.6
929,2022_06,2022,6,대전광역시,61.1
930,2022_07,2022,7,대전광역시,61.6
931,2022_08,2022,8,대전광역시,62.2
932,2022_09,2022,9,대전광역시,61.9
933,2022_10,2022,10,대전광역시,62.6
934,2022_11,2022,11,대전광역시,62.4
935,2022_12,2022,12,대전광역시,62.3
936,2010_01,2010,1,울산광역시,57.7
937,2010_02,2010,2,울산광역시,57.3
938,2010_03,2010,3,울산광역시,58.1
939,2010_04,2010,4,울산광역시,59.0
940,2010_05,2010,5,울산광역시,59.5
941,2010_06,2010,6,울산광역시,59.3
942,2010_07,2010,7,울산광역시,59.9
943,2010_08,2010,8,울산광역시,59.5
944,2010_09,2010,9,울산광역시,59.3
945,2010_10,2010,10,울산광역시,59.8
946,2010_11,2010,11,울산광역시,59.8
947,2010_12,2010,12,울산광역시,59.9
948,2011_01,2011,1,울산광역시,59.1
949,2011_02,2011,2,울산광역시,59.4
950,2011_03,2011,3,울산광역시,58.6
951,2011_04,2011,4,울산광역시,59.9
952,2011_05,2011,5,울산광역시,60.1
953,2011_06,2011,6,울산광역시,60.4
954,2011_07,2011,7,울산광역시,60.8
955,2011_08,2011,8,울산광역시,59.7
956,2011_09,2011,9,울산광역시,59.6
957,2011_10,2011,10,울산광역시,60.1
958,2011_11,2011,11,울산광역시,60.1
959,2011_12,2011,12,울산광역시,59.7
960,2012_01,2012,1,울산광역시,59.1
961,2012_02,2012,2,울산광역시,59.5
962,2012_03,2012,3,울산광역시,59.5
963,2012_04,2012,4,울산광역시,60.3
964,2012_05,2012,5,울산광역시,60.7
965,2012_06,2012,6,울산광역시,59.9
966,2012_07,2012,7,울산광역시,60.6
967,2012_08,2012,8,울산광역시,59.4
968,2012_09,2012,9,울산광역시,60.0
969,2012_10,2012,10,울산광역시,60.1
970,2012_11,2012,11,울산광역시,59.6
971,2012_12,2012,12,울산광역시,58.4
972,2013_01,2013,1,울산광역시,58.0
973,2013_02,2013,2,울산광역시,58.3
974,2013_03,2013,3,울산광역시,58.7
975,2013_04,2013,4,울산광역시,60.0
976,2013_05,2013,5,울산광역시,60.2
977,2013_06,2013,6,울산광역시,60.1
978,2013_07,2013,7,울산광역시,59.7
979,2013_08,2013,8,울산광역시,59.1
980,2013_09,2013,9,울산광역시,58.9
981,2013_10,2013,10,울산광역시,58.9
982,2013_11,2013,11,울산광역시,58.4
983,2013_12,2013,12,울산광역시,58.2
984,2014_01,2014,1,울산광역시,58.6
985,2014_02,2014,2,울산광역시,58.9
986,2014_03,2014,3,울산광역시,58.4
987,2014_04,2014,4,울산광역시,59.3
988,2014_05,2014,5,울산광역시,58.3
989,2014_06,2014,6,울산광역시,58.3
990,2014_07,2014,7,울산광역시,58.5
991,2014_08,2014,8,울산광역시,57.9
992,2014_09,2014,9,울산광역시,57.6
993,2014_10,2014,10,울산광역시,57.7
994,2014_11,2014,11,울산광역시,58.1
995,2014_12,2014,12,울산광역시,57.6
996,2015_01,2015,1,울산광역시,57.4
997,2015_02,2015,2,울산광역시,57.7
998,2015_03,2015,3,울산광역시,58.0
999,2015_04,2015,4,울산광역시,58.9
1000,2015_05,2015,5,울산광역시,59.4
1001,2015_06,2015,6,울산광역시,59.6
1002,2015_07,2015,7,울산광역시,60.2
1003,2015_08,2015,8,울산광역시,59.7
1004,2015_09,2015,9,울산광역시,59.5
1005,2015_10,2015,10,울산광역시,59.5
1006,2015_11,2015,11,울산광역시,59.5
1007,2015_12,2015,12,울산광역시,59.0
1008,2016_01,2016,1,울산광역시,58.2
1009,2016_02,2016,2,울산광역시,57.6
1010,2016_03,2016,3,울산광역시,58.2
1011,2016_04,2016,4,울산광역시,58.8
1012,2016_05,2016,5,울산광역시,58.9
1013,2016_06,2016,6,울산광역시,59.0
1014,2016_07,2016,7,울산광역시,59.0
1015,2016_08,2016,8,울산광역시,59.0
1016,2016_09,2016,9,울산광역시,60.0
1017,2016_10,2016,10,울산광역시,59.9
1018,2016_11,2016,11,울산광역시,59.8
1019,2016_12,2016,12,울산광역시,59.3
1020,2017_01,2017,1,울산광역시,58.3
1021,2017_02,2017,2,울산광역시,58.9
1022,2017_03,2017,3,울산광역시,59.7
1023,2017_04,2017,4,울산광역시,59.7
1024,2017_05,2017,5,울산광역시,60.3
1025,2017_06,2017,6,울산광역시,60.4
1026,2017_07,2017,7,울산광역시,60.1
1027,2017_08,2017,8,울산광역시,59.5
1028,2017_09,2017,9,울산광역시,59.5
1029,2017_10,2017,10,울산광역시,59.9
1030,2017_11,2017,11,울산광역시,60.1
1031,2017_12,2017,12,울산광역시,60.6
1032,2018_01,2018,1,울산광역시,59.6
1033,2018_02,2018,2,울산광역시,59.5
1034,2018_03,2018,3,울산광역시,59.1
1035,2018_04,2018,4,울산광역시,58.6
1036,2018_05,2018,5,울산광역시,59.7
1037,2018_06,2018,6,울산광역시,59.4
1038,2018_07,2018,7,울산광역시,58.4
1039,2018_08,2018,8,울산광역시,59.0
1040,2018_09,2018,9,울산광역시,58.5
1041,2018_10,2018,10,울산광역시,59.3
1042,2018_11,2018,11,울산광역시,58.8
1043,2018_12,2018,12,울산광역시,58.4
1044,2019_01,2019,1,울산광역시,57.1
1045,2019_02,2019,2,울산광역시,57.8
1046,2019_03,2019,3,울산광역시,58.1
1047,2019_04,2019,4,울산광역시,58.8
1048,2019_05,2019,5,울산광역시,59.5
1049,2019_06,2019,6,울산광역시,59.7
1050,2019_07,2019,7,울산광역시,59.7
1051,2019_08,2019,8,울산광역시,59.3
1052,2019_09,2019,9,울산광역시,59.9
1053,2019_10,2019,10,울산광역시,59.7
1054,2019_11,2019,11,울산광역시,60.1
1055,2019_12,2019,12,울산광역시,59.7
1056,2020_01,2020,1,울산광역시,58.8
1057,2020_02,2020,2,울산광역시,59.0
1058,2020_03,2020,3,울산광역시,57.6
1059,2020_04,2020,4,울산광역시,57.2
1060,2020_05,2020,5,울산광역시,57.8
1061,2020_06,2020,6,울산광역시,57.7
1062,2020_07,2020,7,울산광역시,58.3
1063,2020_08,2020,8,울산광역시,58.2
1064,2020_09,2020,9,울산광역시,58.6
1065,2020_10,2020,10,울산광역시,58.1
1066,2020_11,2020,11,울산광역시,58.3
1067,2020_12,2020,12,울산광역시,57.5
1068,2021_01,2021,1,울산광역시,56.0
1069,2021_02,2021,2,울산광역시,57.1
1070,2021_03,2021,3,울산광역시,57.6
1071,2021_04,2021,4,울산광역시,57.4
1072,2021_05,2021,5,울산광역시,57.5
1073,2021_06,2021,6,울산광역시,57.2
1074,2021_07,2021,7,울산광역시,57.7
1075,2021_08,2021,8,울산광역시,58.1
1076,2021_09,2021,9,울산광역시,58.6
1077,2021_10,2021,10,울산광역시,58.8
1078,2021_11,2021,11,울산광역시,58.8
1079,2021_12,2021,12,울산광역시,57.5
1080,2022_01,2022,1,울산광역시,57.0
1081,2022_02,2022,2,울산광역시,57.0
1082,2022_03,2022,3,울산광역시,58.2
1083,2022_04,2022,4,울산광역시,58.6
1084,2022_05,2022,5,울산광역시,59.9
1085,2022_06,2022,6,울산광역시,59.9
1086,2022_07,2022,7,울산광역시,59.9
1087,2022_08,2022,8,울산광역시,60.0
1088,2022_09,2022,9,울산광역시,59.9
1089,2022_10,2022,10,울산광역시,60.0
1090,2022_11,2022,11,울산광역시,60.3
1091,2022_12,2022,12,울산광역시,59.1
1092,2010_01,2010,1,세종특별자치시,
1093,2010_02,2010,2,세종특별자치시,
1094,2010_03,2010,3,세종특별자치시,
1095,2010_04,2010,4,세종특별자치시,
1096,2010_05,2010,5,세종특별자치시,
1097,2010_06,2010,6,세종특별자치시,
1098,2010_07,2010,7,세종특별자치시,
1099,2010_08,2010,8,세종특별자치시,
1100,2010_09,2010,9,세종특별자치시,
1101,2010_10,2010,10,세종특별자치시,
1102,2010_11,2010,11,세종특별자치시,
1103,2010_12,2010,12,세종특별자치시,
1104,2011_01,2011,1,세종특별자치시,
1105,2011_02,2011,2,세종특별자치시,
1106,2011_03,2011,3,세종특별자치시,
1107,2011_04,2011,4,세종특별자치시,
1108,2011_05,2011,5,세종특별자치시,
1109,2011_06,2011,6,세종특별자치시,
1110,2011_07,2011,7,세종특별자치시,
1111,2011_08,2011,8,세종특별자치시,
1112,2011_09,2011,9,세종특별자치시,
1113,2011_10,2011,10,세종특별자치시,
1114,2011_11,2011,11,세종특별자치시,
1115,2011_12,2011,12,세종특별자치시,
1116,2012_01,2012,1,세종특별자치시,
1117,2012_02,2012,2,세종특별자치시,
1118,2012_03,2012,3,세종특별자치시,
1119,2012_04,2012,4,세종특별자치시,
1120,2012_05,2012,5,세종특별자치시,
1121,2012_06,2012,6,세종특별자치시,
1122,2012_07,2012,7,세종특별자치시,
1123,2012_08,2012,8,세종특별자치시,
1124,2012_09,2012,9,세종특별자치시,
1125,2012_10,2012,10,세종특별자치시,
1126,2012_11,2012,11,세종특별자치시,
1127,2012_12,2012,12,세종특별자치시,
1128,2013_01,2013,1,세종특별자치시,
1129,2013_02,2013,2,세종특별자치시,
1130,2013_03,2013,3,세종특별자치시,
1131,2013_04,2013,4,세종특별자치시,
1132,2013_05,2013,5,세종특별자치시,
1133,2013_06,2013,6,세종특별자치시,
1134,2013_07,2013,7,세종특별자치시,
1135,2013_08,2013,8,세종특별자치시,
1136,2013_09,2013,9,세종특별자치시,
1137,2013_10,2013,10,세종특별자치시,
1138,2013_11,2013,11,세종특별자치시,
1139,2013_12,2013,12,세종특별자치시,
1140,2014_01,2014,1,세종특별자치시,
1141,2014_02,2014,2,세종특별자치시,
1142,2014_03,2014,3,세종특별자치시,
1143,2014_04,2014,4,세종특별자치시,
1144,2014_05,2014,5,세종특별자치시,
1145,2014_06,2014,6,세종특별자치시,
1146,2014_07,2014,7,세종특별자치시,
1147,2014_08,2014,8,세종특별자치시,
1148,2014_09,2014,9,세종특별자치시,
1149,2014_10,2014,10,세종특별자치시,
1150,2014_11,2014,11,세종특별자치시,
1151,2014_12,2014,12,세종특별자치시,
1152,2015_01,2015,1,세종특별자치시,
1153,2015_02,2015,2,세종특별자치시,
1154,2015_03,2015,3,세종특별자치시,
1155,2015_04,2015,4,세종특별자치시,
1156,2015_05,2015,5,세종특별자치시,
1157,2015_06,2015,6,세종특별자치시,
1158,2015_07,2015,7,세종특별자치시,
1159,2015_08,2015,8,세종특별자치시,
1160,2015_09,2015,9,세종특별자치시,
1161,2015_10,2015,10,세종특별자치시,
1162,2015_11,2015,11,세종특별자치시,
1163,2015_12,2015,12,세종특별자치시,
1164,2016_01,2016,1,세종특별자치시,
1165,2016_02,2016,2,세종특별자치시,
1166,2016_03,2016,3,세종특별자치시,
1167,2016_04,2016,4,세종특별자치시,
1168,2016_05,2016,5,세종특별자치시,
1169,2016_06,2016,6,세종특별자치시,
1170,2016_07,2016,7,세종특별자치시,
1171,2016_08,2016,8,세종특별자치시,
1172,2016_09,2016,9,세종특별자치시,
1173,2016_10,2016,10,세종특별자치시,
1174,2016_11,2016,11,세종특별자치시,
1175,2016_12,2016,12,세종특별자치시,
1176,2017_01,2017,1,세종특별자치시,58.6
1177,2017_02,2017,2,세종특별자치시,60.2
1178,2017_03,2017,3,세종특별자치시,60.9
1179,2017_04,2017,4,세종특별자치시,61.7
1180,2017_05,2017,5,세종특별자치시,62.7
1181,2017_06,2017,6,세종특별자치시,62.7
1182,2017_07,2017,7,세종특별자치시,62.7
1183,2017_08,2017,8,세종특별자치시,61.5
1184,2017_09,2017,9,세종특별자치시,61.4
1185,2017_10,2017,10,세종특별자치시,61.2
1186,2017_11,2017,11,세종특별자치시,60.9
1187,2017_12,2017,12,세종특별자치시,60.0
1188,2018_01,2018,1,세종특별자치시,59.3
1189,2018_02,2018,2,세종특별자치시,59.6
1190,2018_03,2018,3,세종특별자치시,60.3
1191,2018_04,2018,4,세종특별자치시,61.6
1192,2018_05,2018,5,세종특별자치시,62.8
1193,2018_06,2018,6,세종특별자치시,62.7
1194,2018_07,2018,7,세종특별자치시,62.9
1195,2018_08,2018,8,세종특별자치시,62.5
1196,2018_09,2018,9,세종특별자치시,62.5
1197,2018_10,2018,10,세종특별자치시,62.4
1198,2018_11,2018,11,세종특별자치시,62.7
1199,2018_12,2018,12,세종특별자치시,62.0
1200,2019_01,2019,1,세종특별자치시,61.2
1201,2019_02,2019,2,세종특별자치시,61.0
1202,2019_03,2019,3,세종특별자치시,62.3
1203,2019_04,2019,4,세종특별자치시,62.7
1204,2019_05,2019,5,세종특별자치시,62.8
1205,2019_06,2019,6,세종특별자치시,63.2
1206,2019_07,2019,7,세종특별자치시,63.9
1207,2019_08,2019,8,세종특별자치시,63.4
1208,2019_09,2019,9,세종특별자치시,62.1
1209,2019_10,2019,10,세종특별자치시,63.0
1210,2019_11,2019,11,세종특별자치시,63.2
1211,2019_12,2019,12,세종특별자치시,61.6
1212,2020_01,2020,1,세종특별자치시,61.4
1213,2020_02,2020,2,세종특별자치시,60.9
1214,2020_03,2020,3,세종특별자치시,61.4
1215,2020_04,2020,4,세종특별자치시,62.5
1216,2020_05,2020,5,세종특별자치시,62.7
1217,2020_06,2020,6,세종특별자치시,64.2
1218,2020_07,2020,7,세종특별자치시,64.1
1219,2020_08,2020,8,세종특별자치시,64.3
1220,2020_09,2020,9,세종특별자치시,64.1
1221,2020_10,2020,10,세종특별자치시,63.0
1222,2020_11,2020,11,세종특별자치시,62.6
1223,2020_12,2020,12,세종특별자치시,60.8
1224,2021_01,2021,1,세종특별자치시,60.3
1225,2021_02,2021,2,세종특별자치시,61.3
1226,2021_03,2021,3,세종특별자치시,62.4
1227,2021_04,2021,4,세종특별자치시,63.6
1228,2021_05,2021,5,세종특별자치시,64.1
1229,2021_06,2021,6,세종특별자치시,64.2
1230,2021_07,2021,7,세종특별자치시,63.8
1231,2021_08,2021,8,세종특별자치시,63.6
1232,2021_09,2021,9,세종특별자치시,63.9
1233,2021_10,2021,10,세종특별자치시,62.9
1234,2021_11,2021,11,세종특별자치시,61.7
1235,2021_12,2021,12,세종특별자치시,59.8
1236,2022_01,2022,1,세종특별자치시,59.9
1237,2022_02,2022,2,세종특별자치시,61.5
1238,2022_03,2022,3,세종특별자치시,63.7
1239,2022_04,2022,4,세종특별자치시,64.0
1240,2022_05,2022,5,세종특별자치시,65.3
1241,2022_06,2022,6,세종특별자치시,65.2
1242,2022_07,2022,7,세종특별자치시,64.7
1243,2022_08,2022,8,세종특별자치시,64.7
1244,2022_09,2022,9,세종특별자치시,64.3
1245,2022_10,2022,10,세종특별자치시,64.2
1246,2022_11,2022,11,세종특별자치시,64.4
1247,2022_12,2022,12,세종특별자치시,63.1
1248,2010_01,2010,1,경기도,57.7
1249,2010_02,2010,2,경기도,57.1
1250,2010_03,2010,3,경기도,58.4
1251,2010_04,2010,4,경기도,59.6
