,연월,연도,월,시도,고용률
144,2022_01,2022,1,서울특별시,59.0
145,2022_02,2022,2,서울특별시,59.7
146,2022_03,2022,3,서울특별시,59.8
147,2022_04,2022,4,서울특별시,60.4
148,2022_05,2022,5,서울특별시,60.8
149,2022_06,2022,6,서울특별시,60.8
150,2022_07,2022,7,서울특별시,60.9
151,2022_08,2022,8,서울특별시,60.7
152,2022_09,2022,9,서울특별시,60.7
153,2022_10,2022,10,서울특별시,60.5
154,2022_11,2022,11,서울특별시,60.8
155,2022_12,2022,12,서울특별시,60.8
156,2010_01,2010,1,부산광역시,54.1
157,2010_02,2010,2,부산광역시,53.9
158,2010_03,2010,3,부산광역시,54.3
159,2010_04,2010,4,부산광역시,54.5
160,2010_05,2010,5,부산광역시,55.5
161,2010_06,2010,6,부산광역시,55.0
162,2010_07,2010,7,부산광역시,55.0
163,2010_08,2010,8,부산광역시,54.1
164,2010_09,2010,9,부산광역시,53.7
165,2010_10,2010,10,부산광역시,53.8
166,2010_11,2010,11,부산광역시,54.0
167,2010_12,2010,12,부산광역시,53.8
168,2011_01,2011,1,부산광역시,52.9
169,2011_02,2011,2,부산광역시,52.9
170,2011_03,2011,3,부산광역시,53.5
171,2011_04,2011,4,부산광역시,53.8
172,2011_05,2011,5,부산광역시,54.4
173,2011_06,2011,6,부산광역시,55.0
174,2011_07,2011,7,부산광역시,55.5
175,2011_08,2011,8,부산광역시,55.1
176,2011_09,2011,9,부산광역시,54.1
177,2011_10,2011,10,부산광역시,55.7
178,2011_11,2011,11,부산광역시,55.7
179,2011_12,2011,12,부산광역시,55.4
180,2012_01,2012,1,부산광역시,55.2
181,2012_02,2012,2,부산광역시,55.0
182,2012_03,2012,3,부산광역시,55.7
183,2012_04,2012,4,부산광역시,55.7
184,2012_05,2012,5,부산광역시,56.3
185,2012_06,2012,6,부산광역시,56.7
186,2012_07,2012,7,부산광역시,56.6
187,2012_08,2012,8,부산광역시,55.9
188,2012_09,2012,9,부산광역시,56.0
189,2012_10,2012,10,부산광역시,55.7
190,2012_11,2012,11,부산광역시,55.8
191,2012_12,2012,12,부산광역시,56.0
192,2013_01,2013,1,부산광역시,56.1
193,2013_02,2013,2,부산광역시,55.3
194,2013_03,2013,3,부산광역시,55.7
195,2013_04,2013,4,부산광역시,56.6
196,2013_05,2013,5,부산광역시,56.8
197,2013_06,2013,6,부산광역시,56.8
198,2013_07,2013,7,부산광역시,56.5
199,2013_08,2013,8,부산광역시,55.9
200,2013_09,2013,9,부산광역시,56.1
201,2013_10,2013,10,부산광역시,55.9
202,2013_11,2013,11,부산광역시,56.4
203,2013_12,2013,12,부산광역시,55.6
204,2014_01,2014,1,부산광역시,55.4
205,2014_02,2014,2,부산광역시,55.1
206,2014_03,2014,3,부산광역시,55.3
207,2014_04,2014,4,부산광역시,56.5
208,2014_05,2014,5,부산광역시,57.2
209,2014_06,2014,6,부산광역시,57.4
210,2014_07,2014,7,부산광역시,58.0
211,2014_08,2014,8,부산광역시,57.9
212,2014_09,2014,9,부산광역시,57.3
213,2014_10,2014,10,부산광역시,57.2
214,2014_11,2014,11,부산광역시,57.1
215,2014_12,2014,12,부산광역시,56.5
216,2015_01,2015,1,부산광역시,55.9
217,2015_02,2015,2,부산광역시,56.1
218,2015_03,2015,3,부산광역시,55.9
219,2015_04,2015,4,부산광역시,56.3
220,2015_05,2015,5,부산광역시,56.4
221,2015_06,2015,6,부산광역시,56.4
222,2015_07,2015,7,부산광역시,56.6
223,2015_08,2015,8,부산광역시,55.9
224,2015_09,2015,9,부산광역시,56.4
225,2015_10,2015,10,부산광역시,56.6
226,2015_11,2015,11,부산광역시,56.7
227,2015_12,2015,12,부산광역시,56.2
228,2016_01,2016,1,부산광역시,55.8
229,2016_02,2016,2,부산광역시,56.0
230,2016_03,2016,3,부산광역시,55.9
231,2016_04,2016,4,부산광역시,56.5
