,연도,시도,사용량,지역내총생산,위도,경도
111,2016,세종특별자치시,2801868,9729904,36.560326,127.258638
112,2016,울산광역시,32095217,73477668,35.553064,129.254432
113,2016,인천광역시,23875858,82257112,37.455307,126.70392
114,2016,전라남도,33096902,70449724,34.867289,126.993547
115,2016,전라북도,22733494,46664550,35.717518,127.156528
116,2016,제주특별자치도,4738201,18307842,33.424967,126.778084
117,2016,충청남도,48453932,104503363,36.717428,126.801751
118,2016,충청북도,24008865,58380533,36.999466,127.700783
119,2017,강원도,16552772,43761362,37.820812,128.156579
120,2017,경기도,114847859,426172886,37.412505,127.520017
121,2017,경상남도,34647863,106561346,35.460156,128.215601
122,2017,경상북도,45455611,104429785,36.327952,128.951526
123,2017,광주광역시,8683649,36384616,35.15484,126.836647
124,2017,대구광역시,15386374,52721214,35.825757,128.576897
125,2017,대전광역시,9423806,38772485,36.339403,127.396923
126,2017,부산광역시,21007360,85441974,35.209853,129.069121
127,2017,서울특별시,46298159,389584629,37.551638,126.993243
128,2017,세종특별자치시,2918759,10140164,36.560326,127.258638
129,2017,울산광역시,31609850,72968962,35.553064,129.254432
130,2017,인천광역시,24515313,85791563,37.455307,126.70392
131,2017,전라남도,33562077,71340179,34.867289,126.993547
132,2017,전라북도,22799646,47553099,35.717518,127.156528
133,2017,제주특별자치도,5013544,19144657,33.424967,126.778084
134,2017,충청남도,50180207,110165655,36.717428,126.801751
135,2017,충청북도,24843380,61953139,36.999466,127.700783
136,2018,강원도,16845627,44574334,37.820812,128.156579
137,2018,경기도,122695953,451914662,37.412505,127.520017
138,2018,경상남도,35158611,107224316,35.460156,128.215601
139,2018,경상북도,45958813,103149107,36.327952,128.951526
140,2018,광주광역시,8773812,38216077,35.15484,126.836647
141,2018,대구광역시,15675749,53964991,35.825757,128.576897
142,2018,대전광역시,9648828,39135729,36.339403,127.396923
143,2018,부산광역시,21216604,86889875,35.209853,129.069121
144,2018,서울특별시,47810212,403605888,37.551638,126.993243
145,2018,세종특별자치시,3087692,10423610,36.560326,127.258638
146,2018,울산광역시,33748169,71344390,35.553064,129.254432
147,2018,인천광역시,24921925,86426825,37.455307,126.70392
