,연월,시도,인구밀도,연도,월,사용량
128,2021.09,서울특별시,15772,2021,9,256178
129,2021.1,서울특별시,15756,2021,10,2693958
130,2021.11,서울특별시,15736,2021,11,2171785
131,2021.12,서울특별시,15718,2021,12,2966421
132,2022.01,서울특별시,15712,2022,1,2038012
133,2022.02,서울특별시,15716,2022,2,442925
134,2022.03,서울특별시,15713,2022,3,4362665
135,2022.04,서울특별시,15703,2022,4,2209997
136,2022.05,서울특별시,15697,2022,5,1668339
137,2022.06,서울특별시,15693,2022,6,11415963
138,2022.07,서울특별시,15691,2022,7,3393372
139,2022.08,서울특별시,15683,2022,8,4179139
140,2022.09,서울특별시,15621,2022,9,807536
141,2022.1,서울특별시,15609,2022,10,1465797
142,2022.11,서울특별시,15598,2022,11,905302
143,2022.12,서울특별시,15584,2022,12,1966689
144,2011.01,부산광역시,4643,2011,1,4477102
145,2011.02,부산광역시,4643,2011,2,281364
146,2011.03,부산광역시,4641,2011,3,2798813
147,2011.04,부산광역시,4639,2011,4,2348574
148,2011.05,부산광역시,4639,2011,5,3016089
149,2011.06,부산광역시,4639,2011,6,2152748
150,2011.07,부산광역시,4636,2011,7,490242
151,2011.08,부산광역시,4633,2011,8,4628992
152,2011.09,부산광역시,4630,2011,9,2365631
153,2011.1,부산광역시,4628,2011,10,1660463
154,2011.11,부산광역시,4627,2011,11,11610400
155,2011.12,부산광역시,4623,2011,12,3364894
156,2012.01,부산광역시,4609,2012,1,4165072
157,2012.02,부산광역시,4608,2012,2,801473
158,2012.03,부산광역시,4606,2012,3,1437112
159,2012.04,부산광역시,4604,2012,4,884590
160,2012.05,부산광역시,4602,2012,5,1906812
161,2012.06,부산광역시,4600,2012,6,4416889
162,2012.07,부산광역시,4600,2012,7,292025
163,2012.08,부산광역시,4599,2012,8,3013786
164,2012.09,부산광역시,4598,2012,9,2309124
165,2012.1,부산광역시,4597,2012,10,2960741
166,2012.11,부산광역시,4596,2012,11,2059375
167,2012.12,부산광역시,4595,2012,12,504995
168,2013.01,부산광역시,4595,2013,1,4792097
169,2013.02,부산광역시,4596,2013,2,2464536
170,2013.03,부산광역시,4595,2013,3,1547410
171,2013.04,부산광역시,4594,2013,4,11278340
172,2013.05,부산광역시,4592,2013,5,3168932
173,2013.06,부산광역시,4590,2013,6,3760339
174,2013.07,부산광역시,4588,2013,7,756532
175,2013.08,부산광역시,4586,2013,8,1361827
176,2013.09,부산광역시,4586,2013,9,853129
177,2013.1,부산광역시,4585,2013,10,1832430
178,2013.11,부산광역시,4584,2013,11,4197026
179,2013.12,부산광역시,4581,2013,12,288845
180,2014.01,부산광역시,4580,2014,1,2913837
181,2014.02,부산광역시,4581,2014,2,2108033
182,2014.03,부산광역시,4578,2014,3,2773472
183,2014.04,부산광역시,4575,2014,4,2022692
184,2014.05,부산광역시,4573,2014,5,491120
185,2014.06,부산광역시,4573,2014,6,4571805
186,2014.07,부산광역시,4571,2014,7,2401135
187,2014.08,부산광역시,4571,2014,8,1629812
188,2014.09,부산광역시,4572,2014,9,12319589
189,2014.1,부산광역시,4579,2014,10,3449241
190,2014.11,부산광역시,4574,2014,11,3998481
191,2014.12,부산광역시,4570,2014,12,811864
192,2015.01,부산광역시,4568,2015,1,1443838
193,2015.02,부산광역시,4568,2015,2,912804
194,2015.03,부산광역시,4566,2015,3,1862280
195,2015.04,부산광역시,4565,2015,4,4400410
196,2015.05,부산광역시,4565,2015,5,334176
197,2015.06,부산광역시,4568,2015,6,2943785
198,2015.07,부산광역시,4570,2015,7,2258624
199,2015.08,부산광역시,4568,2015,8,2844658
200,2015.09,부산광역시,4567,2015,9,1997136
201,2015.1,부산광역시,4565,2015,10,518258
202,2015.11,부산광역시,4564,2015,11,4434196
203,2015.12,부산광역시,4563,2015,12,2596409
204,2016.01,부산광역시,4562,2016,1,1382020
205,2016.02,부산광역시,4562,2016,2,8341902
206,2016.03,부산광역시,4561,2016,3,2719682
207,2016.04,부산광역시,4561,2016,4,3471888
208,2016.05,부산광역시,4559,2016,5,682498
209,2016.06,부산광역시,4557,2016,6,1269135
210,2016.07,부산광역시,4555,2016,7,778458
211,2016.08,부산광역시,4554,2016,8,1731722
212,2016.09,부산광역시,4553,2016,9,4168168
213,2016.1,부산광역시,4550,2016,10,0
214,2016.11,부산광역시,4547,2016,11,2042581
215,2016.12,부산광역시,4543,2016,12,1841774
216,2017.01,부산광역시,4541,2017,1,2005193
217,2017.02,부산광역시,4539,2017,2,1592103
218,2017.03,부산광역시,4536,2017,3,317412
219,2017.04,부산광역시,4534,2017,4,3188393
220,2017.05,부산광역시,4531,2017,5,1675101
