,연월,시도,인구수,연도,월
144,2011.01,부산광역시,3566560,2011,01
145,2011.02,부산광역시,3566480,2011,02
146,2011.03,부산광역시,3564873,2011,03
147,2011.04,부산광역시,3563042,2011,04
148,2011.05,부산광역시,3562985,2011,05
149,2011.06,부산광역시,3563295,2011,06
150,2011.07,부산광역시,3560813,2011,07
151,2011.08,부산광역시,3558372,2011,08
152,2011.09,부산광역시,3556565,2011,09
153,2011.1,부산광역시,3554635,2011,10
154,2011.11,부산광역시,3553997,2011,11
155,2011.12,부산광역시,3550963,2011,12
156,2012.01,부산광역시,3549501,2012,01
157,2012.02,부산광역시,3548640,2012,02
158,2012.03,부산광역시,3547141,2012,03
159,2012.04,부산광역시,3545806,2012,04
160,2012.05,부산광역시,3543688,2012,05
161,2012.06,부산광역시,3542239,2012,06
162,2012.07,부산광역시,3542218,2012,07
163,2012.08,부산광역시,3541431,2012,08
164,2012.09,부산광역시,3540802,2012,09
165,2012.1,부산광역시,3540098,2012,10
166,2012.11,부산광역시,3539273,2012,11
167,2012.12,부산광역시,3538484,2012,12
168,2013.01,부산광역시,3538191,2013,01
169,2013.02,부산광역시,3539455,2013,02
170,2013.03,부산광역시,3538285,2013,03
171,2013.04,부산광역시,3537758,2013,04
172,2013.05,부산광역시,3536426,2013,05
173,2013.06,부산광역시,3534500,2013,06
174,2013.07,부산광역시,3532994,2013,07
175,2013.08,부산광역시,3531796,2013,08
176,2013.09,부산광역시,3531643,2013,09
177,2013.1,부산광역시,3530579,2013,10
178,2013.11,부산광역시,3529884,2013,11
179,2013.12,부산광역시,3527635,2013,12
180,2014.01,부산광역시,3526648,2014,01
181,2014.02,부산광역시,3527439,2014,02
182,2014.03,부산광역시,3525512,2014,03
183,2014.04,부산광역시,3523386,2014,04
184,2014.05,부산광역시,3521473,2014,05
185,2014.06,부산광역시,3521210,2014,06
186,2014.07,부산광역시,3520288,2014,07
187,2014.08,부산광역시,3520287,2014,08
188,2014.09,부산광역시,3520732,2014,09
189,2014.1,부산광역시,3525913,2014,10
190,2014.11,부산광역시,3522643,2014,11
191,2014.12,부산광역시,3519401,2014,12
192,2015.01,부산광역시,3517898,2015,01
193,2015.02,부산광역시,3517939,2015,02
194,2015.03,부산광역시,3515839,2015,03
195,2015.04,부산광역시,3515439,2015,04
196,2015.05,부산광역시,3515806,2015,05
197,2015.06,부산광역시,3517491,2015,06
198,2015.07,부산광역시,3518955,2015,07
199,2015.08,부산광역시,3517907,2015,08
200,2015.09,부산광역시,3516704,2015,09
201,2015.1,부산광역시,3515689,2015,10
202,2015.11,부산광역시,3514842,2015,11
203,2015.12,부산광역시,3513777,2015,12
204,2016.01,부산광역시,3513361,2016,01
205,2016.02,부산광역시,3513192,2016,02
206,2016.03,부산광역시,3512444,2016,03
207,2016.04,부산광역시,3511974,2016,04
208,2016.05,부산광역시,3510833,2016,05
209,2016.06,부산광역시,3509462,2016,06
210,2016.07,부산광역시,3508095,2016,07
211,2016.08,부산광역시,3507205,2016,08
212,2016.09,부산광역시,3505821,2016,09
213,2016.1,부산광역시,3503789,2016,10
214,2016.11,부산광역시,3501671,2016,11
215,2016.12,부산광역시,3498529,2016,12
216,2017.01,부산광역시,3496779,2017,01
217,2017.02,부산광역시,3495478,2017,02
218,2017.03,부산광역시,3493041,2017,03
219,2017.04,부산광역시,3491282,2017,04
220,2017.05,부산광역시,3489212,2017,05
221,2017.06,부산광역시,3486570,2017,06
222,2017.07,부산광역시,3484836,2017,07
223,2017.08,부산광역시,3484183,2017,08
224,2017.09,부산광역시,3482804,2017,09
225,2017.1,부산광역시,3478109,2017,10
226,2017.11,부산광역시,3474534,2017,11
227,2017.12,부산광역시,3470653,2017,12
228,2018.01,부산광역시,3467055,2018,01
229,2018.02,부산광역시,3465407,2018,02
230,2018.03,부산광역시,3463103,2018,03
231,2018.04,부산광역시,3460707,2018,04
232,2018.05,부산광역시,3458134,2018,05
233,2018.06,부산광역시,3455611,2018,06
234,2018.07,부산광역시,3453198,2018,07
235,2018.08,부산광역시,3451049,2018,08
236,2018.09,부산광역시,3449593,2018,09
237,2018.1,부산광역시,3446856,2018,10
238,2018.11,부산광역시,3444540,2018,11
239,2018.12,부산광역시,3441453,2018,12
240,2019.01,부산광역시,3438259,2019,01
241,2019.02,부산광역시,3436230,2019,02
242,2019.03,부산광역시,3434091,2019,03
243,2019.04,부산광역시,3431750,2019,04
244,2019.05,부산광역시,3429595,2019,05
245,2019.06,부산광역시,3427632,2019,06
246,2019.07,부산광역시,3425317,2019,07
247,2019.08,부산광역시,3423209,2019,08
248,2019.09,부산광역시,3421502,2019,09
249,2019.1,부산광역시,3418871,2019,10
250,2019.11,부산광역시,3416721,2019,11
251,2019.12,부산광역시,3413841,2019,12
252,2020.01,부산광역시,3411819,2020,01
253,2020.02,부산광역시,3410925,2020,02
254,2020.03,부산광역시,3409932,2020,03
255,2020.04,부산광역시,3408347,2020,04
256,2020.05,부산광역시,3406942,2020,05
257,2020.06,부산광역시,3404423,2020,06
258,2020.07,부산광역시,3402776,2020,07
259,2020.08,부산광역시,3401072,2020,08
260,2020.09,부산광역시,3399749,2020,09
261,2020.1,부산광역시,3397598,2020,10
262,2020.11,부산광역시,3395514,2020,11
