,년월,연도,월,시도,사용량,위도,경도
105,2019_9,2019,9,강원도,1261886,37.820812,128.156579
106,2020_9,2020,9,강원도,1313721,37.820812,128.156579
107,2021_9,2021,9,강원도,1312553,37.820812,128.156579
108,2010_10,2010,10,강원도,1116695,37.820812,128.156579
109,2011_10,2011,10,강원도,1242326,37.820812,128.156579
110,2012_10,2012,10,강원도,1160784,37.820812,128.156579
111,2013_10,2013,10,강원도,1158325,37.820812,128.156579
112,2014_10,2014,10,강원도,1226324,37.820812,128.156579
113,2015_10,2015,10,강원도,1243791,37.820812,128.156579
114,2016_10,2016,10,강원도,1236128,37.820812,128.156579
115,2017_10,2017,10,강원도,1228640,37.820812,128.156579
116,2018_10,2018,10,강원도,1242919,37.820812,128.156579
117,2019_10,2019,10,강원도,1233916,37.820812,128.156579
118,2020_10,2020,10,강원도,1236878,37.820812,128.156579
119,2021_10,2021,10,강원도,1280881,37.820812,128.156579
120,2010_11,2010,11,강원도,1297575,37.820812,128.156579
121,2011_11,2011,11,강원도,1331481,37.820812,128.156579
122,2012_11,2012,11,강원도,1322410,37.820812,128.156579
123,2013_11,2013,11,강원도,1319470,37.820812,128.156579
124,2014_11,2014,11,강원도,1355140,37.820812,128.156579
125,2015_11,2015,11,강원도,1315133,37.820812,128.156579
126,2016_11,2016,11,강원도,1377388,37.820812,128.156579
127,2017_11,2017,11,강원도,1413444,37.820812,128.156579
128,2018_11,2018,11,강원도,1400538,37.820812,128.156579
129,2019_11,2019,11,강원도,1345986,37.820812,128.156579
130,2020_11,2020,11,강원도,1360652,37.820812,128.156579
131,2021_11,2021,11,강원도,1406178,37.820812,128.156579
132,2010_12,2010,12,강원도,1442404,37.820812,128.156579
133,2011_12,2011,12,강원도,1484037,37.820812,128.156579
134,2012_12,2012,12,강원도,1525101,37.820812,128.156579
135,2013_12,2013,12,강원도,1483916,37.820812,128.156579
136,2014_12,2014,12,강원도,1512174,37.820812,128.156579
137,2015_12,2015,12,강원도,1489302,37.820812,128.156579
138,2016_12,2016,12,강원도,1524710,37.820812,128.156579
139,2017_12,2017,12,강원도,1601791,37.820812,128.156579
140,2018_12,2018,12,강원도,1517476,37.820812,128.156579
141,2019_12,2019,12,강원도,1507366,37.820812,128.156579
142,2020_12,2020,12,강원도,1495982,37.820812,128.156579
143,2021_12,2021,12,강원도,1573555,37.820812,128.156579
144,2010_1,2010,1,경기도,8725482,37.412505,127.520017
145,2011_1,2011,1,경기도,9555286,37.412505,127.520017
146,2012_1,2012,1,경기도,9415681,37.412505,127.520017
147,2013_1,2013,1,경기도,10001523,37.412505,127.520017
148,2014_1,2014,1,경기도,9668916,37.412505,127.520017
149,2015_1,2015,1,경기도,10014789,37.412505,127.520017
150,2016_1,2016,1,경기도,9959962,37.412505,127.520017
151,2017_1,2017,1,경기도,10297551,37.412505,127.520017
152,2018_1,2018,1,경기도,11415963,37.412505,127.520017
