,년월,연도,월,시도,사용량
148,2018.1,2018,01,전라남도,3016089
149,2018.1,2018,01,전라북도,2152748
150,2018.1,2018,01,제주특별자치도,490242
151,2018.1,2018,01,충청남도,4628992
152,2018.1,2018,01,충청북도,2365631
153,2019.1,2019,01,강원도,1660463
154,2019.1,2019,01,경기도,11610400
155,2019.1,2019,01,경상남도,3364894
156,2019.1,2019,01,경상북도,4165072
157,2019.1,2019,01,광주광역시,801473
158,2019.1,2019,01,대구광역시,1437112
159,2019.1,2019,01,대전광역시,884590
160,2019.1,2019,01,부산광역시,1906812
161,2019.1,2019,01,서울특별시,4416889
162,2019.1,2019,01,세종특별자치시,292025
163,2019.1,2019,01,울산광역시,3013786
164,2019.1,2019,01,인천광역시,2309124
165,2019.1,2019,01,전라남도,2960741
166,2019.1,2019,01,전라북도,2059375
167,2019.1,2019,01,제주특별자치도,504995
168,2019.1,2019,01,충청남도,4792097
169,2019.1,2019,01,충청북도,2464536
170,2020.1,2020,01,강원도,1547410
171,2020.1,2020,01,경기도,11278340
172,2020.1,2020,01,경상남도,3168932
173,2020.1,2020,01,경상북도,3760339
174,2020.1,2020,01,광주광역시,756532
175,2020.1,2020,01,대구광역시,1361827
176,2020.1,2020,01,대전광역시,853129
177,2020.1,2020,01,부산광역시,1832430
178,2020.1,2020,01,서울특별시,4197026
179,2020.1,2020,01,세종특별자치시,288845
180,2020.1,2020,01,울산광역시,2913837
181,2020.1,2020,01,인천광역시,2108033
182,2020.1,2020,01,전라남도,2773472
183,2020.1,2020,01,전라북도,2022692
184,2020.1,2020,01,제주특별자치도,491120
185,2020.1,2020,01,충청남도,4571805
186,2020.1,2020,01,충청북도,2401135
187,2021.1,2021,01,강원도,1629812
188,2021.1,2021,01,경기도,12319589
189,2021.1,2021,01,경상남도,3449241
190,2021.1,2021,01,경상북도,3998481
191,2021.1,2021,01,광주광역시,811864
192,2021.1,2021,01,대구광역시,1443838
193,2021.1,2021,01,대전광역시,912804
194,2021.1,2021,01,부산광역시,1862280
195,2021.1,2021,01,서울특별시,4400410
196,2021.1,2021,01,세종특별자치시,334176
197,2021.1,2021,01,울산광역시,2943785
198,2021.1,2021,01,인천광역시,2258624
199,2021.1,2021,01,전라남도,2844658
200,2021.1,2021,01,전라북도,1997136
201,2021.1,2021,01,제주특별자치도,518258
202,2021.1,2021,01,충청남도,4434196
203,2021.1,2021,01,충청북도,2596409
204,2010.2,2010,02,강원도,1382020
205,2010.2,2010,02,경기도,8341902
206,2010.2,2010,02,경상남도,2719682
207,2010.2,2010,02,경상북도,3471888
208,2010.2,2010,02,광주광역시,682498
209,2010.2,2010,02,대구광역시,1269135
210,2010.2,2010,02,대전광역시,778458
211,2010.2,2010,02,부산광역시,1731722
212,2010.2,2010,02,서울특별시,4168168
213,2010.2,2010,02,세종특별자치시,0
214,2010.2,2010,02,울산광역시,2042581
215,2010.2,2010,02,인천광역시,1841774
216,2010.2,2010,02,전라남도,2005193
217,2010.2,2010,02,전라북도,1592103
218,2010.2,2010,02,제주특별자치도,317412
219,2010.2,2010,02,충청남도,3188393
220,2010.2,2010,02,충청북도,1675101
