,연도,시도,병상수,사용량,위도,경도
114,2015,충청북도,20288,22949033,36.999466,127.700783
115,2016,충청북도,21252,24008865,36.999466,127.700783
116,2017,충청북도,21584,24843380,36.999466,127.700783
117,2018,충청북도,22471,26239764,36.999466,127.700783
118,2019,충청북도,21336,26732304,36.999466,127.700783
119,2020,충청북도,21503,26901893,36.999466,127.700783
120,2021,충청북도,21658,28402061,36.999466,127.700783
121,2011,충청남도,23989,42650114,36.717428,126.801751
122,2012,충청남도,24210,44492419,36.717428,126.801751
123,2013,충청남도,25310,45466811,36.717428,126.801751
124,2014,충청남도,26711,47294961,36.717428,126.801751
125,2015,충청남도,27362,47286060,36.717428,126.801751
126,2016,충청남도,27762,48453932,36.717428,126.801751
127,2017,충청남도,28878,50180207,36.717428,126.801751
128,2018,충청남도,28457,52012704,36.717428,126.801751
129,2019,충청남도,28122,52644854,36.717428,126.801751
130,2020,충청남도,28740,50422733,36.717428,126.801751
131,2021,충청남도,29104,48801625,36.717428,126.801751
132,2011,전라북도,30462,21168362,35.717518,127.156528
133,2012,전라북도,32747,21462321,35.717518,127.156528
134,2013,전라북도,35645,21708660,35.717518,127.156528
135,2014,전라북도,37413,22297413,35.717518,127.156528
136,2015,전라북도,38300,22086859,35.717518,127.156528
137,2016,전라북도,39165,22733494,35.717518,127.156528
138,2017,전라북도,39981,22799646,35.717518,127.156528
139,2018,전라북도,40291,22961959,35.717518,127.156528
140,2019,전라북도,39993,22280691,35.717518,127.156528
141,2020,전라북도,39878,20538911,35.717518,127.156528
142,2021,전라북도,39818,21486859,35.717518,127.156528
143,2011,전라남도,32150,27136868,34.867289,126.993547
144,2012,전라남도,34421,28484707,34.867289,126.993547
145,2013,전라남도,36856,30302072,34.867289,126.993547
146,2014,전라남도,38565,31722943,34.867289,126.993547
147,2015,전라남도,40089,32637828,34.867289,126.993547
148,2016,전라남도,40928,33096902,34.867289,126.993547
149,2017,전라남도,40816,33562077,34.867289,126.993547
150,2018,전라남도,41575,34118388,34.867289,126.993547
151,2019,전라남도,41844,32385388,34.867289,126.993547
152,2020,전라남도,40851,30973974,34.867289,126.993547
153,2021,전라남도,41276,33486887,34.867289,126.993547
154,2011,경상북도,35154,44167300,36.327952,128.951526
155,2012,경상북도,36856,44799528,36.327952,128.951526
156,2013,경상북도,39200,45444250,36.327952,128.951526
157,2014,경상북도,41118,46016362,36.327952,128.951526
158,2015,경상북도,42922,44956835,36.327952,128.951526
159,2016,경상북도,43982,44647502,36.327952,128.951526
160,2017,경상북도,44855,45455611,36.327952,128.951526
161,2018,경상북도,44396,45958813,36.327952,128.951526
162,2019,경상북도,43726,44314767,36.327952,128.951526
163,2020,경상북도,43676,41001627,36.327952,128.951526
164,2021,경상북도,43389,44258296,36.327952,128.951526
165,2011,경상남도,50906,33071206,35.460156,128.215601
166,2012,경상남도,52541,33014944,35.460156,128.215601
