,시도,위도,경도,연도,지방세,사용량
112,세종특별자치시,36.560326,127.258638,2014,386816,2437032
113,세종특별자치시,36.560326,127.258638,2015,512028,2641141
114,세종특별자치시,36.560326,127.258638,2016,499626,2801868
115,세종특별자치시,36.560326,127.258638,2017,665142,2918759
116,세종특별자치시,36.560326,127.258638,2018,670652,3087692
117,세종특별자치시,36.560326,127.258638,2019,666939,3226180
118,세종특별자치시,36.560326,127.258638,2020,795242,3393224
119,세종특별자치시,36.560326,127.258638,2021,877116,4295362
120,울산광역시,35.553064,129.254432,2010,1230508,26515697
121,울산광역시,35.553064,129.254432,2011,1375029,28198241
122,울산광역시,35.553064,129.254432,2012,1493288,29362726
123,울산광역시,35.553064,129.254432,2013,1413522,29992967
124,울산광역시,35.553064,129.254432,2014,1611003,30115123
125,울산광역시,35.553064,129.254432,2015,1760321,30286140
126,울산광역시,35.553064,129.254432,2016,1945369,32095217
127,울산광역시,35.553064,129.254432,2017,1983863,31609850
128,울산광역시,35.553064,129.254432,2018,1946957,33748169
129,울산광역시,35.553064,129.254432,2019,2040650,34138999
130,울산광역시,35.553064,129.254432,2020,2093867,33157837
131,울산광역시,35.553064,129.254432,2021,2216360,33593122
132,인천광역시,37.455307,126.70392,2010,2428823,21827574
133,인천광역시,37.455307,126.70392,2011,2790176,22241137
134,인천광역시,37.455307,126.70392,2012,2754954,22651945
135,인천광역시,37.455307,126.70392,2013,2855673,22673440
136,인천광역시,37.455307,126.70392,2014,3220968,22578048
137,인천광역시,37.455307,126.70392,2015,3727717,23211767
138,인천광역시,37.455307,126.70392,2016,4028661,23875858
139,인천광역시,37.455307,126.70392,2017,4427782,24515313
140,인천광역시,37.455307,126.70392,2018,4465821,24921925
141,인천광역시,37.455307,126.70392,2019,4809476,24280688
142,인천광역시,37.455307,126.70392,2020,5187705,23638582
143,인천광역시,37.455307,126.70392,2021,5923870,24901194
144,전라남도,34.867289,126.993547,2010,1434292,25059938
145,전라남도,34.867289,126.993547,2011,1580286,27136868
146,전라남도,34.867289,126.993547,2012,1622293,28484707
147,전라남도,34.867289,126.993547,2013,1599464,30302072
148,전라남도,34.867289,126.993547,2014,1751096,31722943
149,전라남도,34.867289,126.993547,2015,2002617,32637828
150,전라남도,34.867289,126.993547,2016,2243786,33096902
151,전라남도,34.867289,126.993547,2017,2319014,33562077
152,전라남도,34.867289,126.993547,2018,2392217,34118388
153,전라남도,34.867289,126.993547,2019,2714787,32385388
154,전라남도,34.867289,126.993547,2020,3564716,30973974
155,전라남도,34.867289,126.993547,2021,3730749,33486887
156,전라북도,35.717518,127.156528,2010,1287562,18949074
157,전라북도,35.717518,127.156528,2011,1407180,21168362
158,전라북도,35.717518,127.156528,2012,1456057,21462321
159,전라북도,35.717518,127.156528,2013,1457454,21708660
160,전라북도,35.717518,127.156528,2014,1641746,22297413
161,전라북도,35.717518,127.156528,2015,1796926,22086859
162,전라북도,35.717518,127.156528,2016,1896033,22733494
163,전라북도,35.717518,127.156528,2017,2005960,22799646
164,전라북도,35.717518,127.156528,2018,2039943,22961959
165,전라북도,35.717518,127.156528,2019,2292195,22280691
166,전라북도,35.717518,127.156528,2020,2921771,20538911
167,전라북도,35.717518,127.156528,2021,3063559,21486859
168,제주특별자치도,33.424967,126.778084,2010,521487,3574622
169,제주특별자치도,33.424967,126.778084,2011,581431,3710080
170,제주특별자치도,33.424967,126.778084,2012,684103,3864639
171,제주특별자치도,33.424967,126.778084,2013,768612,4094900
172,제주특별자치도,33.424967,126.778084,2014,909470,4220090
173,제주특별자치도,33.424967,126.778084,2015,1124068,4429551
174,제주특별자치도,33.424967,126.778084,2016,1376124,4738201
175,제주특별자치도,33.424967,126.778084,2017,1448695,5013544
176,제주특별자치도,33.424967,126.778084,2018,1458970,5272603
177,제주특별자치도,33.424967,126.778084,2019,1519568,5374284
178,제주특별자치도,33.424967,126.778084,2020,1601823,5373287
179,제주특별자치도,33.424967,126.778084,2021,1685665,5687731
180,충청남도,36.717428,126.801751,2010,2097037,38809315
181,충청남도,36.717428,126.801751,2011,2297542,42650114
182,충청남도,36.717428,126.801751,2012,2307243,44492419
183,충청남도,36.717428,126.801751,2013,2226001,45466811
184,충청남도,36.717428,126.801751,2014,2624962,47294961
185,충청남도,36.717428,126.801751,2015,2836473,47286060
186,충청남도,36.717428,126.801751,2016,3120102,48453932
187,충청남도,36.717428,126.801751,2017,3433932,50180207
188,충청남도,36.717428,126.801751,2018,3507758,52012704
189,충청남도,36.717428,126.801751,2019,3560335,52644854
190,충청남도,36.717428,126.801751,2020,4125636,50422733
191,충청남도,36.717428,126.801751,2021,4595115,48801625
192,충청북도,36.999466,127.700783,2010,1310314,19444832
193,충청북도,36.999466,127.700783,2011,1371252,20453353
194,충청북도,36.999466,127.700783,2012,1443528,21361912
195,충청북도,36.999466,127.700783,2013,1431512,21665045
196,충청북도,36.999466,127.700783,2014,1684169,22179260
197,충청북도,36.999466,127.700783,2015,1884993,22949033
198,충청북도,36.999466,127.700783,2016,2020649,24008865
199,충청북도,36.999466,127.700783,2017,2106205,24843380
200,충청북도,36.999466,127.700783,2018,2281543,26239764
201,충청북도,36.999466,127.700783,2019,2573152,26732304
202,충청북도,36.999466,127.700783,2020,2770501,26901893
203,충청북도,36.999466,127.700783,2021,3149318,28402061
