,연도,시도,월,사용량
569,2019,서울특별시,03,3582654
570,2019,세종특별자치시,03,259636
571,2019,울산광역시,03,2809607
572,2019,인천광역시,03,2006746
573,2019,전라남도,03,2831531
574,2019,전라북도,03,1934090
575,2019,제주특별자치도,03,451731
576,2019,충청남도,03,4414219
577,2019,충청북도,03,2246393
578,2020,강원도,03,1400869
579,2020,경기도,03,10401852
580,2020,경상남도,03,2954776
581,2020,경상북도,03,3480140
582,2020,광주광역시,03,696886
583,2020,대구광역시,03,1200565
584,2020,대전광역시,03,771329
585,2020,부산광역시,03,1670111
586,2020,서울특별시,03,3657444
587,2020,세종특별자치시,03,280549
588,2020,울산광역시,03,2856122
589,2020,인천광역시,03,1997984
590,2020,전라남도,03,2603919
591,2020,전라북도,03,1740083
592,2020,제주특별자치도,03,451371
593,2020,충청남도,03,4415486
594,2020,충청북도,03,2291113
595,2021,강원도,03,1395074
596,2021,경기도,03,10668287
597,2021,경상남도,03,2991661
598,2021,경상북도,03,3621472
599,2021,광주광역시,03,697761
600,2021,대구광역시,03,1222748
601,2021,대전광역시,03,771955
602,2021,부산광역시,03,1656492
603,2021,서울특별시,03,3550751
604,2021,세종특별자치시,03,296000
605,2021,울산광역시,03,2812601
606,2021,인천광역시,03,2021302
607,2021,전라남도,03,2724005
608,2021,전라북도,03,1771153
609,2021,제주특별자치도,03,450805
610,2021,충청남도,03,4077387
611,2021,충청북도,03,2344911
612,2010,강원도,04,1317499
613,2010,경기도,04,7727001
614,2010,경상남도,04,2665253
615,2010,경상북도,04,3454660
616,2010,광주광역시,04,642843
617,2010,대구광역시,04,1199557
618,2010,대전광역시,04,724076
619,2010,부산광역시,04,1682021
620,2010,서울특별시,04,3719082
621,2010,세종특별자치시,04,0
622,2010,울산광역시,04,2170165
623,2010,인천광역시,04,1825715
624,2010,전라남도,04,2049713
625,2010,전라북도,04,1609044
626,2010,제주특별자치도,04,300520
627,2010,충청남도,04,3198820
628,2010,충청북도,04,1682392
629,2011,강원도,04,1361937
630,2011,경기도,04,7992730
631,2011,경상남도,04,2770642
632,2011,경상북도,04,3721268
633,2011,광주광역시,04,669154
634,2011,대구광역시,04,1216588
635,2011,대전광역시,04,739750
636,2011,부산광역시,04,1709300
637,2011,서울특별시,04,3682652
638,2011,세종특별자치시,04,0
639,2011,울산광역시,04,2326725
640,2011,인천광역시,04,1859019
641,2011,전라남도,04,2310756
642,2011,전라북도,04,1764514
643,2011,제주특별자치도,04,314060
644,2011,충청남도,04,3521544
645,2011,충청북도,04,1755631
646,2012,강원도,04,1382879
647,2012,경기도,04,8233401
648,2012,경상남도,04,2785022
649,2012,경상북도,04,3769210
650,2012,광주광역시,04,675943
651,2012,대구광역시,04,1229268
652,2012,대전광역시,04,745833
653,2012,부산광역시,04,1710623
654,2012,서울특별시,04,3695515
655,2012,세종특별자치시,04,0
656,2012,울산광역시,04,2344787
657,2012,인천광역시,04,1847382
658,2012,전라남도,04,2311276
659,2012,전라북도,04,1862254
660,2012,제주특별자치도,04,327775
661,2012,충청남도,04,3759126
662,2012,충청북도,04,1804075
663,2013,강원도,04,1373728
664,2013,경기도,04,8420099
665,2013,경상남도,04,2810317
