,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2014.06,51233579,10129223,3521210,2498450,2892483,1474546,1535701,1161019,130708,12300698,1541568,1576066,2057178,1870844,1905242,2697248,3341111,600284
2014.07,51250261,10125912,3520288,2497705,2894151,1475676,1536349,1161538,132016,12313649,1541315,1576819,2058114,1871456,1904195,2697325,3342286,601467
2014.08,51266779,10124243,3520287,2496596,2895292,1476459,1536286,1162316,134631,12324470,1541010,1577549,2058652,1872056,1903177,2697927,3343307,602521
2014.09,51284774,10122661,3520732,2491269,2897018,1477517,1535815,1163048,138136,12334023,1541414,1578401,2059085,1871931,1902350,2703929,3343878,603567
2014.10,51302044,10117909,3525913,2492994,2899071,1477780,1535028,1163690,142686,12342448,1542147,1578934,2059871,1871747,1902324,2700328,3344403,604771
2014.11,51314683,10112156,3522643,2493857,2900996,1478204,1534041,1166229,148151,12348078,1542604,1579037,2060971,1871725,1902916,2699686,3347317,606072
2014.12,51327916,10103233,3519401,2493264,2902608,1475884,1531809,1166377,156125,12357830,1544442,1578933,2062273,1871560,1905780,2700794,3350257,607346
2015.01,51342881,10104515,3517898,2492658,2904876,1476891,1531287,1167232,161716,12366711,1543640,1578531,2063050,1871018,1904220,2699275,3351038,608325
2015.02,51360454,10105206,3517939,2492583,2906603,1477340,1529431,1167385,169762,12376944,1542918,1578253,2062924,1870728,1903220,2698469,3351137,609612
2015.03,51378174,10100987,3515839,2491897,2908418,1477504,1528090,1168692,174920,12392297,1543187,1578748,2064229,1869966,1902274,2697302,3352780,611044
2015.04,51395238,10094889,3515439,2491545,2910307,1477609,1527314,1169433,178656,12405279,1543811,1579291,2065609,1869900,1902212,2696837,3354602,612505
2015.05,51413925,10088393,3515806,2491867,2912114,1477212,1526568,1169658,182028,12418899,1545194,1580042,2067096,1869965,1902383,2696674,3356168,613858
2015.06,51431100,10078850,3517491,2491137,2914271,1476974,1525656,1169768,185212,12432063,1547166,1582181,2068444,1869668,1902638,2697791,3356540,615250
2015.07,51448183,10071654,3518955,2490799,2916719,1476716,1525195,1170232,189478,12444924,1547737,1581840,2069109,1869354,1903046,2698899,3356488,617038
2015.08,51465228,10063197,3517907,2490621,2918982,1476152,1524025,1170640,194173,12460604,1547646,1581792,2071333,1869025,1903609,2699955,3357120,618447
2015.09,51482816,10055027,3516704,2490584,2920938,1475590,1523338,1170980,197964,12475565,1548082,1582080,2072314,1869255,1904402,2700461,3359523,620009
2015.10,51500986,10045027,3515689,2489847,2923030,1474603,1522288,1173050,202214,12491080,1549221,1582656,2073340,1869297,1905616,2700878,3361489,621661
2015.11,51515399,10035597,3514842,2489339,2924578,1474910,1521142,1174051,206044,12504790,1549178,1583053,2074956,1869654,1905373,2702186,3362754,622952
2015.12,51529338,10022181,3513777,2487829,2925815,1472199,1518775,1173534,210884,12522606,1549507,1583952,2077649,1869711,1908996,2702826,3364702,624395
2016.01,51541582,10018537,3513361,2487823,2927195,1472802,1518024,1173568,215418,12536474,1549193,1583982,2078572,1868354,1906904,2701160,3364764,625451
2016.02,51555409,10014261,3513192,2486589,2928596,1472153,1517716,1173143,220108,12551398,1548016,1583781,2080030,1867534,1905700,2701055,3364695,627442
2016.03,51569536,10009588,3512444,2486059,2929817,1471618,1517118,1172959,223461,12565891,1547845,1584325,2081092,1866691,1905239,2701148,3365021,629220
2016.04,51584349,10002979,3511974,2485663,2932141,1471819,1516904,1172925,225488,12578597,1548170,1585312,2082319,1866184,1904917,2701238,3366658,631061
2016.05,51601265,9995784,3510833,2485134,2933959,1472317,1516494,1173147,227972,12594829,1547821,1586414,2084034,1865634,1904449,2701912,3367730,632802
2016.06,51619330,9989795,3509462,2484864,2935314,1472285,1516208,1173143,230327,12610877,1548603,1586943,2085844,1865900,1904314,2702385,3368792,634274
2016.07,51634618,9981673,3508095,2484856,2937217,1472481,1516291,1173066,232117,12629325,1548636,1587539,2086737,1865612,1903692,2702210,3369271,635800
2016.08,51649552,9971111,3507205,2485537,2938902,1472432,1516165,1173005,234510,12649894,1548844,1588025,2088268,1865232,1902883,2701293,3369074,637172
2016.09,51664244,9964291,3505821,2485692,2940436,1472379,1516241,1172965,236134,12666278,1549483,1588548,2089831,1864729,1902077,2701445,3369695,638199
2016.10,51677054,9954791,3503789,2485484,2941793,1471911,1515787,1173178,238533,12683730,1550021,1589268,2091626,1864043,1902022,2700957,3370815,639306
2016.11,51687682,9943333,3501671,2485535,2942613,1471384,1515394,1172891,240560,12699920,1550209,1590537,2093838,1864475,1902260,2700843,3371731,640488
2016.12,51696216,9930616,3498529,2484557,2943069,1469214,1514370,1172304,243048,12716780,1550806,1591625,2096727,1864791,1903914,2700398,3373871,641597
2017.01,51704332,9930478,3496779,2484688,2944009,1469583,1514354,1171656,244939,12728620,1549212,1591674,2097406,1863298,1902380,2698803,3374065,642388
2017.02,51712221,9931412,3495478,2484578,2944266,1468527,1513877,1169957,247600,12741266,1548252,1592001,2099924,1861955,1900797,2696329,3372266,643736
2017.03,51714935,9926968,3493041,2483488,2944630,1467766,1512189,1168843,251178,12753983,1547735,1591697,2102327,1860485,1899441,2694544,3371696,644924
2017.04,51722903,9922745,3491282,2483105,2945305,1467002,1511396,1168501,254112,12763961,1547579,1592492,2104463,1859703,1899604,2693810,3371703,646140
2017.05,51732586,9919016,3489212,2482476,2946270,1466741,1509587,1167960,259157,12775175,1547453,1592573,2105959,1858927,1899088,2692859,3372586,647547
2017.06,51736224,9914381,3486570,2481985,2946915,1466451,1508137,1167525,263056,12783741,1547829,1592634,2107562,1857815,1898065,2691727,3373334,648497
2017.07,51744948,9908612,3484836,2481489,2947803,1466415,1507597,1166942,266075,12795378,1547387,1592817,2109230,1856921,1897681,2690974,3374601,650190
2017.08,51753820,9902072,3484183,2479887,2948014,1466642,1507116,1165909,269102,12810014,1547455,1593022,2111419,1855985,1895974,2690671,3374467,651888
2017.09,51762492,9891448,3482804,2478236,2947298,1466639,1506741,1165385,271410,12827633,1547768,1593313,2113033,1855450,1895233,2691502,3375329,653270
2017.10,51769092,9882810,3478109,2477186,2948098,1466716,1505829,1165528,274092,12841321,1547999,1593577,2114284,1854688,1894676,2691794,3377635,654750
