,연월,시도,고용률,연도,월
144,2022.01,서울특별시,59.0,2022,01
145,2022.02,서울특별시,59.7,2022,02
146,2022.03,서울특별시,59.8,2022,03
147,2022.04,서울특별시,60.4,2022,04
148,2022.05,서울특별시,60.8,2022,05
149,2022.06,서울특별시,60.8,2022,06
150,2022.07,서울특별시,60.9,2022,07
151,2022.08,서울특별시,60.7,2022,08
152,2022.09,서울특별시,60.7,2022,09
153,2022.10,서울특별시,60.5,2022,10
154,2022.11,서울특별시,60.8,2022,11
155,2022.12,서울특별시,60.8,2022,12
156,2010.01,부산광역시,54.1,2010,01
157,2010.02,부산광역시,53.9,2010,02
158,2010.03,부산광역시,54.3,2010,03
159,2010.04,부산광역시,54.5,2010,04
160,2010.05,부산광역시,55.5,2010,05
161,2010.06,부산광역시,55.0,2010,06
162,2010.07,부산광역시,55.0,2010,07
163,2010.08,부산광역시,54.1,2010,08
164,2010.09,부산광역시,53.7,2010,09
165,2010.10,부산광역시,53.8,2010,10
166,2010.11,부산광역시,54.0,2010,11
167,2010.12,부산광역시,53.8,2010,12
168,2011.01,부산광역시,52.9,2011,01
169,2011.02,부산광역시,52.9,2011,02
170,2011.03,부산광역시,53.5,2011,03
171,2011.04,부산광역시,53.8,2011,04
172,2011.05,부산광역시,54.4,2011,05
173,2011.06,부산광역시,55.0,2011,06
174,2011.07,부산광역시,55.5,2011,07
175,2011.08,부산광역시,55.1,2011,08
176,2011.09,부산광역시,54.1,2011,09
177,2011.10,부산광역시,55.7,2011,10
178,2011.11,부산광역시,55.7,2011,11
179,2011.12,부산광역시,55.4,2011,12
180,2012.01,부산광역시,55.2,2012,01
181,2012.02,부산광역시,55.0,2012,02
182,2012.03,부산광역시,55.7,2012,03
183,2012.04,부산광역시,55.7,2012,04
184,2012.05,부산광역시,56.3,2012,05
185,2012.06,부산광역시,56.7,2012,06
186,2012.07,부산광역시,56.6,2012,07
187,2012.08,부산광역시,55.9,2012,08
188,2012.09,부산광역시,56.0,2012,09
189,2012.10,부산광역시,55.7,2012,10
190,2012.11,부산광역시,55.8,2012,11
191,2012.12,부산광역시,56.0,2012,12
192,2013.01,부산광역시,56.1,2013,01
193,2013.02,부산광역시,55.3,2013,02
194,2013.03,부산광역시,55.7,2013,03
195,2013.04,부산광역시,56.6,2013,04
196,2013.05,부산광역시,56.8,2013,05
197,2013.06,부산광역시,56.8,2013,06
198,2013.07,부산광역시,56.5,2013,07
199,2013.08,부산광역시,55.9,2013,08
200,2013.09,부산광역시,56.1,2013,09
201,2013.10,부산광역시,55.9,2013,10
202,2013.11,부산광역시,56.4,2013,11
203,2013.12,부산광역시,55.6,2013,12
204,2014.01,부산광역시,55.4,2014,01
205,2014.02,부산광역시,55.1,2014,02
206,2014.03,부산광역시,55.3,2014,03
207,2014.04,부산광역시,56.5,2014,04
208,2014.05,부산광역시,57.2,2014,05
209,2014.06,부산광역시,57.4,2014,06
210,2014.07,부산광역시,58.0,2014,07
211,2014.08,부산광역시,57.9,2014,08
212,2014.09,부산광역시,57.3,2014,09
213,2014.10,부산광역시,57.2,2014,10
214,2014.11,부산광역시,57.1,2014,11
215,2014.12,부산광역시,56.5,2014,12
216,2015.01,부산광역시,55.9,2015,01
217,2015.02,부산광역시,56.1,2015,02
218,2015.03,부산광역시,55.9,2015,03
219,2015.04,부산광역시,56.3,2015,04
220,2015.05,부산광역시,56.4,2015,05
221,2015.06,부산광역시,56.4,2015,06
222,2015.07,부산광역시,56.6,2015,07
223,2015.08,부산광역시,55.9,2015,08
224,2015.09,부산광역시,56.4,2015,09
225,2015.10,부산광역시,56.6,2015,10
226,2015.11,부산광역시,56.7,2015,11
227,2015.12,부산광역시,56.2,2015,12
228,2016.01,부산광역시,55.8,2016,01
229,2016.02,부산광역시,56.0,2016,02
230,2016.03,부산광역시,55.9,2016,03
231,2016.04,부산광역시,56.5,2016,04
232,2016.05,부산광역시,56.2,2016,05
233,2016.06,부산광역시,56.3,2016,06
234,2016.07,부산광역시,56.4,2016,07
235,2016.08,부산광역시,56.2,2016,08
236,2016.09,부산광역시,56.0,2016,09
237,2016.10,부산광역시,56.1,2016,10
238,2016.11,부산광역시,56.6,2016,11
239,2016.12,부산광역시,56.1,2016,12
240,2017.01,부산광역시,55.5,2017,01
241,2017.02,부산광역시,55.9,2017,02
242,2017.03,부산광역시,56.2,2017,03
243,2017.04,부산광역시,56.4,2017,04
244,2017.05,부산광역시,57.0,2017,05
245,2017.06,부산광역시,57.0,2017,06
246,2017.07,부산광역시,56.7,2017,07
247,2017.08,부산광역시,56.4,2017,08
248,2017.09,부산광역시,56.2,2017,09
249,2017.10,부산광역시,56.3,2017,10
250,2017.11,부산광역시,56.1,2017,11
251,2017.12,부산광역시,56.1,2017,12
252,2018.01,부산광역시,55.3,2018,01
253,2018.02,부산광역시,54.9,2018,02
254,2018.03,부산광역시,55.6,2018,03
255,2018.04,부산광역시,55.5,2018,04
256,2018.05,부산광역시,55.7,2018,05
257,2018.06,부산광역시,56.3,2018,06
258,2018.07,부산광역시,55.6,2018,07
259,2018.08,부산광역시,55.1,2018,08
260,2018.09,부산광역시,55.4,2018,09
261,2018.10,부산광역시,56.5,2018,10
262,2018.11,부산광역시,56.7,2018,11
263,2018.12,부산광역시,55.8,2018,12
264,2019.01,부산광역시,54.9,2019,01
265,2019.02,부산광역시,55.3,2019,02
266,2019.03,부산광역시,56.0,2019,03
267,2019.04,부산광역시,56.1,2019,04
268,2019.05,부산광역시,56.6,2019,05
269,2019.06,부산광역시,56.7,2019,06
270,2019.07,부산광역시,57.3,2019,07
271,2019.08,부산광역시,57.0,2019,08
272,2019.09,부산광역시,57.2,2019,09
273,2019.10,부산광역시,57.6,2019,10
274,2019.11,부산광역시,57.5,2019,11
275,2019.12,부산광역시,57.0,2019,12
276,2020.01,부산광역시,56.2,2020,01
277,2020.02,부산광역시,55.9,2020,02
278,2020.03,부산광역시,55.7,2020,03
279,2020.04,부산광역시,54.3,2020,04
280,2020.05,부산광역시,54.6,2020,05
281,2020.06,부산광역시,55.4,2020,06
282,2020.07,부산광역시,55.6,2020,07
283,2020.08,부산광역시,55.8,2020,08
284,2020.09,부산광역시,55.8,2020,09
285,2020.10,부산광역시,56.1,2020,10
286,2020.11,부산광역시,56.4,2020,11
287,2020.12,부산광역시,55.5,2020,12
288,2021.01,부산광역시,54.1,2021,01
289,2021.02,부산광역시,54.8,2021,02
290,2021.03,부산광역시,55.7,2021,03
291,2021.04,부산광역시,56.2,2021,04
292,2021.05,부산광역시,56.7,2021,05
293,2021.06,부산광역시,56.9,2021,06
294,2021.07,부산광역시,57.1,2021,07
295,2021.08,부산광역시,57.3,2021,08
296,2021.09,부산광역시,56.6,2021,09
297,2021.10,부산광역시,56.5,2021,10
298,2021.11,부산광역시,56.6,2021,11
299,2021.12,부산광역시,55.8,2021,12
300,2022.01,부산광역시,55.1,2022,01
301,2022.02,부산광역시,56.3,2022,02
302,2022.03,부산광역시,56.2,2022,03
303,2022.04,부산광역시,56.5,2022,04
304,2022.05,부산광역시,57.5,2022,05
305,2022.06,부산광역시,57.4,2022,06
306,2022.07,부산광역시,57.5,2022,07
307,2022.08,부산광역시,58.0,2022,08
308,2022.09,부산광역시,57.8,2022,09
309,2022.10,부산광역시,57.7,2022,10
310,2022.11,부산광역시,57.8,2022,11
311,2022.12,부산광역시,57.6,2022,12
312,2010.01,대구광역시,55.6,2010,01
313,2010.02,대구광역시,55.5,2010,02
314,2010.03,대구광역시,56.9,2010,03
315,2010.04,대구광역시,57.6,2010,04
316,2010.05,대구광역시,57.9,2010,05
317,2010.06,대구광역시,58.1,2010,06
318,2010.07,대구광역시,57.7,2010,07
319,2010.08,대구광역시,56.8,2010,08
320,2010.09,대구광역시,56.8,2010,09
321,2010.10,대구광역시,56.9,2010,10
322,2010.11,대구광역시,57.4,2010,11
323,2010.12,대구광역시,56.7,2010,12
324,2011.01,대구광역시,56.0,2011,01
325,2011.02,대구광역시,55.3,2011,02
326,2011.03,대구광역시,56.1,2011,03
327,2011.04,대구광역시,56.9,2011,04
328,2011.05,대구광역시,56.6,2011,05
329,2011.06,대구광역시,57.0,2011,06
330,2011.07,대구광역시,57.2,2011,07
331,2011.08,대구광역시,56.2,2011,08
332,2011.09,대구광역시,56.6,2011,09
333,2011.10,대구광역시,58.1,2011,10
334,2011.11,대구광역시,58.1,2011,11
335,2011.12,대구광역시,57.7,2011,12
336,2012.01,대구광역시,57.9,2012,01
337,2012.02,대구광역시,57.2,2012,02
338,2012.03,대구광역시,57.4,2012,03
339,2012.04,대구광역시,58.3,2012,04
340,2012.05,대구광역시,59.1,2012,05
341,2012.06,대구광역시,59.2,2012,06
342,2012.07,대구광역시,59.4,2012,07
343,2012.08,대구광역시,58.6,2012,08
344,2012.09,대구광역시,58.4,2012,09
345,2012.10,대구광역시,58.4,2012,10
346,2012.11,대구광역시,58.3,2012,11
347,2012.12,대구광역시,58.3,2012,12
348,2013.01,대구광역시,58.1,2013,01
349,2013.02,대구광역시,57.2,2013,02
350,2013.03,대구광역시,57.7,2013,03
351,2013.04,대구광역시,58.0,2013,04
352,2013.05,대구광역시,58.0,2013,05
353,2013.06,대구광역시,58.2,2013,06
354,2013.07,대구광역시,58.1,2013,07
355,2013.08,대구광역시,57.4,2013,08
356,2013.09,대구광역시,57.4,2013,09
357,2013.10,대구광역시,58.1,2013,10
358,2013.11,대구광역시,58.5,2013,11
359,2013.12,대구광역시,58.4,2013,12
360,2014.01,대구광역시,58.0,2014,01
361,2014.02,대구광역시,57.8,2014,02
362,2014.03,대구광역시,58.1,2014,03
363,2014.04,대구광역시,58.6,2014,04
364,2014.05,대구광역시,58.7,2014,05
365,2014.06,대구광역시,58.9,2014,06
366,2014.07,대구광역시,59.0,2014,07
367,2014.08,대구광역시,59.4,2014,08
368,2014.09,대구광역시,59.1,2014,09
369,2014.10,대구광역시,58.8,2014,10
370,2014.11,대구광역시,59.0,2014,11
371,2014.12,대구광역시,59.0,2014,12
372,2015.01,대구광역시,58.6,2015,01
373,2015.02,대구광역시,58.7,2015,02
374,2015.03,대구광역시,58.9,2015,03
375,2015.04,대구광역시,59.1,2015,04
376,2015.05,대구광역시,60.1,2015,05
377,2015.06,대구광역시,60.7,2015,06
378,2015.07,대구광역시,60.1,2015,07
379,2015.08,대구광역시,59.2,2015,08
380,2015.09,대구광역시,59.5,2015,09
381,2015.10,대구광역시,59.5,2015,10
382,2015.11,대구광역시,59.5,2015,11
383,2015.12,대구광역시,59.6,2015,12
384,2016.01,대구광역시,58.6,2016,01
385,2016.02,대구광역시,57.5,2016,02
386,2016.03,대구광역시,58.3,2016,03
387,2016.04,대구광역시,58.9,2016,04
388,2016.05,대구광역시,60.0,2016,05
389,2016.06,대구광역시,59.9,2016,06
390,2016.07,대구광역시,60.2,2016,07
391,2016.08,대구광역시,60.1,2016,08
392,2016.09,대구광역시,59.9,2016,09
393,2016.10,대구광역시,59.6,2016,10
394,2016.11,대구광역시,59.7,2016,11
395,2016.12,대구광역시,59.1,2016,12
396,2017.01,대구광역시,58.5,2017,01
397,2017.02,대구광역시,58.4,2017,02
398,2017.03,대구광역시,59.1,2017,03
399,2017.04,대구광역시,59.3,2017,04
400,2017.05,대구광역시,59.3,2017,05
401,2017.06,대구광역시,59.4,2017,06
402,2017.07,대구광역시,59.6,2017,07
403,2017.08,대구광역시,58.4,2017,08
404,2017.09,대구광역시,58.7,2017,09
405,2017.10,대구광역시,58.0,2017,10
406,2017.11,대구광역시,58.6,2017,11
407,2017.12,대구광역시,58.2,2017,12
408,2018.01,대구광역시,56.6,2018,01
409,2018.02,대구광역시,56.6,2018,02
410,2018.03,대구광역시,56.9,2018,03
411,2018.04,대구광역시,58.1,2018,04
412,2018.05,대구광역시,58.7,2018,05
413,2018.06,대구광역시,59.0,2018,06
414,2018.07,대구광역시,59.3,2018,07
415,2018.08,대구광역시,58.6,2018,08
416,2018.09,대구광역시,58.6,2018,09
417,2018.10,대구광역시,59.1,2018,10
418,2018.11,대구광역시,58.8,2018,11
419,2018.12,대구광역시,58.3,2018,12
420,2019.01,대구광역시,57.1,2019,01
421,2019.02,대구광역시,56.9,2019,02
422,2019.03,대구광역시,57.6,2019,03
423,2019.04,대구광역시,57.9,2019,04
424,2019.05,대구광역시,58.4,2019,05
425,2019.06,대구광역시,58.6,2019,06
426,2019.07,대구광역시,58.3,2019,07
427,2019.08,대구광역시,58.4,2019,08
428,2019.09,대구광역시,58.3,2019,09
429,2019.10,대구광역시,58.1,2019,10
430,2019.11,대구광역시,58.3,2019,11
431,2019.12,대구광역시,57.4,2019,12
