,연도,시도,사용량,공장면적,위도,경도
115,2016,울산광역시,32095217,2959,35.553064,129.254432
116,2017,울산광역시,31609850,2959,35.553064,129.254432
117,2018,울산광역시,33748169,2959,35.553064,129.254432
118,2019,울산광역시,34138999,2959,35.553064,129.254432
119,2020,울산광역시,33157837,2959,35.553064,129.254432
120,2021,울산광역시,33593122,2959,35.553064,129.254432
121,2011,인천광역시,22241137,12616,37.455307,126.70392
122,2012,인천광역시,22651945,12616,37.455307,126.70392
123,2013,인천광역시,22673440,12616,37.455307,126.70392
124,2014,인천광역시,22578048,12616,37.455307,126.70392
125,2015,인천광역시,23211767,12616,37.455307,126.70392
126,2016,인천광역시,23875858,12616,37.455307,126.70392
127,2017,인천광역시,24515313,12616,37.455307,126.70392
128,2018,인천광역시,24921925,12616,37.455307,126.70392
129,2019,인천광역시,24280688,12616,37.455307,126.70392
130,2020,인천광역시,23638582,12616,37.455307,126.70392
131,2021,인천광역시,24901194,12616,37.455307,126.70392
132,2011,전라남도,27136868,7520,34.867289,126.993547
133,2012,전라남도,28484707,7520,34.867289,126.993547
134,2013,전라남도,30302072,7520,34.867289,126.993547
135,2014,전라남도,31722943,7520,34.867289,126.993547
136,2015,전라남도,32637828,7520,34.867289,126.993547
137,2016,전라남도,33096902,7520,34.867289,126.993547
138,2017,전라남도,33562077,7520,34.867289,126.993547
139,2018,전라남도,34118388,7520,34.867289,126.993547
140,2019,전라남도,32385388,7520,34.867289,126.993547
141,2020,전라남도,30973974,7520,34.867289,126.993547
142,2021,전라남도,33486887,7520,34.867289,126.993547
143,2011,전라북도,21168362,7477,35.717518,127.156528
144,2012,전라북도,21462321,7477,35.717518,127.156528
145,2013,전라북도,21708660,7477,35.717518,127.156528
146,2014,전라북도,22297413,7477,35.717518,127.156528
147,2015,전라북도,22086859,7477,35.717518,127.156528
148,2016,전라북도,22733494,7477,35.717518,127.156528
149,2017,전라북도,22799646,7477,35.717518,127.156528
150,2018,전라북도,22961959,7477,35.717518,127.156528
151,2019,전라북도,22280691,7477,35.717518,127.156528
152,2020,전라북도,20538911,7477,35.717518,127.156528
153,2021,전라북도,21486859,7477,35.717518,127.156528
154,2011,제주특별자치도,3710080,717,33.424967,126.778084
155,2012,제주특별자치도,3864639,717,33.424967,126.778084
156,2013,제주특별자치도,4094900,717,33.424967,126.778084
157,2014,제주특별자치도,4220090,717,33.424967,126.778084
158,2015,제주특별자치도,4429551,717,33.424967,126.778084
159,2016,제주특별자치도,4738201,717,33.424967,126.778084
160,2017,제주특별자치도,5013544,717,33.424967,126.778084
161,2018,제주특별자치도,5272603,717,33.424967,126.778084
162,2019,제주특별자치도,5374284,717,33.424967,126.778084
163,2020,제주특별자치도,5373287,717,33.424967,126.778084
164,2021,제주특별자치도,5687731,717,33.424967,126.778084
165,2011,충청남도,42650114,11321,36.717428,126.801751
166,2012,충청남도,44492419,11321,36.717428,126.801751
