,시도,연도,지역내총생산,위도,경도
128,충청북도,2018,65830010,36.999466,127.700783
129,충청북도,2019,66927772,36.999466,127.700783
130,충청북도,2020,65926194,36.999466,127.700783
131,충청북도,2021,70139551,36.999466,127.700783
132,충청남도,2010,92056862,36.717428,126.801751
133,충청남도,2011,98515870,36.717428,126.801751
134,충청남도,2012,99219568,36.717428,126.801751
135,충청남도,2013,97403497,36.717428,126.801751
136,충청남도,2014,100199403,36.717428,126.801751
137,충청남도,2015,101299131,36.717428,126.801751
138,충청남도,2016,104503363,36.717428,126.801751
139,충청남도,2017,110165655,36.717428,126.801751
140,충청남도,2018,110873163,36.717428,126.801751
141,충청남도,2019,112310782,36.717428,126.801751
142,충청남도,2020,112762058,36.717428,126.801751
143,충청남도,2021,118002148,36.717428,126.801751
144,전라북도,2010,41674930,35.717518,127.156528
145,전라북도,2011,43285951,35.717518,127.156528
146,전라북도,2012,43728235,35.717518,127.156528
147,전라북도,2013,45637671,35.717518,127.156528
148,전라북도,2014,46567890,35.717518,127.156528
149,전라북도,2015,47018028,35.717518,127.156528
150,전라북도,2016,46664550,35.717518,127.156528
151,전라북도,2017,47553099,35.717518,127.156528
152,전라북도,2018,48350793,35.717518,127.156528
153,전라북도,2019,49506041,35.717518,127.156528
154,전라북도,2020,49116252,35.717518,127.156528
155,전라북도,2021,50398818,35.717518,127.156528
156,전라남도,2010,67644440,34.867289,126.993547
157,전라남도,2011,66697766,34.867289,126.993547
158,전라남도,2012,67142356,34.867289,126.993547
159,전라남도,2013,68435908,34.867289,126.993547
160,전라남도,2014,68405097,34.867289,126.993547
161,전라남도,2015,68878376,34.867289,126.993547
162,전라남도,2016,70449724,34.867289,126.993547
163,전라남도,2017,71340179,34.867289,126.993547
164,전라남도,2018,72888289,34.867289,126.993547
165,전라남도,2019,74618019,34.867289,126.993547
166,전라남도,2020,74972494,34.867289,126.993547
167,전라남도,2021,77027126,34.867289,126.993547
168,경상북도,2010,92044050,36.327952,128.951526
169,경상북도,2011,94466406,36.327952,128.951526
170,경상북도,2012,95229383,36.327952,128.951526
171,경상북도,2013,98842637,36.327952,128.951526
172,경상북도,2014,105901155,36.327952,128.951526
173,경상북도,2015,103120174,36.327952,128.951526
174,경상북도,2016,105745496,36.327952,128.951526
175,경상북도,2017,104429785,36.327952,128.951526
176,경상북도,2018,103149107,36.327952,128.951526
177,경상북도,2019,104417627,36.327952,128.951526
178,경상북도,2020,101370158,36.327952,128.951526
179,경상북도,2021,104960491,36.327952,128.951526
180,경상남도,2010,98297235,35.460156,128.215601
181,경상남도,2011,101258402,35.460156,128.215601
182,경상남도,2012,103911994,35.460156,128.215601
183,경상남도,2013,104475348,35.460156,128.215601
184,경상남도,2014,104843574,35.460156,128.215601
185,경상남도,2015,106590936,35.460156,128.215601
186,경상남도,2016,107343355,35.460156,128.215601
187,경상남도,2017,106561346,35.460156,128.215601
188,경상남도,2018,107224316,35.460156,128.215601
189,경상남도,2019,109370902,35.460156,128.215601
190,경상남도,2020,103425415,35.460156,128.215601
191,경상남도,2021,105347557,35.460156,128.215601
192,제주특별자치도,2010,12380394,33.424967,126.778084
193,제주특별자치도,2011,13231976,33.424967,126.778084
194,제주특별자치도,2012,14067649,33.424967,126.778084
195,제주특별자치도,2013,14763437,33.424967,126.778084
196,제주특별자치도,2014,15785920,33.424967,126.778084
197,제주특별자치도,2015,16946709,33.424967,126.778084
198,제주특별자치도,2016,18307842,33.424967,126.778084
199,제주특별자치도,2017,19144657,33.424967,126.778084
200,제주특별자치도,2018,18968300,33.424967,126.778084
201,제주특별자치도,2019,19186190,33.424967,126.778084
202,제주특별자치도,2020,17957495,33.424967,126.778084
203,제주특별자치도,2021,18175224,33.424967,126.778084
